phi,p,T
0.6,39.0411058566752,135.336485994907
0.65,39.2199318050282,135.712842000405
0.7,39.4384902850716,136.066516918082
0.75,39.6344638682895,136.435296464907
0.8,39.8265433704408,136.787932242273
0.85,40.0241584590793,137.141611951969
0.9,40.2192234850575,137.492009870389
0.95,40.4118636531751,137.840744875092
1,40.6052898137187,138.184724457986
1.05,40.7965965350017,138.522237667277
1.1,40.9829834499163,138.8602479869
1.15,41.1700554993822,139.195415503279
1.2,41.3529913945375,139.524370447644
1.25,41.5367945562242,139.854039780183
1.3,41.7189343513341,140.181140334338
1.35,41.8994601283154,140.50650839722
1.4,42.0796240007334,140.829648990485
1.45,42.2605999908084,141.150352385738
1.5,42.4380359822156,141.466762189903
1.55,42.6152308912477,141.783551905613
1.6,42.7898919204492,142.099944620768
1.65,42.9636168456497,142.412969374227
1.7,43.1351033467432,142.71835128928
1.75,43.3040989977407,143.022044205175
1.8,43.4719905912798,143.323348074216
1.85,43.6409594663337,143.624383017825
1.9,43.8049626275101,143.919224873022
1.95,43.9910876350239,144.208640812076
2,44.1105856675155,144.539832666424
