Pressure (atm),Cantera GRI Density @100K (kg/m³),Deviation (GRI vs HEOS) (%),VdW Predicted Density @100K (kg/m³),Deviation (VdW vs HEOS) (%),CP PR Density @100K (kg/m³),Deviation (PR vs HEOS) (%),CP SRK Density @100K (kg/m³),Deviation (SRK vs HEOS) (%),CP HEOS Density @100K (kg/m³),Notes
400000.0,9.457913602775507,-98.20859023441817,9.457913602775507,-98.20859023441817,601.6307496300759,13.954011997461684,601.6307496300759,13.954011997461684,527.9592522319242,
500000.0,11.822392003469384,-97.76131072050084,11.822392003469384,-97.76131072050084,601.7900295547126,13.955017502232787,601.7900295547126,13.955017502232787,528.094368063189,
600000.0,14.186870404163258,-97.31425843592223,14.186870404163258,-97.31425843592223,601.9488165850534,13.95599664288646,601.9488165850534,13.95599664288646,528.2291711873937,
700000.0,16.551348804857138,-96.86743242407964,16.551348804857138,-96.86743242407964,602.1071136988915,13.956949602236733,602.1071136988915,13.956949602236733,528.363663471625,
800000.0,18.915827205551015,-96.42083173633495,18.915827205551015,-96.42083173633495,602.264923846125,13.95787656149237,602.264923846125,13.95787656149237,528.4978467645799,
899999.9999999999,21.280305606244887,-95.97445543191543,21.280305606244887,-95.97445543191543,602.422249949115,13.958777700273755,602.422249949115,13.958777700273755,528.6317228968206,
1000000.0,23.644784006938767,-95.52830257781585,23.644784006938767,-95.52830257781585,602.5790949030352,13.959653196629523,602.5790949030352,13.959653196629523,528.7652936810246,
1100000.0,26.009262407632644,-95.08237224870254,26.009262407632644,-95.08237224870254,602.7354615762197,13.960503227053474,602.7354615762197,13.960503227053474,528.8985609122286,
1200000.0,28.373740808326517,-94.63666352681874,28.373740808326517,-94.63666352681874,602.8913528105012,13.961327966499756,602.8913528105012,13.961327966499756,529.0315263680747,
1299999.9999999998,30.738219209020393,-94.19117550189169,30.738219209020393,-94.19117550189169,603.0467714215474,13.962127588400536,603.0467714215474,13.962127588400536,529.1641918090406,
1400000.0,33.102697609714276,-93.74590727104129,33.102697609714276,-93.74590727104129,603.201720199189,13.962902264680286,603.201720199189,13.962902264680286,529.2965589786801,
1500000.0,35.467176010408146,-93.30085793869007,35.467176010408146,-93.30085793869007,603.3562019077444,13.963652165772398,603.3562019077444,13.963652165772398,529.4286296038476,
1600000.0,37.83165441110203,-92.8560266164747,37.83165441110203,-92.8560266164747,603.5102192863382,13.96437746063492,603.5102192863382,13.96437746063492,529.5604053949227,
1699999.9999999998,40.1961328117959,-92.41141242315899,40.1961328117959,-92.41141242315899,603.6637750492154,13.965078316765235,603.6637750492154,13.965078316765235,529.6918880460343,
1799999.9999999998,42.560611212489775,-91.9670144845483,42.560611212489775,-91.9670144845483,603.8168718860494,13.965754900215842,603.8168718860494,13.965754900215842,529.8230792352746,
1900000.0,44.92508961318366,-91.52283193340513,44.92508961318366,-91.52283193340513,603.9695124622473,13.96640737560921,603.9695124622473,13.96640737560921,529.9539806249146,
2000000.0,47.289568013877535,-91.0788639093663,47.289568013877535,-91.0788639093663,604.1216994192478,13.967035906152319,604.1216994192478,13.967035906152319,530.0845938616144,
2100000.0,49.65404641457141,-90.63510955886133,49.65404641457141,-90.63510955886133,604.2734353748162,13.967640653652264,604.2734353748162,13.967640653652264,530.2149205766254,
2199999.9999999995,52.01852481526528,-90.19156803503209,52.01852481526528,-90.19156803503209,604.4247229233348,13.968221778529811,604.4247229233348,13.968221778529811,530.3449623859981,
2300000.0,54.383003215959164,-89.74823849765382,54.383003215959164,-89.74823849765382,604.5755646360873,13.968779439834274,604.5755646360873,13.968779439834274,530.474720890778,
2400000.0,56.74748161665303,-89.30512011305727,56.74748161665303,-89.30512011305727,604.7259630615407,13.969313795257742,604.7259630615407,13.969313795257742,530.6041976772026,
2499999.9999999995,59.11196001734691,-88.86221205405214,59.11196001734691,-88.86221205405214,604.8759207256212,13.96982500114902,604.8759207256212,13.96982500114902,530.733394316893,
2599999.9999999995,61.476438418040786,-88.41951349985169,61.476438418040786,-88.41951349985169,605.0254401319871,13.970313212527495,605.0254401319871,13.970313212527495,530.8623123670449,
2699999.9999999995,63.840916818734655,-87.97702363599856,63.840916818734655,-87.97702363599856,605.1745237622966,13.970778583096962,605.1745237622966,13.970778583096962,530.9909533706127,
2800000.0,66.20539521942855,-87.53474165429164,66.20539521942855,-87.53474165429164,605.3231740764722,13.971221265259132,605.3231740764722,13.971221265259132,531.1193188564943,
2900000.0,68.56987362012242,-87.09266675271415,68.56987362012242,-87.09266675271415,605.4713935129607,13.971641410127173,605.4713935129607,13.971641410127173,531.2474103397096,
2999999.9999999995,70.93435202081629,-86.65079813536283,70.93435202081629,-86.65079813536283,605.6191844889889,13.972039167538785,605.6191844889889,13.972039167538785,531.3752293215789,
3099999.9999999995,73.29883042151016,-86.20913501237808,73.29883042151016,-86.20913501237808,605.7665494008163,13.972414686069715,605.7665494008163,13.972414686069715,531.5027772898947,
3199999.9999999995,75.66330882220404,-85.76767659987549,75.66330882220404,-85.76767659987549,605.9134906239836,13.972768113046028,605.9134906239836,13.972768113046028,531.6300557190968,
3300000.0,78.02778722289793,-85.32642211987788,78.02778722289793,-85.32642211987788,606.0600105135568,13.973099594557713,606.0600105135568,13.973099594557713,531.7570660704366,
3399999.9999999995,80.3922656235918,-84.88537080024896,80.3922656235918,-84.88537080024896,606.2061114043687,13.973409275470962,606.2061114043687,13.973409275470962,531.8838097921448,
3499999.9999999995,82.75674402428567,-84.4445218746275,82.75674402428567,-84.4445218746275,606.351795611256,13.97369729944059,606.351795611256,13.97369729944059,532.0102883195947,
3599999.9999999995,85.12122242497955,-84.00387458236281,85.12122242497955,-84.00387458236281,606.4970654292939,13.973963808922807,606.4970654292939,13.973963808922807,532.1365030754615,
3699999.9999999995,87.48570082567343,-83.563428168451,87.48570082567343,-83.563428168451,606.641923134025,13.974208945187042,606.641923134025,13.974208945187042,532.2624554698807,
3800000.0,89.85017922636732,-83.12318188347224,89.85017922636732,-83.12318188347224,606.786370981688,13.9744328483285,606.786370981688,13.9744328483285,532.3881469006028,
3899999.9999999995,92.21465762706119,-82.68313498352907,92.21465762706119,-82.68313498352907,606.9304112094402,13.974635657279562,606.9304112094402,13.974635657279562,532.5135787531474,
3999999.9999999995,94.57913602775507,-82.24328673018535,94.57913602775507,-82.24328673018535,607.0740460355782,13.974817509822167,607.0740460355782,13.974817509822167,532.6387524009517,
4099999.9999999995,96.94361442844892,-81.80363639040635,96.94361442844892,-81.80363639040635,607.217277659755,13.974978542599352,607.217277659755,13.974978542599352,532.7636692055188,
4200000.0,99.30809282914282,-81.36418323649973,99.30809282914282,-81.36418323649973,607.3601082631941,13.97511889112647,607.3601082631941,13.97511889112647,532.8883305165651,
4300000.0,101.67257122983669,-80.92492654605711,101.67257122983669,-80.92492654605711,607.5025400088997,13.975238689803069,607.5025400088997,13.975238689803069,533.0127376721613,
4399999.999999999,104.03704963053056,-80.4858656018968,104.03704963053056,-80.4858656018968,607.6445750418653,13.975338071924034,607.6445750418653,13.975338071924034,533.1368919988741,
4500000.0,106.40152803122446,-80.04699969200719,106.40152803122446,-80.04699969200719,607.7862154892782,13.975417169690761,607.7862154892782,13.975417169690761,533.2607948119057,
4600000.0,108.76600643191833,-79.60832810949103,108.76600643191833,-79.60832810949103,607.9274634607206,13.975476114221738,607.9274634607206,13.975476114221738,533.3844474152313,
4700000.0,111.13048483261221,-79.16985015251035,111.13048483261221,-79.16985015251035,608.0683210483694,13.975515035564653,608.0683210483694,13.975515035564653,533.5078511017293,
4800000.0,113.49496323330607,-78.7315651242325,113.49496323330607,-78.7315651242325,608.208790327192,13.975534062705686,608.208790327192,13.975534062705686,533.6310071533203,
4900000.0,115.85944163399995,-78.29347233277663,115.85944163399995,-78.29347233277663,608.3488733551386,13.975533323581292,608.3488733551386,13.975533323581292,533.7539168410915,
5000000.0,118.22392003469383,-77.85557109116107,118.22392003469383,-77.85557109116107,608.4885721733349,13.975512945088266,608.4885721733349,13.975512945088266,533.8765814254293,
5100000.0,120.5883984353877,-77.41786071725143,120.5883984353877,-77.41786071725143,608.6278888062669,13.975473053094275,608.6278888062669,13.975473053094275,533.9990021561429,
5200000.0,122.95287683608159,-76.98034053370957,122.95287683608159,-76.98034053370957,608.7668252619687,13.975413772448093,608.7668252619687,13.975413772448093,534.1211802725908,
5300000.0,125.31735523677547,-76.54300986794307,125.31735523677547,-76.54300986794307,608.905383532203,13.97533522698962,608.905383532203,13.97533522698962,534.2431170038031,
5400000.0,127.68183363746934,-76.10586805205546,127.68183363746934,-76.10586805205546,609.0435655926426,13.97523753956055,609.0435655926426,13.97523753956055,534.3648135686008,
5500000.0,130.04631203816322,-75.66891442279727,130.04631203816322,-75.66891442279727,609.1813734030463,13.975120832013685,609.1813734030463,13.975120832013685,534.4862711757157,
5600000.0,132.4107904388571,-75.23214832151776,132.4107904388571,-75.23214832151776,609.3188089074354,13.97498522522292,609.3188089074354,13.97498522522292,534.6074910239091,
5700000.0,134.77526883955096,-74.79556909411703,134.77526883955096,-74.79556909411703,609.4558740342645,13.97483083909326,609.4558740342645,13.97483083909326,534.728474302084,
5800000.0,137.13974724024484,-74.35917609099918,137.13974724024484,-74.35917609099918,609.5925706965929,13.974657792570078,609.5925706965929,13.974657792570078,534.8492221894013,
5899999.999999999,139.5042256409387,-73.92296866702596,139.5042256409387,-73.92296866702596,609.7289007922521,13.974466203648966,609.7289007922521,13.974466203648966,534.9697358553905,
6000000.0,141.86870404163258,-73.48694618147088,141.86870404163258,-73.48694618147088,609.8648662040101,13.974256189384388,609.8648662040101,13.974256189384388,535.090016460062,
6100000.0,144.23318244232647,-73.05110799797421,144.23318244232647,-73.05110799797421,610.0004687997358,13.974027865900215,610.0004687997358,13.974027865900215,535.2100651540115,
6200000.0,146.59766084302035,-72.61545348449853,146.59766084302035,-72.61545348449853,610.1357104325593,13.973781348397688,610.1357104325593,13.973781348397688,535.3298830785322,
6300000.0,148.96213924371423,-72.17998201328476,148.96213924371423,-72.17998201328476,610.2705929410308,13.973516751165162,610.2705929410308,13.973516751165162,535.449471365717,
6399999.999999999,151.3266176444081,-71.74469296080888,151.3266176444081,-71.74469296080888,610.405118149277,13.973234187587005,610.405118149277,13.973234187587005,535.5688311385632,
6500000.0,153.691096045102,-71.30958570773927,153.691096045102,-71.30958570773927,610.5392878671548,13.972933770152185,610.5392878671548,13.972933770152185,535.6879635110753,
6600000.0,156.05557444579586,-70.87465963889457,156.05557444579586,-70.87465963889457,610.6731038904048,13.972615610463363,610.6731038904048,13.972615610463363,535.8068695883658,
6700000.0,158.42005284648974,-70.43991414320203,158.42005284648974,-70.43991414320203,610.8065680008009,13.972279819245434,610.8065680008009,13.972279819245434,535.9255504667545,
6800000.0,160.78453124718362,-70.00534861365664,160.78453124718362,-70.00534861365664,610.9396819662977,13.971926506353984,610.9396819662977,13.971926506353984,536.044007233867,
6899999.999999999,163.14900964787748,-69.57096244728048,163.14900964787748,-69.57096244728048,611.0724475411781,13.971555780783975,611.0724475411781,13.971555780783975,536.1622409687305,
7000000.0,165.51348804857136,-69.13675504508302,165.51348804857136,-69.13675504508302,611.2048664661969,13.971167750677942,611.2048664661969,13.971167750677942,536.2802527418705,
7100000.0,167.87796644926524,-68.70272581202151,167.87796644926524,-68.70272581202151,611.3369404687226,13.970762523334283,611.3369404687226,13.970762523334283,536.3980436154035,
7200000.0,170.24244484995913,-68.26887415696213,170.24244484995913,-68.26887415696213,611.4686712628782,13.970340205215823,611.4686712628782,13.970340205215823,536.5156146431284,
7300000.0,172.60692325065298,-67.83519949264178,172.60692325065298,-67.83519949264178,611.6000605496797,13.969900901957184,611.6000605496797,13.969900901957184,536.6329668706212,
7399999.999999999,174.97140165134687,-67.40170123563003,174.97140165134687,-67.40170123563003,611.7311100171733,13.969444718373463,611.7311100171733,13.969444718373463,536.7501013353219,
7500000.0,177.33588005204075,-66.96837880629175,177.33588005204075,-66.96837880629175,611.8618213405692,13.96897175846783,611.8618213405692,13.96897175846783,536.8670190666244,
7600000.0,179.70035845273463,-66.5352316287504,179.70035845273463,-66.5352316287504,611.9921961823753,13.968482125439392,611.9921961823753,13.968482125439392,536.9837210859632,
