phi,p,T
0.6,25.8377591851582,108.611253917961
0.65,25.1905116056238,107.140606383236
0.7,24.5260531204954,105.706335712826
0.75,23.9158361443572,104.376375636627
0.8,23.3056191682189,103.020337911876
0.85,22.7360833238232,101.742533132783
0.9,22.1665474794275,100.490806002243
0.95,21.6376927667743,99.2912341688083
1,21.1088380541211,98.1047011596506
1.05,20.6138842845868,96.9833622718752
1.1,20.1189305150524,95.8620233840997
1.15,19.6578776886368,94.8058786177066
1.2,19.203605050845,93.7497338513134
1.25,18.7696729789244,92.7457443820261
1.3,18.3357409070039,91.7417549127388
1.35,17.9289295895784,90.8029595648337
1.4,17.5288984607766,89.8380865683758
1.45,17.1559880864699,88.9514465175766
1.5,16.7762975235394,88.0387288182245
1.55,16.4169475264802,87.1912052402547
1.6,16.057597529421,86.3306428380084
1.65,15.7321484754806,85.5352745571444
1.7,15.3931390442927,84.726867452004
1.75,15.0812503675998,83.9445379954165
1.8,14.7558013136594,83.1882861873819
1.85,14.4710333914616,82.4450732036237
1.9,14.1727050920162,81.7018602198656
1.95,13.8879371698183,80.9977637089368
2,13.6180429246999,80.3346671516915
