phi,rho
0.6,0.0958580382716095
0.65,0.0944434372632965
0.7,0.0930480008879937
0.75,0.0916956891092828
0.8,0.0903859807236366
0.85,0.0891072041455915
0.9,0.0878756275519631
0.95,0.0866781979661722
1,0.0855374851853076
1.05,0.0844046087435131
1.1,0.0833085311838643
1.15,0.0822384166987976
1.2,0.0812049487140785
1.25,0.0801940561943422
1.3,0.0792249928690118
1.35,0.07827762299604
1.4,0.0773508742173073
1.45,0.0764454951233002
1.5,0.0755567576616991
1.55,0.0747050703002638
1.6,0.0738728340364575
1.65,0.0730539015699111
1.7,0.072263371740906
1.75,0.0714887521116491
1.8,0.0707389583786182
1.85,0.0699964207749913
1.9,0.0692701713948761
1.95,0.0685636658393534
2,0.0678666927959575
2.05,0.0671972154381463
2.1,0.0665400624708363
2.15,0.0658951562926272
2.2,0.0652697533456891
2.25,0.0646493102076382
2.3,0.0640504507122239
2.35,0.0634530865419574
2.4,0.0628824915603337
2.45,0.0623111581283019
2.5,0.0617582879258981
2.55,0.0612164743224316
2.6,0.06069735860181
2.65,0.0601757616616374
2.7,0.0596808998422887
2.75,0.0591931518709806
2.8,0.0587034486850952
2.85,0.0582143575004716
2.9,0.0577411527894984
2.95,0.0573357605008224
3,0.0568135764944276
