Pressure (atm),h Reference,h GRI,h Pure,h CP HEOS,h CP SRK,h CP PR,u Reference,u GRI,u Pure,u CP HEOS,u CP SRK,u CP PR,s Reference,s GRI,s Pure,s CP HEOS,s CP SRK,s CP PR,cp Reference,cp GRI,cp Pure,cp CP HEOS,cp CP SRK,cp CP PR,cv Reference,cv GRI,cv Pure,cv CP HEOS,cv CP SRK,cv CP PR,rho Reference,rho GRI,rho Pure,rho CP HEOS,rho CP SRK,rho CP PR
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2359,2.2290429122783952,2.2359745945616267,2.2358862333091403,2.2362129192261393,2.2358862333091403,1.7129,1.710781825315032,1.7130395260953382,1.7128532560507008,1.7127708991918174,1.7128532560507008,0.65281,0.6516985521312658,0.6528203878368927,0.6528052720761099,0.6527890084506063,0.6528052720761099
2.0,-0.980000000000018,0.0,-0.9666437024825427,-0.9797008239751449,-1.036194155041827,-0.9797008239751449,-0.710000000000036,0.0,-0.7016553612793359,-0.7136623264732771,-0.7752678509923863,-0.7136623264732771,-0.3616,-0.35923121122258905,-0.3615650118054692,-0.3616156785145322,-0.3618180948088047,-0.3616156785145322,2.2417,2.2290429122783952,2.242186994301157,2.2416874608689077,2.242357885881484,2.2416874608689077,1.7138,1.710781825315032,1.7145237346646487,1.7138490796580725,1.7136954460539877,1.7138490796580725,1.3079,1.3033971042625316,1.3078736786750231,1.3078522064965843,1.3077764213103436,1.3078522064965843
3.0,-1.97000000000003,0.0,-1.935184782448232,-1.960688017511391,-2.073354829334654,-1.960688017511391,-1.42999999999995,0.0,-1.4051404110205112,-1.4289915442283965,-1.5521939519303851,-1.4289915442283965,-0.5742,-0.5693679988764444,-0.5740439750124722,-0.574139138609511,-0.5745443185935083,-0.574139138609511,2.2475,2.2290429122783952,2.2484405789803064,2.2475331432935697,2.248550758057645,2.2475331432935697,1.7148,1.710781825315032,1.7160030622214582,1.7148461142533384,1.714621970464668,1.7148461142533384,1.9651,1.9550956563937973,1.9651722051101739,1.9651475352642889,1.9649645763030903,1.9651475352642889
4.0,-2.95000000000005,0.0,-2.905599293670093,-2.942956572617288,-3.111464614532539,-2.942956572617288,-2.14999999999998,0.0,-2.1104544041108966,-2.1459905558871104,-2.3307735509992344,-2.1459905558871104,-0.7256,-0.7184624224451746,-0.7254876033574806,-0.7256240312335677,-0.7262317546319645,-0.7256240312335677,2.2534,2.2290429122783952,2.254735485223368,2.253423563650748,2.2547916761841216,2.253423563650748,1.7158,1.710781825315032,1.7174774893025804,1.7158443315791465,1.715550466757075,1.7158443315791465,2.6247,2.6067942085250633,2.6247280038452097,2.6246978690386467,2.6243555527156532,2.6246978690386467
5.0,-3.93000000000006,0.0,-3.877862727660613,-3.9265010807610814,-4.150505624451791,-3.9265010807610814,-2.86000000000001,0.0,-2.817596246991343,-2.8646620628245874,-3.11100157714996,-2.8646620628245874,-0.8437,-0.8341090418981416,-0.8434899922754546,-0.843665408412865,-0.8444752520163756,-0.843665408412865,2.2594,2.2290429122783952,2.2610718394773914,2.259358999048648,2.261080770060652,2.259358999048648,1.7168,1.710781825315032,1.7189469959718908,1.7168437022138112,1.7164809288837206,1.7168437022138112,3.2865,3.258492760656329,3.286552773627608,3.2865096905208215,3.285951163934654,3.2865096905208215
6.0,-4.92000000000007,0.0,-4.851950138469874,-4.911315723107662,-5.190459487875342,-4.911315723107662,-3.58000000000004,0.0,-3.5265645844956452,-3.5850085584287297,-3.892872633232968,-3.5850085584287297,-0.9406,-0.9285992100990299,-0.9403422639866168,-0.9405548358771703,-0.941566265656018,-0.9405548358771703,2.2653,2.2290429122783952,2.2674497585305904,2.2653397202676873,2.2674181584299933,2.2653397202676873,1.7178,1.710781825315032,1.7204115619112785,1.7178441955590735,1.7174133504082272,1.7178441955590735,3.9506,3.9101913127875947,3.950657951866249,3.950589347647047,3.949752949880988,3.950589347647047
7.0,-5.89999999999998,0.0,-5.8278359273090246,-5.89739426066482,-6.231307341387728,-5.89739426066482,-4.31000000000006,0.0,-4.237357639063703,-4.307032321235863,-4.6763809890858825,-4.307032321235863,-1.0229,-1.0084895089824464,-1.0226008389231271,-1.0228490030205548,-1.024061408473276,-1.0228490030205548,2.2714,2.2290429122783952,2.273869347775211,2.2713659913820106,2.2738039485427683,2.2713659913820106,1.7188,1.710781825315032,1.72187116617508,1.7188457798282164,1.71834772449708,1.7188457798282164,4.6169,4.561889864918861,4.617054559263758,4.616943046588217,4.615762169343387,4.616943046588217
8.0,-6.88999999999999,0.0,-6.805494025375992,-6.884730024346499,-7.27302982224361,-6.884730024346499,-5.02999999999997,0.0,-4.949973339439566,-5.030735407942906,-5.461520574574359,-5.030735407942906,-1.0945,-1.0776936336677654,-1.0941792954407639,-1.094461663149551,-1.0958743729912748,-1.094461663149551,2.2774,2.2290429122783952,2.2803307022261654,2.2774380693708562,2.2802382357145734,2.2774380693708562,1.7198,1.710781825315032,1.723325787472025,1.7198484220345462,1.719284043911331,1.7198484220345462,5.2856,5.2135884170501265,5.2857533152721405,5.285576844554007,5.283979792213729,5.285576844554007
9.0,-7.88,0.0,-7.784897819470643,-7.873315904955962,-8.315607061285526,-7.873315904955962,-5.75999999999999,0.0,-5.66440926209998,-5.756119646296604,-6.24828497259703,-5.756119646296604,-1.1579,-1.1387359977528853,-1.157601948123034,-1.1579172615178204,-1.1595295518075872,-1.1579172615178204,2.2836,2.2290429122783952,2.28683390572977,2.2835562037197437,2.2867211028755254,2.2835562037197437,1.7209,1.710781825315032,1.7247754040469998,1.720852087980273,1.7202223009982562,1.720852087980273,5.9565,5.865286969181392,5.956764578081933,5.956496642400008,5.95440649162825,5.956496642400008
10.0,-8.87000000000001,0.0,-8.766020155532715,-8.863144343095366,-9.359018675910658,-8.863144343095366,-6.48000000000002,0.0,-6.380662629159815,-6.483186627862393,-7.036667412052979,-6.483186627862393,-1.215,-1.1933402531207324,-1.2145923597238806,-1.2149394657916546,-1.2167505645146783,-1.2149394657916546,2.2897,2.2290429122783952,2.2933790306727073,2.2897206360114883,2.2932526201124754,2.2897206360114883,1.7219,1.710781825315032,1.7262199937265235,1.7218567422458102,1.7211624876829692,1.7218567422458102,6.6297,6.516985521312658,6.6300983372950055,6.6297081770364725,6.627042636016205,6.6297081770364725
11.0,-9.86000000000001,0.0,-9.748833338965596,-9.85420731900714,-10.4032437631028,-9.85420731900714,-7.21000000000004,0.0,-7.09873030376275,-7.211937700673588,-7.826660760782892,-7.211937700673588,-1.2668,-1.2427358105047936,-1.2663798574047274,-1.266757692151693,-1.2687667819596726,-1.266757692151693,2.2959,2.2290429122783952,2.299966137809224,2.2959315995070475,2.2998328442041207,2.2959315995070475,1.7229,1.710781825315032,1.7276595338732732,1.7228623481795218,1.722104595460002,1.7228623481795218,7.3052,7.168684073443924,7.305764204081383,7.305217013637561,7.301888281060872,7.305217013637561
12.0,-10.85,0.0,-10.733309134520823,-10.84649634235585,-11.44826089253323,-10.84649634235585,-7.94000000000006,0.0,-7.8186087849953765,-7.942373961763107,-8.618257518482162,-7.942373961763107,-1.3143,-1.287830421321619,-1.3138721120785455,-1.3142796902282325,-1.3164859101468265,-1.3142796902282325,2.3022,2.2290429122783952,2.3065952759064263,2.3021893187162314,2.306461818149296,2.3021893187162314,1.7239,1.710781825315032,1.7290940014588423,1.7238688678879428,1.7230486153848552,1.7238688678879428,7.983,7.820382625575189,7.983771400711149,7.983028537650126,7.978943161575952,7.983028537650126
13.0,-11.84,0.0,-11.719418766168928,-11.840002441950492,-12.494048099742503,-11.840002441950492,-8.66999999999996,0.0,-8.540294202585756,-8.674496249579475,-9.411449809599436,-8.674496249579475,-1.3582,-1.3293134420039951,-1.3577584012305532,-1.3581948092778875,-1.3605972558002741,-1.3581948092778875,2.3085,2.2290429122783952,2.3132664815532857,2.30849400895833,2.3131395706887314,2.30849400895833,1.7249,1.710781825315032,1.7305233730637433,1.7248762622264935,1.7239945380655273,1.7248762622264935,8.6631,8.472081177706457,8.664128749731425,8.663147946601315,8.658206683301866,8.663147946601315
14.0,-12.84,0.0,-12.707132917300441,-12.83471615542448,-13.54058287941292,-12.83471615542448,-9.40999999999997,0.0,-9.263782311688374,-9.408305136289913,-10.20622937621898,-9.408305136289913,-1.3991,-1.3677207202050354,-1.3985744941677325,-1.3990388855337632,-1.4016366133324665,-1.3990388855337632,2.3148,2.2290429122783952,2.319979778887791,2.314845875912724,2.3198661158206133,2.314845875912724,1.7259,1.710781825315032,1.7319476248319297,1.725884490790729,1.7249423536540294,1.725884490790729,9.3456,9.123779729837722,9.346844663059409,9.34558024170454,9.339677914626325,9.34558024170454
15.0,-13.84,0.0,-13.696421731382543,-13.830627518871218,-14.58784217873856,-13.830627518871218,-10.14,0.0,-9.989068487820987,-10.143800919973176,-11.002587570939445,-10.143800919973176,-1.4373,-1.403477040774586,-1.4367450973705846,-1.4372366889201793,-1.440028711313066,-1.4372366889201793,2.3212,2.2290429122783952,2.326735179333197,2.321245115159569,2.326641452310285,2.321245115159569,1.7269,1.710781825315032,1.7333667325526525,1.7268935119081363,1.725892051837889,1.7268935119081363,10.03,9.775478281968988,10.031927131053376,10.030330219263595,10.023355578233215,10.030330219263595
16.0,-14.83,0.0,-14.6872548130641,-14.827726056448068,-15.635802390909637,-14.827726056448068,-10.88,0.0,-10.716147721965172,-10.880983616703771,-11.80051534975157,-10.880983616703771,-1.4731,-1.4369248448903509,-1.472612573202385,-1.4731306426725723,-1.4761159319264088,-1.4731306426725723,2.3277,2.2290429122783952,2.3335326813979314,2.3276919117106782,2.333465563194499,2.3276919117106782,1.7279,1.710781825315032,1.7347806716240801,1.7279032826305183,1.726843621831659,1.7279032826305183,10.717,10.427176834100253,10.719383711585246,10.717402461874986,10.709238042686424,10.717402461874986
17.0,-15.83,0.0,-15.679601229758191,-15.826000769956503,-16.684439348714076,-15.826000769956503,-11.62,0.0,-11.445014615846958,-11.619852952533053,-12.600003264921718,-11.619852952533053,-1.507,-1.4683442272896805,-1.5064569368487284,-1.5070008208995478,-1.5101783084241716,-1.5070008208995478,2.3342,2.2290429122783952,2.3403722704209398,2.3341864395307317,2.3403384152806073,2.3341864395307317,1.7289,1.710781825315032,1.736189417116963,1.7289137587269905,1.7277970523684303,1.7289137587269905,11.407,11.07887538623152,11.409221519130693,11.406801329428838,11.397323313952063,11.406801329428838
18.0,-16.83,0.0,-16.673429358666,-16.825440128406278,-17.733728318273673,-16.825440128406278,-12.36,0.0,-12.175663263376919,-12.360408355368302,-13.401041457891115,-12.360408355368302,-1.5391,-1.4979672089754743,-1.538510123949255,-1.5390792215149285,-1.5424477979831355,-1.5390792215149285,2.3407,2.2290429122783952,2.347253917307487,2.3407288610489765,2.34725995864117,2.3407288610489765,1.7299,1.710781825315032,1.737592943483594,1.7299248946776178,1.7287523316913642,1.7299248946776178,12.099,11.730573938362785,12.101447105799073,12.098530949909014,12.087609026866453,12.098530949909014
19.0,-17.83,0.0,-17.668707539625757,-17.826032057572505,-18.783643992922734,-17.826032057572505,-13.1,0.0,-12.90808772454875,-13.102648946755217,-14.203619652196299,-13.102648946755217,-1.5696,-1.5259881458400955,-1.5689664196847382,-1.5695601750175747,-1.5731186904344867,-1.5695601750175747,2.3473,2.2290429122783952,2.354177582794686,2.347319326661621,2.354230126104443,2.347319326661621,1.7309,1.710781825315032,1.7389912255491609,1.7309366436677276,1.7297094475452475,1.7309366436677276,12.793,12.38227249049405,12.796066903723151,12.792595209993461,12.78009243655499,12.792595209993461
20.0,-18.83,0.0,-18.665403051178146,-18.827763929555775,-19.834160487243906,-18.827763929555775,-13.85,0.0,-13.642281266252212,-13.846573533566552,-15.007727146418766,-13.846573533566552,-1.5986,-1.5525714643433197,-1.597990161429177,-1.5986080802766418,-1.6023553440152218,-1.5986080802766418,2.354,2.2290429122783952,2.3611432101573526,2.3539579742251258,2.3612488327412717,2.3539579742251258,1.7319,1.710781825315032,1.740384237092931,1.7319489575829248,1.7306683871680877,1.7319489575829248,13.489,13.033971042625316,13.49308649885885,13.488997745456047,13.474770409808789,13.488997745456047
21.0,-19.84,0.0,-19.663482838805066,-19.830622552356683,-20.885251331269508,-19.830622552356683,-14.59,0.0,-14.378236891073357,-14.592180599603337,-15.813352807171293,-14.592180599603337,-1.6264,-1.5778575078588908,-1.625721608569556,-1.6263632509511152,-1.6302980317657056,-1.6263632509511152,2.3606,2.2290429122783952,2.3681507300647064,2.3606449285406472,2.368315975348942,2.3606449285406472,1.733,1.710781825315032,1.7417719518123176,1.7329617870048408,1.7316291372827468,1.7329617870048408,14.188,13.685669594756583,14.19251112488799,14.187741931371644,14.171639416425725,14.187741931371644
22.0,-20.84,0.0,-20.662913325571026,-20.834594159471802,-21.93688946486404,-20.834594159471802,-15.34,0.0,-15.11594719151617,-15.339468297110638,-16.620485062131657,-15.339468297110638,-1.653,-1.6019670217273827,-1.6522814210993708,-1.6529464005909622,-1.657067426617581,-1.6529464005909622,2.3674,2.2290429122783952,2.3752000590251328,2.367380300829906,2.3754314319325824,2.367380300829906,1.734,1.710781825315032,1.7431543430955054,1.7339750812076535,1.732591684088634,1.7339750812076535,14.889,14.337368146887847,14.894345518044416,14.888830872126423,14.870695520523096,14.888830872126423
23.0,-21.84,0.0,-21.66366041679339,-21.8396643995248,-22.989047232300393,-21.8396643995248,-16.09,0.0,-15.855404346661999,-16.08843443821545,-17.42911189313035,-16.08843443821545,-1.6785,-1.6250046405147796,-1.6777741468446337,-1.6784621299259206,-1.6827680886758563,-1.6784621299259206,2.3742,2.2290429122783952,2.382291099240667,2.3741641882027973,2.382595061184734,2.3741641882027973,1.735,1.710781825315032,1.744531384103306,1.7349887881554011,1.733556013253463,1.7349887881554011,15.592,14.989066699019112,15.598593906698394,15.592267391235822,15.571934371829702,15.592267391235822
24.0,-22.85,0.0,-22.665689505149203,-22.845818325944595,-24.04169637703977,-22.845818325944595,-16.84,0.0,-16.596600119042705,-16.83907648629183,-18.239220829302095,-16.83907648629183,-1.703,-1.6470616325442045,-1.702290965972555,-1.7030016714140548,-1.7074912097657544,-1.7030016714140548,2.381,2.2290429122783952,2.389423738461473,2.3809966731170706,2.389806701963753,2.3809966731170706,1.736,1.710781825315032,1.7459030476327335,1.736002854500133,1.7345221099050845,1.736002854500133,16.298,15.640765251150379,16.3052600010371,16.298054020973062,16.275351196964802,16.298054020973062
25.0,-23.86,0.0,-23.668965476290396,-23.853040386699256,-25.0948080367333,-23.853040386699256,-17.59,0.0,-17.339525851752114,-17.59139154725743,-19.050798940310603,-17.59139154725743,-1.7267,-1.668218083796285,-1.7259118748767683,-1.726645073148882,-1.7313167973420514,-1.726645073148882,2.3879,2.2290429122783952,2.396597849858514,2.38787782283046,2.3970661727717593,2.38787782283046,1.737,1.710781825315032,1.7472693062716165,1.737017225580921,1.7354899586234063,1.737017225580921,17.006,16.292463803281645,17.014346982865305,17.006192991811407,16.98094079071295,17.006192991811407
26.0,-24.87,0.0,-24.67345271492286,-24.861314414100722,-26.1483527384568,-24.861314414100722,-18.35,0.0,-18.084172465813026,-18.345376360808615,-19.863832829658058,-18.345376360808615,-1.7495,-1.688544653226586,-1.74870744148636,-1.7494629541759659,-1.7543154298109958,-1.7494629541759659,2.3948,2.2290429122783952,2.4038132918780355,2.394807688845676,2.4043732712328523,2.394807688845676,1.738,1.710781825315032,1.7486301323440319,1.7380318454237709,1.7364595434324137,1.7380318454237709,17.717,16.944162355412914,17.7258574955472,17.71668622168392,17.688697507302763,17.71668622168392
27.0,-25.88,0.0,-25.679115111376632,-25.870623614692363,-27.20230039419036,-25.870623614692363,-19.1,0.0,-18.83053045778979,-19.10102729160257,-20.678308628084835,-19.10102729160257,-1.7715,-1.7081039966293279,-1.7707402291267602,-1.7715179283499947,-1.7765496803952292,-1.7715179283499947,2.4018,2.2290429122783952,2.411069908150613,2.401786306348699,2.4117277735723786,2.401786306348699,1.739,1.710781825315032,1.749985497919397,1.7390466567424636,1.7374308477923,1.7390466567424636,18.43,17.595860907544175,18.439793634108607,18.42953530506484,18.398615251699166,18.42953530506484
28.0,-26.89,0.0,-26.685916068657207,-26.8809505592325,-28.256620296562556,-26.8809505592325,-19.86,0.0,-19.57858989768647,-19.85834032038995,-21.49421198707586,-19.85834032038995,-1.7929,-1.7269519314276245,-1.792065961311975,-1.792865769113866,-1.7980752819228674,-1.792865769113866,2.4088,2.2290429122783952,2.418367527345634,2.408813693640847,2.419129434098085,2.408813693640847,1.7401,1.710781825315032,1.7513353749034206,1.740061600940361,1.7384038545917224,1.740061600940361,19.145,18.247559459675443,19.156156935517295,19.14474150187726,19.110687470918794,19.14474150187726
