Temperature (K),h Reference,h GRI,h Pure,h CP HEOS,h CP SRK,h CP PR,u Reference,u GRI,u Pure,u CP HEOS,u CP SRK,u CP PR,s Reference,s GRI,s Pure,s CP HEOS,s CP SRK,s CP PR,cp Reference,cp GRI,cp Pure,cp CP HEOS,cp CP SRK,cp CP PR,cv Reference,cv GRI,cv Pure,cv CP HEOS,cv CP SRK,cv CP PR,rho Reference,rho GRI,rho Pure,rho CP HEOS,rho CP SRK,rho CP PR
40.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,2.4247702116612664,,,4.022901858750317,-15.243561773411871,,1.906509124697903,,,2.9019191322188727,2.5194714038528314,,488.7739140984494,,,488.7739140984494,488.7739140984494
50.0,,23.996938573894113,,,42.651815095096765,136.05478881150384,,18.814327704259995,,,119.08152892745473,106.24038565615079,,0.5356812003528102,,,1.6268334669952706,1.2317745228482269,,2.375357563750027,,,-0.8113029157196103,1.2293664679621898,,1.8570964767866633,,,2.573423328415969,2.2801348327015183,,391.01913127875946,,,391.01913127875946,391.01913127875946
60.0,,47.52171785128121,,,160.44333898056806,252.2359114438996,,37.156496112012974,,,209.07958986775526,184.82984312998366,,0.9647134076093558,,,2.574290983488845,2.02552393121032,,2.3303149578354985,,,0.98340758131572,1.3235928384667996,,1.8120538708721348,,,2.3610701149615534,2.1292121230914764,,325.84927606563286,,,325.84927606563286,325.84927606563286
70.0,,70.61733987202388,,,263.36758672152763,346.1925781571703,,55.06950726312334,,,280.7734554604938,247.25084122504865,,1.3208148127822472,,,3.2558020390287092,2.612852549781538,,2.2895030634599385,,,1.1095387855753773,1.263422289562161,,1.7712419764965748,,,2.214134927532385,2.0258759702044222,,279.2993794848282,,,279.2993794848282,279.2993794848282
80.0,,93.32542373832075,,,351.286286982018,424.60717542506643,,72.59498025978519,,,340.1716113769149,299.2256350307692,,1.6240935855059648,,,3.784423415919468,3.077036318430503,,2.2527846235493847,,,1.06961689854225,1.1693162260295167,,1.7345235365860214,,,2.1073613327831353,1.9510777751260626,,244.3869570492247,,,244.3869570492247,244.3869570492247
90.0,,115.68622634855092,,,427.3154486153198,492.0134192949194,,89.77317200038215,,,390.9022117768326,343.9918895188001,,1.8875037860156851,,,4.213415352883469,3.4594072963705726,,2.2200244544136543,,,0.9772247875761579,1.0564809630868999,,1.701763367450291,,,2.0268443495041377,1.8947083632028723,,217.2328507104219,,,217.2328507104219,217.2328507104219
90.694,0.0,,,,,,0.0,,,,,,0.0,,,,,,3.3196,,,,,,2.192,,,,,,457.76,,,,,
100.0,30.99,137.73866313111284,0.0,0.0,494.1310252093424,551.3490082504331,30.412,106.64299791330996,0.0,0.0,435.2906617562373,383.543822438034,0.32526,2.1198761692507,0.0,0.0,4.5726844738395895,3.7836664843705194,3.343,2.1910894457463437,3.3156484833927014,3.342991383814512,0.8522161747772848,0.9230661475719057,2.1392,1.6728283587829804,2.1523918680475522,2.1392131641561436,1.9643389160206166,1.850902639330868,446.11,195.50956563937973,446.21579090131524,446.10604535239054,195.50956563937973,195.50956563937973
110.0,64.5922,159.52032877825513,33.37545122419397,33.6018644670769,553.752600216981,604.5788768776162,63.339,123.24205269081904,32.706265763918964,32.92724744761523,474.89815569995625,419.1873397799915,0.6455,2.327496727798362,0.3180641625887315,0.32023289423991297,4.88071454423007,4.064660686118744,3.3788,2.1658485606248314,3.3648286640540874,3.3787645135422646,0.6932904268576504,0.7605996195691439,2.091,1.647587473661468,2.101661191291812,2.0910211937475243,1.9146715765250584,1.8160295511258642,433.24,177.73596876307246,433.4423997763183,433.23820864375955,177.73596876307246,177.73596876307246
120.0,98.593,181.06751797992274,67.33985020655564,67.60278400709606,607.6810254027641,653.0670441192874,96.598,139.60663102285253,65.92977916473683,66.18610717973536,510.8126586935482,451.8183670177467,0.94132,2.5149954669536108,0.6135527963909038,0.6160517561912665,5.1496862685823785,4.312283739567509,3.4229,2.1441728355102723,3.4285125284576288,3.4229390445376016,0.48860666323994917,0.5539684623581411,2.047,1.625911748546909,2.063701091205907,2.047049136173212,1.8744547467854857,1.7877337082783529,419.91,162.92463803281643,420.127228712315,419.91495218350656,162.92463803281643,162.92463803281643
130.0,133.087,202.41524615759045,101.9470666848747,102.09687610440125,657.0405653928718,697.7924187720511,130.266,155.7717483308861,99.71125073559506,99.8542544506437,543.8161302534188,482.07468366336514,1.21739,2.6858782032436137,0.8905238931763675,0.892122449213386,5.38801752297449,4.53344383813228,3.4781,2.1259353802476038,3.4930897979197244,3.4780530182899687,0.2142282547681576,0.2767016323163779,2.0065,1.6076742932842403,2.026058408249904,2.006494754077202,1.841403715761855,1.764441532536455,406.02,150.39197356875366,406.2190456806587,406.0173351357253,150.39197356875366,150.39197356875366
140.0,168.206,223.5972701981018,137.21544727276614,137.21650679671268,702.6853050700871,739.4779739440704,164.454,171.77116150176425,134.04856253945673,134.04145599405754,574.4855993220017,510.4243695182412,1.47762,2.8428607203412124,1.1518592630886468,1.1523545021287904,5.601747989378771,4.73314647996671,3.549,2.1110113780655424,3.5619950640941185,3.5490363411343733,-0.1762468762070777,-0.12165625843239758,1.9696,1.5927502911021791,1.9885938548245008,1.969615859380477,1.8139530716118208,1.7450903642140285,391.39,139.6496897424141,391.6016523286946,391.39362555046534,139.6496897424141,139.6496897424141
150.0,204.146,244.6461091875035,173.23403567276637,173.15411578588183,745.2742235114309,778.6711471845108,199.321,187.63738962153366,168.99993611536684,168.9077774451387,603.2568936712323,537.220123340944,1.72552,2.9880873605857987,1.4003289729133543,1.4002611762581176,5.7953468250786955,4.915130988946784,3.6431,2.0992780855765845,3.6451677107640035,3.643088102546913,-0.7821604074095897,-0.7512443979438264,1.937,1.5810169986132212,1.9539103483356977,1.9369520534903766,1.7910290410201393,1.7289700714135117,375.84,130.33971042625316,376.08953705513943,375.8408752460898,130.33971042625316,130.33971042625316
160.0,241.176,265.5930651448898,210.21486910861313,210.19051840008768,785.3237792339318,815.7957716866113,235.101,203.40173470928403,204.73027158327204,204.68548466585523,630.4662798187229,562.7340968666869,1.96454,3.1232789249510358,1.6389590040472841,1.6392443655663353,5.972208873036382,5.082264245409821,3.771,2.090614832777006,3.75739345611445,3.7710249916056138,-1.8594001771981026,-1.9086598482272117,1.9092,1.5723537458136425,1.9246106399906902,1.9092127314607203,1.7719054685200595,1.715622893584048,359.08,122.19347852461235,359.4076605086732,359.07621782359814,122.19347852461235,122.19347852461235
170.0,279.736,286.46824375623055,248.5513931753294,248.74446707384303,823.2450260959986,851.1867230846631,272.131,219.09430245099247,241.55754894447273,241.71638383378158,656.378489094979,587.1810309388931,2.19814,3.2498356563115767,1.8713228710144278,1.8729214970049877,6.134972284750776,5.236794321630603,3.9503,2.0849030230468624,3.9209223069392816,3.950324212057425,-4.328015603042125,-4.764305648103557,1.8874,1.5666419360834989,1.902729680914948,1.8873773078208205,1.7561059251155078,1.7047740903424056,340.69,115.00562684669396,341.144762207036,340.6879499137463,115.00562684669396,115.00562684669396
180.0,320.456,307.30057510822644,288.9240046704863,289.4669336485408,859.3701151713295,885.1136663817356,310.931,234.74402293335424,280.0326600119197,280.52074760970925,681.2060376462834,610.7340508074592,2.43084,3.368910742110499,2.102018146897766,2.1056138733128344,6.285728652207161,5.380519276661144,4.2114,2.08202613314999,4.172589532995359,4.2114174245754095,-15.906668087284073,-23.599934260482673,1.8729,1.5637650461866264,1.889904470030998,1.8729163773970616,1.7433325063955964,1.6962797711130781,320.05,108.61642535521095,320.6592088553833,320.04717322716465,108.61642535521095,108.61642535521095
190.0,364.416,328.11783442212436,332.51131372957025,333.427204294189,893.9714365923837,917.7976862381431,352.341,250.37867137761896,321.0906813432157,321.9257193055452,705.1227926519616,633.5356723485363,2.66844,3.4814639174831346,2.337584313329147,2.343198143528631,6.426165825669034,5.514902495186112,4.6104,2.081869713234005,4.578406678414061,4.610365206101247,23.002391418424597,16.15478578411296,1.8682,1.5636086262706412,1.8879333028548024,1.8681771410005978,1.7334114677165349,1.6900855059409599,296.14,102.89977138914722,296.8947535465856,296.1446885940496,102.89977138914722,102.89977138914722
200.0,413.456,348.94666278757177,381.37422525710645,382.4623262556576,927.275584352026,949.4231275982421,397.681,266.02488887343316,366.28539459896274,367.27350315103206,728.273627083783,655.7055797311314,2.91984,3.5883013030402893,2.5880718151961775,2.5945764702851153,6.557667191523817,5.641153244784687,5.2469,2.0843213868303025,5.248778749430174,5.246879925487314,8.56510011869257,7.517760345731262,1.8763,1.5660602998669388,1.8995692983243602,1.8762802948961432,1.7262508019064013,1.6861929292042195,267.33,97.75478281968986,268.08070585766853,267.3339487100905,97.75478281968986,97.75478281968986
210.0,470.396,369.8125878964447,438.5117191724512,439.40888419175957,959.473628667254,980.1461309778572,448.761,281.7082031126729,417.5426450135383,418.34975957453827,750.7813543151944,677.3461695171562,3.19754,3.690105512828831,2.866655895119705,2.8722342355934605,6.681382040984437,5.760284014595874,6.1705,2.089270850854057,6.196928296071158,6.170487543315069,5.875852084285074,5.420409268303886,1.8949,1.5710097638906932,1.9260516133648278,1.8948957326916773,1.7218072557939035,1.6846331499062903,231.48,93.0997931616094,231.98869613299541,231.48183068760173,93.0997931616094,93.0997931616094
220.0,535.396,390.7400447766986,503.655084307773,504.40534506521664,990.7287240441391,1010.1008421974163,504.311,297.45304912329175,473.2609277125666,473.9014195308689,772.7517390342637,698.5465208129305,3.49974,3.787458751798356,3.169620011127188,3.1745109432811796,6.7982763355138704,5.873152038000258,6.6296,2.096609875604225,6.639033079893913,6.629639962766972,4.746257760432753,4.47889699878926,1.9009,1.5783487886408616,1.9445857152148527,1.9008781285190859,1.720061303195841,1.685446329251123,190.4,88.86798438153623,190.8128138673291,190.39920172677697,88.86798438153623,88.86798438153623
