Pressure (atm),h Reference,h GRI,h Pure,h CP HEOS,h CP SRK,h CP PR,u Reference,u GRI,u Pure,u CP HEOS,u CP SRK,u CP PR,s Reference,s GRI,s Pure,s CP HEOS,s CP SRK,s CP PR,cp Reference,cp GRI,cp Pure,cp CP HEOS,cp CP SRK,cp CP PR,cv Reference,cv GRI,cv Pure,cv CP HEOS,cv CP SRK,cv CP PR,rho Reference,rho GRI,rho Pure,rho CP HEOS,rho CP SRK,rho CP PR
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85262,0.8456849048741311,0.8515237277386872,0.852623285961542,0.8509386610884705,0.852623285961542,0.65935,0.656758489410175,0.6582160388694849,0.659347443173221,0.6577719627875112,0.659347443173221,1.7966,1.7877330661811928,1.796815725351681,1.7966360973824054,1.7965886044010417,1.7966360973824054
2.0,-0.939999999999998,0.0,-0.9429244327257038,-0.9336546463690465,-0.915456796095823,-0.9336546463690465,-0.649999999999977,0.0,-0.6572413631256495,-0.6515881508679012,-0.6353797662561992,-0.6515881508679012,-0.1332,-0.13095381221213742,-0.13314305893132872,-0.1331289241257655,-0.13307371412433122,-0.1331289241257655,0.85957,0.8456849048741311,0.8583943487118252,0.8595658403561373,0.8561730122558997,0.8595658403561373,0.6618,0.656758489410175,0.6605589424731629,0.6617998830148756,0.6586334139848878,0.6617998830148756,3.6113,3.5754661323623855,3.611929750136778,3.611334063252233,3.6111100973778836,3.611334063252233
3.0,-1.88,0.0,-1.8936751549081237,-1.8753772429820965,-1.8383580582323484,-1.8753772429820965,-1.31,0.0,-1.3205560833375785,-1.309286967308144,-1.276407393768197,-1.309286967308144,-0.212,-0.20755688168271824,-0.21196101081045082,-0.21193146454149428,-0.21181955744900188,-0.21193146454149428,0.86668,0.8456849048741311,0.8654428492999299,0.8666809137793772,0.8615497722834288,0.8666809137793772,0.66428,0.656758489410175,0.6629339266061496,0.664280304188493,0.65950252258198,0.664280304188493,5.4446,5.363199198543579,5.445794013453271,5.444558506837949,5.444009486378545,5.444558506837949
4.0,-2.83000000000004,0.0,-2.8524507804722816,-2.8253672009467263,-2.768885595032596,-2.8253672009467263,-1.96999999999997,0.0,-1.9900965368906327,-1.9732494947589585,-1.9232227135701105,-1.9732494947589585,-0.2685,-0.26190762442427573,-0.26855145634498623,-0.2685062510639468,-0.26833591211447627,-0.2685062510639468,0.87398,0.8456849048741311,0.8726719619979783,0.8739761649938925,0.8670750963743774,0.8739761649938925,0.66679,0.656758489410175,0.6653418363027097,0.6667897828728572,0.6603794781624324,0.6667897828728572,7.2968,7.150932264724771,7.298879511900137,7.296793515483913,7.295749860872482,7.296793515483913
5.0,-3.79000000000002,0.0,-3.819458042164115,-3.783832116135629,-3.7072286019167513,-3.783832116135629,-2.63999999999999,0.0,-2.6660213458126236,-2.643635180134617,-2.575971281885926,-2.643635180134617,-0.3129,-0.3040653357079659,-0.31297387763829576,-0.31291309364124026,-0.31268247089374834,-0.31291309364124026,0.88146,0.8456849048741311,0.8800942369642872,0.8814597033530165,0.8727555056306248,0.8814597033530165,0.66933,0.656758489410175,0.6677835481201944,0.6693294426239077,0.661264478072132,0.6693294426239077,9.1685,8.938665330905964,9.171677165584878,9.168543782207257,9.166813422771416,9.168543782207257
6.0,-4.75,0.0,-4.794912398427186,-4.7509882423282255,-4.65358408454241,-4.7509882423282255,-3.31999999999999,0.0,-3.348495837586597,-3.3206102451038895,-3.234804709975724,-3.3206102451038895,-0.3497,-0.33851069389485655,-0.34970941931248234,-0.34963328228431967,-0.34934043758079586,-0.34963328228431967,0.88914,0.8456849048741311,0.8877164188023813,0.8891401233275769,0.8785979149662504,0.8891401233275769,0.6719,0.656758489410175,0.6702599721763093,0.6719004574626727,0.6621577278664147,0.6719004574626727,11.06,10.726398397087157,11.064699277285682,11.060335817467276,11.057702592976907,11.060335817467276
7.0,-5.73000000000002,0.0,-5.779038475728157,-5.727061000019428,-5.60815731381072,-5.727061000019428,-4.0,0.0,-4.0376923928597535,-4.004348087609862,-3.899881018660555,-4.004348087609862,-0.3811,-0.36763382927595245,-0.38114879902632737,-0.3810576140070666,-0.38070053269619075,-0.3810576140070666,0.89703,0.8456849048741311,0.8955473354952986,0.8970265422936005,0.8846096636381954,0.8970265422936005,0.6745,0.656758489410175,0.6727720538316796,0.6745040552212987,0.663059441790733,0.6745040552212987,12.973,12.51413146326835,12.97848069769685,12.972719252925183,12.968941201009873,12.972719252925183
8.0,-6.72000000000003,0.0,-6.772070632468967,-6.712285524230043,-6.571162315359281,-6.712285524230043,-4.69,0.0,-4.733790881135064,-4.695029714277887,-4.571365019813238,-4.695029714277887,-0.4086,-0.39286143663641315,-0.4087193725580356,-0.408613493079079,-0.40819008674504176,-0.408613493079079,0.90513,0.8456849048741311,0.9035963594950804,0.9051286419486708,0.8907985486866657,0.9051286419486708,0.67714,0.656758489410175,0.6753207756407168,0.6771415211732443,0.663969843297883,0.6771415211732443,14.906,14.301864529449542,14.913580251784781,14.906268245832798,14.901075765434605,14.906268245832798
9.0,-7.71000000000004,0.0,-7.774253547580884,-7.706907255029248,-7.542822396777454,-7.706907255029248,-5.38999999999999,0.0,-5.436979117183,-5.392844206656562,-5.249428727356717,-5.392844206656562,-0.4332,-0.4151137633654365,-0.4333421033623859,-0.43322191532449367,-0.4327300215506384,-0.43322191532449367,0.91346,0.8456849048741311,0.9118735075898365,0.9134567137731306,0.8971728616162354,0.9134567137731306,0.67981,0.656758489410175,0.677907159479835,0.6798142019768061,0.6648891656052376,0.6798142019768061,16.862,16.08959759563074,16.87058224173993,16.861582993661482,16.85467687365145,16.861582993661482
10.0,-8.71000000000004,0.0,-8.785842865660015,-8.711182574896258,-8.52337071614823,-8.711182574896258,-6.09999999999997,0.0,-6.147453360707004,-6.097989224570454,-5.93425180059101,-6.097989224570454,-0.4555,-0.4350191479201042,-0.45564609368636333,-0.4555120059515293,-0.45494938656456363,-0.4555120059515293,0.92202,0.8456849048741311,0.9203891984824807,0.9220217090081453,0.9037414286925528,0.9220217090081453,0.68252,0.656758489410175,0.6805322687984522,0.6825235099646848,0.6658176522958116,0.6825235099646848,18.839,17.87733066181193,18.850098091169315,18.83929136968312,18.830340670596534,18.83929136968312
