Pressure (atm),h Reference,h GRI,h Pure,h CP HEOS,h CP SRK,h CP PR,u Reference,u GRI,u Pure,u CP HEOS,u CP SRK,u CP PR,s Reference,s GRI,s Pure,s CP HEOS,s CP SRK,s CP PR,cp Reference,cp GRI,cp Pure,cp CP HEOS,cp CP SRK,cp CP PR,cv Reference,cv GRI,cv Pure,cv CP HEOS,cv CP SRK,cv CP PR,rho Reference,rho GRI,rho Pure,rho CP HEOS,rho CP SRK,rho CP PR
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1806,1.864915428517127,4.180788860716512,4.1806357765560715,4.8148233052444995,4.1806357765560715,4.1302,1.4033854469377074,4.130996602997703,4.1301742445145395,3.526828379081825,4.1301742445145395,996.56,0.7318051123009882,996.6332343389564,996.5569352652021,754.7002834070963,996.5569352652021
2.0,0.0999999999999943,0.0,0.09330779279480339,0.09328916283212312,0.10586196870381537,0.09328916283212312,-0.0099999999999909,0.0,-0.00835015122902405,-0.008376628867030377,-0.02839245297745947,-0.008376628867030377,-3.000000000003e-05,-0.31990820547565946,-2.785720162634675e-05,-2.7945298969768827e-05,-9.465194404354093e-05,-2.7945298969768827e-05,4.1803,1.864915428517127,4.180486351018935,4.1803494596708415,4.814685751998617,4.1803494596708415,4.1298,1.4033854469377074,4.1306380949268995,4.129840118109551,3.5268528242537536,4.129840118109551,996.6,1.4636102246019764,996.6790447835156,996.602421515314,754.7120143429088,996.602421515314
3.0,0.189999999999998,0.0,0.18660786100190307,0.18657100184743466,0.2117281833735251,0.18657100184743466,-0.0099999999999909,0.0,-0.016698686693416676,-0.016751306750884397,-0.05677648827022495,-0.016751306750884397,-4.99999999999945e-05,-0.5070425093519173,-5.572457854396973e-05,-5.589955098059818e-05,-0.00018928277977223472,-5.589955098059818e-05,4.1801,1.864915428517127,4.180184059550065,4.180063350579824,4.814548263458494,4.180063350579824,4.1295,1.4033854469377074,4.130279795662436,4.129506178403118,3.5268772621782722,4.129506178403118,996.65,2.1954153369029648,996.7248414337645,996.6478979929805,754.7237418863532,996.6478979929805
4.0,0.280000000000001,0.0,0.27990020797187753,0.27984551643363376,0.3175986416736705,0.27984551643363376,-0.019999999999996,0.0,-0.02504560849229165,-0.02512403517194616,-0.08515211022274889,-0.02512403517194616,-8.00000000000245e-05,-0.6398164109513171,-8.360212554148205e-05,-8.386275237108975e-05,-0.0002838925172150546,-8.386275237108975e-05,4.1798,1.864915428517127,4.179881986832861,4.179777449143013,4.814410839576334,4.179777449143013,4.1292,1.4033854469377074,4.129921705242968,4.129172425271858,3.526901692859121,4.129172425271858,996.69,2.927220449203953,996.7706243120481,996.6933647023775,754.7354660391492,996.6933647023775
5.0,0.379999999999995,0.0,0.37318483709350403,0.37311271004538865,0.42347334125957425,0.37311271004538865,-0.0300000000000011,0.0,-0.03339091875932354,-0.0334948162894143,-0.11351932317568571,-0.0334948162894143,-0.0001099999999999,-0.7428038500789302,-0.00011148983754827313,-0.0001118349005907362,-0.0003784811663935912,-0.0001118349005907362,4.1795,1.864915428517127,4.179580132471692,4.179491755218779,4.814273480304401,4.179491755218779,4.1288,1.4033854469377074,4.129563823682138,4.128838858591331,3.5269261163000376,4.128838858591331,996.74,3.659025561504941,996.8163934406914,996.738821647437,754.7471868030144,996.738821647437
6.0,0.469999999999999,0.0,0.46646175178648264,0.46637258488820227,0.5293522797988554,0.46637258488820227,-0.039999999999992,0.0,-0.041734619553608354,-0.0418636520592263,-0.1418781314654916,-0.0418636520592263,-0.00014,-0.826950714827575,-0.00013938770925081556,-0.00013981599271539836,-0.0004730487373196084,-0.00013981599271539836,4.1792,1.864915428517127,4.179278496507485,4.179206268664716,4.814136185594998,4.179206268664716,4.1285,1.4033854469377074,4.129206151034513,4.12850547823614,3.5269505325047548,4.12850547823614,996.78,4.3908306738059295,996.8621488419437,996.784268832189,754.7589041796659,996.784268832189
7.0,0.559999999999988,0.0,0.5597309554159438,0.5596251432641002,0.6352354549540178,0.5596251432641002,-0.0499999999999972,0.0,-0.050076712968802894,-0.050230544413992904,-0.17022853942696384,-0.050230544413992904,-0.00017,-0.8980958752487052,-0.00016729573551943488,-0.00016780602577387072,-0.0005675952400015838,-0.00016780602577387072,4.1789,1.864915428517127,4.17897707876289,4.178920989338352,4.813998955400478,4.178920989338352,4.1282,1.4033854469377074,4.128848687331928,4.128172284080451,3.5269749414770057,4.128172284080451,996.83,5.122635786106917,996.9078905380183,996.82970626066,754.7706181708188,996.82970626066
8.0,0.659999999999997,0.0,0.6529924513815786,0.652870387497751,0.7411228643951763,0.652870387497751,-0.0600000000000023,0.0,-0.058417201062184176,-0.05859549536883424,-0.19857055138984286,-0.05859549536883424,-0.00019,-0.9597246164269748,-0.00019521391110810526,-0.00019580499702232147,-0.0006621206844373333,-0.00019580499702232147,4.1786,1.864915428517127,4.17867587912422,4.17863591709903,4.813861789673244,4.17863591709903,4.1278,1.4033854469377074,4.128491432590298,4.127839276001022,3.526999343220518,4.127839276001022,996.88,5.854440898407906,996.9536185510736,996.8751339368156,754.7823287781875,996.8751339368156
9.0,0.75,0.0,0.7462462430576124,0.7461083196505788,0.8470145057870031,0.7461083196505788,-0.0600000000000023,0.0,-0.0667560858928482,-0.06695850672562664,-0.22690417168389104,-0.06695850672562664,-0.0002199999999999,-1.0140850187038328,-0.00022314223079744622,-0.00022381290314706347,-0.0007566250806197594,-0.00022381290314706347,4.1784,1.864915428517127,4.178374898341806,4.178351051802705,4.81372468836575,4.178351051802705,4.1275,1.4033854469377074,4.128134386846003,4.127506453869924,3.5270237377390186,4.127506453869924,996.92,6.586246010708894,996.9993329032137,996.9205518647591,754.7940360034847,996.9205518647591
10.0,0.839999999999989,0.0,0.8394923338219087,0.8393389423122426,0.952910376804648,0.8393389423122426,-0.0699999999999932,0.0,-0.07509336952352896,-0.07531958063473576,-0.2552294046291936,-0.07531958063473576,-0.00025,-1.062712055554588,-0.00025108068940538075,-0.0002518297417401527,-0.0008511084385278274,-0.0002518297417401527,4.1781,1.864915428517127,4.178074135385648,4.178066393311376,4.813587651430489,4.178066393311376,4.1272,1.4033854469377074,4.127777550128602,4.127173817567388,3.5270481250362287,4.127173817567388,996.97,7.318051123009882,997.0450336164997,996.9659600483614,754.8057398484219,996.9659600483614
