Temperature (K),h Reference,h GRI,h Pure,h CP HEOS,h CP SRK,h CP PR,u Reference,u GRI,u Pure,u CP HEOS,u CP SRK,u CP PR,s Reference,s GRI,s Pure,s CP HEOS,s CP SRK,s CP PR,cp Reference,cp GRI,cp Pure,cp CP HEOS,cp CP SRK,cp CP PR,cv Reference,cv GRI,cv Pure,cv CP HEOS,cv CP SRK,cv CP PR,rho Reference,rho GRI,rho Pure,rho CP HEOS,rho CP SRK,rho CP PR
40.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,1.904858452705353,,,5.094525477424871,4.423254345519446,,1.4433284711259335,,,5.94585070630084,5.008982676545021,,548.8538342257411,,,548.8538342257411,548.8538342257411
50.0,,19.013929216867837,,,751.9734120614903,664.1702537282097,,14.398629401073777,,,471.20566020751176,398.70255297526705,,0.4243119505373736,,,2.6696176699626912,2.1979082277769573,,1.8980166368558462,,,4.097003116482518,3.5915852667453985,,1.4364866552764268,,,4.795455111215114,4.104516808196963,,439.08306738059287,,,439.08306738059287,439.08306738059287
60.0,,37.96209390245167,,,1304.5170929562187,1134.4801435087118,,28.73149427086355,,,809.2804242956709,682.8900810173134,,0.7697953262451858,,,4.416296808158065,3.6486074950211673,,1.8917031771496866,,,3.4453626226153022,3.060272226168694,,1.4301731955702672,,,4.061727505238407,3.530790025674039,,365.9025561504941,,,365.9025561504941,365.9025561504941
70.0,,56.84970686635097,,,1728.3586595936702,1490.3641398781988,,43.00380741896879,,,1064.9797637231843,898.3087339269715,,1.060960647901032,,,5.653122376454231,4.687600041507201,,1.885903955932787,,,2.995551978445748,2.6947202370439576,,1.4243739743533679,,,3.5593476889667994,3.1377012906043604,,313.63076241470924,,,313.6307624147093,313.6307624147093
80.0,,75.68184072300937,,,2064.622812952781,1771.8591379085938,,57.22064145983131,,,1266.0950298362773,1068.7366827963135,,1.3124366280487543,,,6.578494007062883,5.474346837108568,,1.880605051828115,,,2.669279205536079,2.428835692947772,,1.4190750702486956,,,3.1973162570485125,2.8535383652549813,,274.42691711287057,,,274.42691711287057,274.42691711287057
90.0,,94.46342985447882,,,2338.645243205304,2001.7632781776088,,71.3869307755067,,,1429.1596873779501,1207.9398861139452,,1.5336574502856193,,,7.299857315481678,6.094865535543996,,1.875792739735688,,,2.4228171672381684,2.226887212564932,,1.4142627581562686,,,2.9261228046752694,2.6398005725264135,,243.9350374336627,,,243.9350374336627,243.9350374336627
100.0,,113.19927237321099,,,2566.8679120064494,2194.190765679759,,85.50747347844663,,,1564.6382811028116,1324.508097738981,,1.731063267866352,,,7.8804024958560195,6.599779275333549,,1.871453490832579,,,2.2302580763016824,2.067998269027005,,1.4099235092531597,,,2.716709967402141,2.4740294023430804,,219.54153369029643,,,219.54153369029643,219.54153369029643
110.0,,131.89403208480144,,,2760.4247003828555,2358.425861585082,,99.5869333742412,,,1679.4814334539435,1424.1073135440456,,1.9092462961017551,,,8.359667693743615,7.0208712947474154,,1.8675739725729115,,,2.075412858990575,1.939200804886996,,1.406043990993492,,,2.5509963299002414,2.3422790751967897,,199.58321244572403,,,199.58321244572403,199.58321244572403
120.0,,150.55224045077557,,,2927.122864415936,2500.8632853159206,,113.62984192442127,,,1778.4880857586534,1510.639269033046,,2.0715961025889778,,,8.763628270953959,7.3791257813667945,,1.864141048687861,,,1.9476968924881723,1.832029470422363,,1.4026110671084413,,,2.4171926161039368,2.235454973632042,,182.95127807524705,,,182.95127807524705,182.95127807524705
130.0,,169.17829855136006,,,3072.598439711705,2626.0697832013598,,127.64060020921352,,,1865.0787681720992,1586.8849259735869,,2.220685716597405,,,9.110038258986933,7.688968399733005,,1.8611417791856577,,,1.8399166301823866,1.7407241712633363,,1.3996117976062386,,,2.3073133325459785,2.147387299503353,,168.87810283868959,,,168.87810283868959,168.87810283868959
140.0,,187.77647904824335,,,3201.0212622438185,2737.403474928896,,141.62348089030093,,,1941.757422755987,1654.8832372146314,,2.3585142411267226,,,9.41143784128138,7.960651591287982,,1.8585634203515826,,,1.7470152646540913,1.6612226373803687,,1.3970334387721632,,,2.2157756101981945,2.073752667243277,,156.81538120735462,,,156.81538120735465,156.81538120735465
150.0,,206.35092814735071,,,3315.5420152468523,2837.3942014759687,,155.58263017361423,,,2010.3990918974891,1716.164935856845,,2.486665560075057,,,9.676933946883072,8.201668184974924,,1.8563934247479692,,,1.6653288304260254,1.5905666892081984,,1.39486344316855,,,2.1385714332259806,2.0114390725767364,,146.36102246019763,,,146.36102246019763,146.36102246019763
160.0,,224.90566756162298,,,3418.5851535462643,2927.987081578114,,169.52206977209244,,,2072.435623205831,1771.9026136901437,,2.606415720194887,,,9.913299612561081,8.417626171219888,,1.8546194412142065,,,1.5921269558438418,1.526536770304554,,1.3930894596347871,,,2.072758362729004,1.958155774243972,,137.21345855643528,,,137.21345855643528,137.21345855643528
170.0,,243.4445964737788,,,3512.046355298362,3010.70400050113,,183.44569886845602,,,2128.979253898965,1823.0102970346866,,2.7188077015258605,,,10.12567735643257,8.61281014520496,,1.8532293148667303,,,1.5253187643129489,1.467417923290185,,1.3916993332873107,,,2.0161350085161263,1.9121847263785055,,129.14207864135085,,,129.14207864135085,129.14207864135085
180.0,,261.9714934990807,,,3597.428946070582,3086.753884659431,,197.35729607796202,,,2180.907056534954,1870.2114046139616,,2.824704783601126,,,10.318043207408127,8.790553075431902,,1.8522110870990338,,,1.4632578125284386,1.4118441026084683,,1.3906811055196147,,,1.9670276917275058,1.8722169994071063,,121.96751871683135,,,121.96751871683135,121.96751871683135
190.0,,280.4900186481191,,,3675.940225739289,3157.1099283804742,,211.26052141120635,,,2228.919989972301,1914.0862711565846,,2.924829463699745,,,10.493521107652679,8.953489215746508,,1.8515529955816619,,,1.4046080284133327,1.3586904280631849,,1.3900230140022425,,,1.924146215109978,1.8372419441669805,,115.5481756264718,,,115.5481756264718,115.5481756264718
200.0,,299.00371528956566,,,3748.560802734433,3222.5648716548562,,225.15891823685706,,,2273.585041478949,1955.1060945943073,,3.0197923808495,,,10.654600978619849,9.10373026637859,,1.85124347426221,,,1.348247962971684,1.3069952884062714,,1.3897134926827905,,,1.886483848831016,1.806470080574277,,109.77076684514822,,,109.77076684514822,109.77076684514822
210.0,,317.5160121129611,,,3816.095360570611,3283.771329754498,,239.05591524445845,,,2315.365849031235,1993.657641651834,,3.110114175545628,,,10.803293130973845,9.24299065028129,,1.8512711533653277,,,1.293199323183886,1.2559010801229713,,1.389741171785908,,,1.8532463802164536,1.7792781646728555,,104.54358747156974,,,104.54358747156974,104.54358747156974
220.0,,336.0302250914792,,,3879.2104027258156,3341.271715686995,,252.95482840718432,,,2354.6453130226573,2030.061526115721,,3.1962422595391073,,,10.941239633763791,9.372678259879905,,1.851624859392717,,,1.2385707195629532,1.2046062642822142,,1.3900948778132975,,,1.8238007655915862,1.7551692417055444,,99.79160622286201,,,99.79160622286201,99.79160622286201
230.0,,354.5495594446875,,,3938.462705296273,3395.5207743868905,,266.8588629445967,,,2391.7425345414945,2064.5859309927973,,3.278563854833047,,,11.06979597914247,9.493961283960925,,1.8522936151231313,,,1.183510403746479,1.15232359832255,,1.390763633543712,,,1.7976373315103165,1.7337430938571734,,95.45284073491149,,,95.45284073491149,95.45284073491149
240.0,,373.0771116013311,,,3994.3210340014903,3446.902780188717,,280.77111528544447,,,2426.925668783877,2097.4570456408123,,3.357416255594326,,,11.190091866997072,9.607818156752968,,1.8532666396123778,,,1.1271633145694961,1.098240501288765,,1.3917366580329582,,,1.774341560345737,1.7146740782977825,,91.47563903762352,,,91.47563903762352,91.47563903762352
250.0,,391.6158711620974,,,4047.182909014847,3495.7448194248695,,294.6945750304203,,,2460.4217934818516,2128.867098133228,,3.433094993842559,,,11.303077068170516,9.715075400157376,,1.854533348193316,,,1.0686284221576285,1.0414778611911282,,1.3930033666138968,,,1.7535727995063672,1.697694338312188,,87.81661347611858,,,87.81661347611858,87.81661347611858
260.0,,410.16872286239413,,,4097.387681748558,3542.327161150357,,308.632126914923,,,2492.424566771786,2158.9806032001434,,3.5058604026507325,,,11.40955646421907,9.816436651543576,,1.856083352475857,,,1.0069123431116995,0.9810433035261242,,1.3945533708964377,,,1.735048064691949,1.6825809965168086,,84.43905141934479,,,84.43905141934479,84.43905141934479
270.0,,428.7384485351031,,,4145.226832719239,3586.891434906334,,322.58655277183425,,,2523.100228169153,2187.939269867642,,3.5759429400274456,,,11.510217128969613,9.912505187165559,,1.857906460346966,,,0.9408745000426582,0.9157739517477368,,1.3963764787675466,,,1.7185296484174992,1.6691463450859354,,81.31167914455423,,,81.31167914455423,81.31167914455423
273.16,,,,,,,,,,,,,,,,,,,4.172,,,,,,4.1715,,,,,,1004.9,,,,,
280.0,,447.32772907336766,0.0,0.0,4190.952153041591,3629.6471382802483,,336.5605334943066,0.0,0.0,2552.592344018496,2215.8658913166505,,3.643547544113124,0.0,0.0,11.605649485482338,10.003801586408608,4.1617,1.8599926759706589,4.16667192031739,4.161717340596966,0.8691575368330642,0.8442617701859991,4.1587,1.3984626943912397,4.164267012319422,4.158737875235592,1.7038156049939241,1.6572303175606096,1004.7,78.40769060367731,1004.7319728552256,1004.7350054967678,78.40769060367732,78.40769060367732
290.0,,465.9391463933516,41.629240404789016,41.57642494620308,4234.782298283804,3670.7768593630603,,350.5566509984965,41.616562794921265,41.56304149905563,2581.0255920699774,2242.867454199217,,3.70885722378884,0.14608337170835872,0.14589786641090155,11.696364001529686,10.090777724521947,4.1548,1.8623321997880056,4.158482553639782,4.154785771834928,0.7900938441949551,0.7647511390696329,4.1319,1.4008022182085862,4.136887316724889,4.131873304719997,1.6907324286558159,1.6466947109017438,1003.4,75.70397713458497,1003.4705069590741,1003.4033911251965,75.70397713458497,75.70397713458497
300.0,,484.57518539702323,83.17683042199133,83.11352937033747,4276.908079219226,3710.4405011533795,,364.57739018637585,83.14029234777809,83.07603474565197,2608.508803974196,2269.0376439427296,,3.772036040323716,0.28693678421959934,0.28671523672963073,11.782804489396566,10.173827961790154,4.1533,1.864915428517127,4.151893296185929,4.1532764959801245,0.7015740316715686,0.6749922928054697,4.098,1.4033854469377074,4.096520687850531,4.097982216907178,1.6791294132750811,1.6374187558233912,1001.0,73.18051123009882,1001.1048789167226,1001.0132848382391,73.18051123009882,73.18051123009882
310.0,,503.2382359349085,124.68532630669506,124.65145268157391,4317.496764143698,3748.77872416546,,378.6251409084671,124.61551902145402,124.58091211931253,2635.137429847169,2294.458878768671,,3.833231599940433,0.4230425174632795,0.4229172260474571,11.86535879527879,10.253298170621447,4.1547,1.8677329551531987,4.150634569749973,4.154656847222718,0.600854307250823,0.5720235420415083,4.0588,1.4062029735737793,4.0526158347476215,4.0587631891949,1.6688743053099038,1.62929572702013,997.76,70.81984957751499,997.8249846659106,997.755925854096,70.81984957751499,70.81984957751499
320.0,,521.9305947688736,166.20288791138773,166.21203921811434,4356.6956016511285,3785.9157717493126,,392.70219992663806,166.09180219058362,166.10066988892598,2660.9955492243507,2319.2039731532495,,3.8925771505180133,0.5548551380957254,0.5548664245315146,11.944367462980157,10.32949307958605,4.1577,1.8707755689684475,4.153382946412904,4.157672529544683,0.4842636044703896,0.4518355155097603,4.0154,1.4092455873890282,4.007758208238049,4.015403744297099,1.659849952125193,1.6222303544053132,993.76,68.60672927821764,993.7852435600108,993.7605676068035,68.60672927821764,68.60672927821764
330.0,,540.6544675348978,207.76038238462206,207.8085530246002,4394.634724101329,3821.9618043751966,,406.8107728768664,207.6010026357253,207.64933440190808,2686.1575233628196,2343.337507819037,,3.950193355559014,0.6827340461773574,0.6828654715332654,12.020130811542444,10.40268229559086,4.1618,1.8740342555121512,4.158378729269188,4.1617966499565435,0.3467408648783214,0.3088329217627839,3.9689,1.4125042739327318,3.9623060094599705,3.96892127841678,1.6519517156497299,1.6161368492719572,989.12,66.52773748190802,989.1002427956793,989.1187389294878,66.52773748190802,66.52773748190802
340.0,,559.4119707058271,249.37443793550483,249.45128089782125,4431.429555666483,3857.01484056207,,420.95297623199986,249.16040024317954,249.23769986972263,2710.689361993222,2366.9169657084362,,4.0061898032576195,0.8069638711098643,0.8071809733011935,12.092914760413551,10.47310527899415,4.1669,1.8775001966106433,4.164593235646954,4.166920603449638,0.18107261949111667,0.13493317832191745,3.9202,1.415970215031224,3.9161351547464047,3.9202436517241237,1.6450854730379036,1.6109374001012036,983.9,64.57103932067542,983.8508840158365,983.8974190210137,64.57103932067542,64.57103932067542
350.0,,578.2051335541637,291.05533950866993,291.1506765114322,4467.18282144656,3891.162380589067,,435.1308392645424,290.78066517155276,290.87654932933765,2734.6498612023233,2389.993680108796,,4.060666296762804,0.9277860373375488,0.9280568134557241,12.162955657506064,10.54097548253801,4.1732,1.8811647703673076,4.171751538621467,4.173161383483511,-0.023425426903477653,-0.08202220785809836,3.8702,1.419634788787888,3.869199535994958,3.870205572179149,1.6391660659184224,1.6065610246890152,978.15,62.72615248294184,978.0921424152898,978.1466787273754,62.72615248294184,62.72615248294184
