Pressure (atm),h Reference,h GRI,h Pure,h CP HEOS,h CP SRK,h CP PR,u Reference,u GRI,u Pure,u CP HEOS,u CP SRK,u CP PR,s Reference,s GRI,s Pure,s CP HEOS,s CP SRK,s CP PR,cp Reference,cp GRI,cp Pure,cp CP HEOS,cp CP SRK,cp CP PR,cv Reference,cv GRI,cv Pure,cv CP HEOS,cv CP SRK,cv CP PR,rho Reference,rho GRI,rho Pure,rho CP HEOS,rho CP SRK,rho CP PR
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.313,14.310905255369768,14.862602411317186,14.312822370564051,14.313190035016863,14.312822370564051,10.186,10.186667845571534,10.736615185169955,10.186376395540712,10.18588993372374,10.186376395540712,0.081841,0.08189392763801234,0.0818425359686176,0.08184048779672923,0.08184634644108829,0.08184048779672923
2.0,0.399999999999636,0.0,0.5044821029149489,0.4395628325166181,0.2245611926880665,0.4395628325166181,-0.299999999999727,0.0,-0.2537647161482255,-0.29357085559517143,-0.42261852621706203,-0.29357085559517143,-2.859,-2.858703532561499,-2.85959257627092,-2.859854814932405,-2.860278646294697,-2.859854814932405,14.316,14.310905255369768,14.865416681873162,14.315607152518638,14.316356450355658,14.315607152518638,10.187,10.186667845571534,10.737740735067508,10.187209192853073,10.186250651719062,10.187209192853073,0.16358,0.16378785527602469,0.16358488383105882,0.16358410858564354,0.1636071645699278,0.16358410858564354
3.0,0.899999999999636,0.0,1.0093014605273503,0.8798519004639238,0.4510022101425566,0.8798519004639238,-0.599999999999909,2.2737367544323206e-13,-0.5071574516296096,-0.5866939821657725,-0.8444798973826692,-0.5866939821657725,-4.533,-4.530937899789066,-4.532696922250089,-4.5331665360777915,-4.534013511735699,-4.5331665360777915,14.318,14.310905255369768,14.868224498363695,14.31838534639964,14.319509369919919,14.31838534639964,10.188,10.186667845571534,10.738864338500878,10.188041903909673,10.186610723459106,10.188041903909673,0.24523,0.245681782914037,0.24522723401201868,0.24523097914423378,0.2452823661786443,0.24523097914423378
4.0,1.29999999999973,0.0,1.5144620552200365,1.3208742483425886,0.6793178719189018,1.3208742483425886,-0.899999999999636,0.0,-0.7601781101227516,-0.879367257761769,-1.2655851235873998,-0.879367257761769,-5.72,-5.717407065122998,-5.72002756167948,-5.720681610717118,-5.721950045931182,-5.720681610717118,14.321,14.310905255369768,14.87102583284911,14.321156872382751,14.322648832351417,14.321156872382751,10.189,10.186667845571534,10.739986023409747,10.18887452662347,10.186970149806019,10.18887452662347,0.32678,0.32757571055204937,0.32676977650075606,0.3267812148072168,0.3268718648084725,0.3267812148072168
5.0,1.69999999999982,0.0,2.0199678107073993,1.762636745331809,0.909503002807498,1.762636745331809,-1.19999999999982,2.2737367544323206e-13,-1.0128265933990406,-1.1715886002290063,-1.6859352201949804,-1.1715886002290063,-6.642,-6.637704047208288,-6.641180801188568,-6.6420063596386605,-6.643694277499424,-6.6420063596386605,14.324,14.310905255369768,14.873820657389727,14.323921653019411,14.325774876399446,14.323921653019411,10.19,10.186667845571534,10.741105780480886,10.189707058922512,10.187328931626443,10.189707058922512,0.40824,0.40946963819006166,0.4082126984232474,0.4082349295189546,0.4083755757391076,0.4082349295189546
6.0,2.19999999999982,0.0,2.525822600592626,2.20514608802693,1.141552432954777,2.20514608802693,-1.5,2.2737367544323206e-13,-1.2651028070449684,-1.4633559667975642,-2.1055312077696433,-1.4633559667975642,-7.395,-7.389641432350572,-7.393970689032223,-7.394959285064862,-7.397064594725227,-7.394959285064862,14.327,14.310905255369768,14.876608953359097,14.326679613194225,14.328887540917657,14.326679613194225,10.191,10.186667845571534,10.742223628340746,10.19053949874993,10.187687069791462,10.19053949874993,0.48959,0.491363565828074,0.48955618555393354,0.4895922358846079,0.4897934159789512,0.4895922358846079
7.0,2.59999999999991,0.0,3.0320302640141463,2.6484088031314315,1.3754609979656525,2.6484088031314315,-1.79999999999973,2.2737367544323206e-13,-1.517006665229701,-1.7546673536803574,-2.5243741120053453,-1.7546673536803574,-8.031,-8.025395432839986,-8.030574230009684,-8.031719747547365,-8.034240310724075,-8.031719747547365,14.329,14.310905255369768,14.879390692817543,14.329430680083133,14.331986864860923,14.329430680083133,10.191,10.186667845571534,10.743339576302555,10.191371844063955,10.188044565176536,10.191371844063955,0.57085,0.5732574934660863,0.5708004244739469,0.5708532452200503,0.5711253042547416,0.5708532452200503
8.0,3.09999999999991,0.0,3.5385945683694473,3.0924312501172535,1.6112235390241259,3.0924312501172535,-2.0,0.0,-1.7685380764007732,-2.045520795668941,-2.9424649636535904,-2.045520795668941,-8.583,-8.57611059768449,-8.58213642021827,-8.5834341691113,-8.586367830489587,-8.5834341691113,14.332,14.310905255369768,14.88216585713861,14.332174783112153,14.335072887282214,14.332174783112153,10.192,10.186667845571534,10.74445362436631,10.192204092837928,10.18840141866145,10.192204092837928,0.65202,0.6551514211040987,0.6519455970128376,0.6520180676005684,0.6523711610015213,0.6520180676005684
9.0,3.5,0.0,4.045519246938873,3.537219623836223,1.8488349029975943,3.537219623836223,-2.29999999999973,0.0,-2.0196969561575315,-2.3359143657381645,-3.3598047984526493,-2.3359143657381645,-9.07,-9.061875799578146,-9.068746430542319,-9.07019262531778,-9.073537228324486,-9.07019262531778,14.335,14.310905255369768,14.884934427695848,14.334911853916834,14.338145647329535,14.334911853916834,10.193,10.186667845571534,10.74556578184524,10.193036243060295,10.18875763113023,10.193036243060295,0.73309,0.737045348742111,0.7329918856373495,0.7330868119083724,0.7335309083526335,0.7330868119083724
10.0,4.0,0.0,4.552807982851519,3.9827799571128564,2.088289942545816,3.9827799571128564,-2.59999999999991,2.2737367544323206e-13,-2.270483221530867,-2.625846174648963,-3.7763946570586415,-2.625846174648963,-9.505,-9.496407579769794,-9.504121001204474,-9.505712474197448,-9.509465869906672,-9.505712474197448,14.338,14.310905255369768,14.887696395176034,14.337641826302352,14.341205184242838,14.337641826302352,10.194,10.186667845571534,10.746676058052568,10.193868292734612,10.189113203471111,10.193868292734612,0.81406,0.8189392763801233,0.8139394710907363,0.8140595858789407,0.8146044701292644,0.8140595858789407
