Temperature (K),h Reference,h GRI,h Pure,h CP HEOS,h CP SRK,h CP PR,u Reference,u GRI,u Pure,u CP HEOS,u CP SRK,u CP PR,s Reference,s GRI,s Pure,s CP HEOS,s CP SRK,s CP PR,cp Reference,cp GRI,cp Pure,cp CP HEOS,cp CP SRK,cp CP PR,cv Reference,cv GRI,cv Pure,cv CP HEOS,cv CP SRK,cv CP PR,rho Reference,rho GRI,rho Pure,rho CP HEOS,rho CP SRK,rho CP PR
13.957,0.0,,,,,,0.0,,,,,,0.0,,,,,,6.3705,,,,,,5.2346,,,,,,83.536,,,,,
20.0,41.832,,,,,,36.484,,,,,,2.4759,,,,,,7.6488,,,,,,5.6245,,,,,,80.009,,,,,
30.0,132.109,,,,,,114.041,,,,,,6.0981,,,,,,10.452,,,,,,6.3198,,,,,,72.704,,,,,
40.0,251.069,0.0,0.0,0.0,0.0,0.0,212.944,0.0,0.0,0.0,0.0,0.0,9.5005,0.0,0.0,0.0,0.0,0.0,13.321,10.861831206777737,13.33904473919404,13.3208284124852,15.712529616691477,16.6601708520517,6.646,6.737593796979502,6.555970372304723,6.646049621326494,6.7784550048465615,6.287221878521628,63.559,61.42044572850925,63.38478690909814,63.55914851291049,61.42044572850925,61.42044572850925
50.0,396.659,109.93886819171576,144.8549676620878,145.58467512297653,160.22556493748056,159.1853244549089,327.254,68.69649409373278,113.510363813617,114.30331768063735,122.577209205864,111.38302462135916,12.7396,2.45212915358751,3.2234779647621146,3.2390907543700003,3.518616076669754,3.114015984370636,15.584,11.123626429088914,15.44903736822681,15.584309234191709,16.16410563778273,16.305344928059004,6.7434,6.99938901929068,6.631258053890878,6.743398633134933,6.6440842646352865,6.278716617279639,53.133,49.136356582807394,52.99381055546679,53.133251221690806,49.136356582807394,49.136356582807394
60.0,556.629,222.42698145536497,303.8250746679428,305.55512701817867,315.5585663075054,308.17029296389035,443.834,139.94223325940038,229.36102897589853,230.88526114484262,227.58398769516543,208.59289814780573,15.6546,4.502342776229458,6.120106478729262,6.154286015317414,6.104896483845021,5.472148981396581,16.096,11.371757270109283,16.07859242691059,16.095830195369892,15.430536515384983,15.168410705987306,6.7797,7.2475198603110496,6.847130288715302,6.779709674874804,6.604161219238561,6.318679959936064,43.285,40.946963819006164,43.241960021871186,43.28494825481988,40.946963819006164,40.946963819006164
70.0,714.359,337.3299952780462,463.0378405578831,463.2948028115197,462.4346159204491,448.9195449390535,551.464,213.60287298409958,338.8212826065428,338.51474627787763,322.4383940579924,297.87375085179207,18.0876,6.273115413471661,8.575150100244699,8.587348356860046,8.168996458267266,7.389744718136616,15.359,11.606682373005919,15.709935808270217,15.359178851305364,14.595245577681819,14.255737622110248,6.8355,7.482444963207685,7.268037548487236,6.835463891541115,6.655696105049437,6.4246652417520576,35.653,35.09739755914814,35.66858226103857,35.65289855851234,35.09739755914814,35.09739755914814
80.0,863.539,454.51811507349476,618.4347382767041,612.470502190531,602.9138260448059,584.3368193916258,649.184,289.5486186815656,443.04955600809717,436.24242240739574,411.5432542191749,382.88538820114326,20.0806,7.837614602870602,10.650612669673809,10.58058386990619,9.902554901111214,9.021831502600184,14.509,11.828853079939421,15.42768606760492,14.509102292138536,13.984407582293647,13.675260447790933,6.9522,7.7046156701411865,7.911922339594477,6.952235072866292,6.7914816584559246,6.599532753690142,30.188,30.710222864254625,30.22442112187803,30.188008936759033,30.710222864254625,30.710222864254625
90.0,1005.499,573.8660231720273,772.8250508527094,754.4045757697609,739.3383366061859,716.7465114484976,740.504,367.6541526821152,546.9187011973163,527.5612469703439,497.73241843480264,465.99576429415555,21.7536,9.243087890695712,12.468978236880051,12.25300090687911,11.411150708294368,10.456443204175796,13.926,12.038713432063979,15.504839973399934,13.926033033746629,13.611749481502574,13.355433312613293,7.1343,7.914476022265744,8.715840009390046,7.134299585371949,6.994220731533386,6.831446265046897,26.232,27.297975879337443,26.266105159155295,26.232210746563688,27.297975879337443,27.297975879337443
100.0,1142.899,695.2528058104608,929.360894063811,891.8504675251033,873.5631908611632,847.8258542859362,828.604,447.79856122256615,654.0433267029784,615.6630925594955,582.8655615538103,548.7654161781034,23.2016,10.521842143050872,14.117945052045357,13.70143939207206,12.7580383904299,11.747310050005154,13.599,12.236700169527305,15.830284327395107,13.599445123278318,13.421703570064555,13.215713168709918,7.3647,8.11246275972907,9.576114660462384,7.364711043526543,7.2417741480065,7.101461024900629,23.261,24.568178291403697,23.2837611655867,23.260709021124672,24.568178291403697,24.568178291403697
