Pressure (atm),h Reference,h GRI,h Pure,h CP HEOS,h CP SRK,h CP PR,u Reference,u GRI,u Pure,u CP HEOS,u CP SRK,u CP PR,s Reference,s GRI,s Pure,s CP HEOS,s CP SRK,s CP PR,cp Reference,cp GRI,cp Pure,cp CP HEOS,cp CP SRK,cp CP PR,cv Reference,cv GRI,cv Pure,cv CP HEOS,cv CP SRK,cv CP PR,rho Reference,rho GRI,rho Pure,rho CP HEOS,rho CP SRK,rho CP PR
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0414,1.0378911357957465,1.0405847077718504,1.041356311953779,1.0415995849018758,1.041356311953779,0.74317,0.7410944406378526,0.7423975057742995,0.7431675813737176,0.7433381612171603,0.7431675813737176,1.1382,1.1379843694698797,1.1382117487348469,1.1381646864624473,1.1380119110823603,1.1381646864624473
2.0,-0.21999999999997,0.0,-0.22493630322479286,-0.22343041927099694,-0.221973519283114,-0.22343041927099694,-0.20999999999998,0.0,-0.20938659865525722,-0.20757295530760894,-0.21862566110209444,-0.20757295530760894,-0.2064,-0.2057237924482047,-0.20641650526464783,-0.20641967087075408,-0.20645521958950122,-0.20641967087075408,1.043,1.0378911357957465,1.0422354043439939,1.0429944476244966,1.043485047364808,1.0429944476244966,0.74342,0.7410944406378526,0.7426498202864811,0.7434193617173369,0.7437651355078136,0.7434193617173369,2.2767,2.2759687389397594,2.2768211999519226,2.276734913856956,2.276109405731315,2.276734913856956
3.0,-0.439999999999998,0.0,-0.4494337658036818,-0.4464244073617738,-0.44329342515359166,-0.4464244073617738,-0.419999999999988,1.4210854715202004e-14,-0.4187194646618764,-0.415119142478914,-0.43702745236555346,-0.415119142478914,-0.3274,-0.3260644965365467,-0.3274508769139004,-0.32745340913806015,-0.32752433223632943,-0.32745340913806015,1.0446,1.0378911357957465,1.043886500343473,1.0446334790344716,1.0453691643599312,1.0446334790344716,0.74367,0.7410944406378526,0.7429013005873848,0.7436705789264476,0.7441916725823366,0.7436705789264476,3.4157,3.4139531084096393,3.415813775287136,3.4156951754737275,3.4142760130829912,3.4156951754737275
4.0,-0.670000000000016,0.0,-0.6734884920245094,-0.6689785570216482,-0.6639569329803344,-0.6689785570216482,-0.619999999999976,0.0,-0.6279962794374541,-0.6226358290117642,-0.6552026873148862,-0.6226358290117642,-0.4135,-0.41144758489640854,-0.41352752736862897,-0.413527900206439,-0.41363372034247003,-0.413527900206439,1.0463,1.0378911357957465,1.0455379343566578,1.0462733410932843,1.0472518541512266,1.0462733410932843,0.74392,0.7410944406378526,0.7431519478866386,0.7439212302442151,0.7446177671940627,0.7439212302442151,4.555,4.551937477879519,4.555174810883322,4.555029908375049,4.552495252934124,4.555029908375049
5.0,-0.889999999999986,0.0,-0.897096571979695,-0.8910894470109488,-0.8839612876921892,-0.8910894470109488,-0.829999999999984,1.4210854715202004e-14,-0.8372147044855893,-0.8301202789162053,-0.873148690247297,-0.8301202789162053,-0.4804,-0.4776758534722614,-0.48044891134581835,-0.4804463127640411,-0.4805864587581555,-0.4804463127640411,1.0479,1.0378911357957465,1.047189644228681,1.047913968150318,1.0491330351341899,1.047913968150318,0.74417,0.7410944406378526,0.7434017633893232,0.7441713129615929,0.7450434141173639,0.7441713129615929,5.6947,5.689921847349399,5.694889521982609,5.694723493362531,5.690750637736375,5.694723493362531
6.0,-1.11000000000001,0.0,-1.1202540891234967,-1.1127536430162728,-1.1033037641154952,-1.1127536430162728,-1.03999999999999,1.4210854715202004e-14,-1.0463723877187476,-1.0375697528067975,-1.0908627965552733,-1.0375697528067975,-0.535200000000001,-0.5317882889847487,-0.5352538578703792,-0.5352477936186179,-0.5354216534861626,-0.5352477936186179,1.0496,1.0378911357957465,1.0488415671271003,1.0495552940087356,1.05101262585273,1.0495552940087356,0.74442,0.7410944406378526,0.7436507482777812,0.7444208244173705,0.7454686081482819,0.7444208244173705,6.8348,6.827906216819279,6.834943035919302,6.834760255013125,6.829025674593238,6.834760255013125
7.0,-1.32999999999998,0.0,-1.342957122279331,-1.3339676985660336,-1.32198166730738,-1.3339676985660336,-1.25,1.4210854715202004e-14,-1.2554669646365113,-1.2449815080043045,-1.3083423530480067,-1.2449815080043045,-0.581700000000001,-0.5775397013138228,-0.5816970879461989,-0.5816872330262859,-0.5818941739243483,-0.5816872330262859,1.0512,1.0378911357957465,1.0504936395691862,1.051197251939761,1.0528905450160237,1.051197251939761,0.74467,0.7410944406378526,0.7438989037298088,0.7446697619982245,0.7458933441051545,0.7446697619982245,7.9751,7.965890586289158,7.975320397179068,7.975124461783443,7.967303867258813,7.975124461783443
8.0,-1.55000000000001,0.0,-1.565201737268013,-1.5547281559479889,-1.5399923328805598,-1.5547281559479889,-1.44999999999999,0.0,-1.464496049749414,-1.4523527986463451,-1.5255847182693252,-1.4523527986463451,-0.622000000000001,-0.6171713773446124,-0.6220198296192958,-0.6220059614983248,-0.6222453389801849,-0.6220059614983248,1.0528,1.0378911357957465,1.0521457973537074,1.0528397746972624,1.0547667115153212,1.0528397746972624,0.74492,0.7410944406378526,0.7441462309141063,0.744918123138775,0.7463176168292375,0.744918123138775,9.1158,9.103874955759037,9.11600651926127,9.115800326181821,9.105568718137835,9.115800326181821
9.0,-1.76999999999998,0.0,-1.7869839995162329,-1.7750315471261273,-1.7573331273245276,-1.7750315471261273,-1.66,0.0,-1.6734572477029843,-1.6596808758066035,-1.7425872628143115,-1.6596808758066035,-0.6576,-0.6521289930730907,-0.657667717650015,-0.6576496793268579,-0.6579208422603761,-0.6576496793268579,1.0545,1.0378911357957465,1.053797975724641,1.054482794532632,1.0566410444406953,1.054482794532632,0.74517,0.7410944406378526,0.7443927309948272,0.7451659053216445,0.7467414211853227,0.7451659053216445,10.257,10.241859325228917,10.256986243991557,10.256772005007551,10.24380373028622,10.256772005007551
10.0,-1.99000000000001,0.0,-2.008299969729807,-1.9948743946568575,-1.9740014483175474,-1.9948743946568575,-1.86999999999998,1.4210854715202004e-14,-1.8823481485248266,-1.8669629876228282,-1.959347369642288,-1.8669629876228282,-0.6896,-0.6833996459204661,-0.6896278175322132,-0.6896054970786163,-0.6899077905282184,-0.6896054970786163,1.0561,1.0378911357957465,1.0554501093075082,1.0561262432099445,1.0585134630977222,1.0561262432099445,0.74541,0.7410944406378526,0.7446384051315769,0.7454131060775178,0.7471647520623492,0.7454131060775178,11.398,11.379843694698797,11.398244314305012,11.39802359965668,11.381992409411518,11.39802359965668
11.0,-2.20999999999998,0.0,-2.229145705836927,-2.2142532126068253,-2.1899947250341065,-2.2142532126068253,-2.07999999999998,1.4210854715202004e-14,-2.091166328761375,-2.0741963794332405,-2.1758624343881965,-2.0741963794332405,-0.718500000000001,-0.7116873923012941,-0.7186041595963184,-0.7185774774243555,-0.7189102444716536,-0.7185774774243555,1.0578,1.0378911357957465,1.0571021321684901,1.0577700520213906,1.060383887024091,1.0577700520213906,0.74566,0.7410944406378526,0.744883254470319,0.7456597229852097,0.7475876043740112,0.7456597229852097,12.54,12.517828064168677,12.539765379158515,12.539539156493687,12.520118265872545,12.539539156493687
