Temperature (K),h Reference,h GRI,h Pure,h CP HEOS,h CP SRK,h CP PR,u Reference,u GRI,u Pure,u CP HEOS,u CP SRK,u CP PR,s Reference,s GRI,s Pure,s CP HEOS,s CP SRK,s CP PR,cp Reference,cp GRI,cp Pure,cp CP HEOS,cp CP SRK,cp CP PR,cv Reference,cv GRI,cv Pure,cv CP HEOS,cv CP SRK,cv CP PR,rho Reference,rho GRI,rho Pure,rho CP HEOS,rho CP SRK,rho CP PR
40.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.9939781448683744,,,2.8762331859202352,-1.3168227097174763,,0.6971814497104805,,,1.384334328498575,1.208988669326472,,853.4882771024098,,,853.4882771024098,853.4882771024098
50.0,,9.956043426798601,,,45.59138254696608,54.97549906363533,,6.988076475219657,,,45.58383402683661,40.28564541291914,,0.22214933163091066,,,0.6969165701282366,0.5679754974170291,,0.9971985715715947,,,-1.0690384779718225,0.22931202221415162,,0.7004018764137008,,,1.2258593796230617,1.0930482292519441,,682.7906216819277,,,682.7906216819277,682.7906216819277
60.0,,19.943347403667218,,,92.85751861956216,99.64404360758027,,14.007413500509358,,,80.20718098839987,70.61151834052436,,0.40423101226419433,,,1.1422618435360947,0.9491451089088546,,1.000231784140436,,,-0.12007191950028369,0.262074709397313,,0.703435088982542,,,1.1238595086167662,1.0197064368744047,,568.9921847349398,,,568.9921847349398,568.9921847349398
63.151,,,,,,,,,,,,,,,,,,,1.9552,,,,,,1.2021,,,,,,883.28,,,,,
70.0,,29.960085376754762,0.0,0.0,133.18769963412447,136.2128720983999,,21.056184522017986,0.0,0.0,107.99088115655906,95.05153546239157,,0.5586340562001153,0.0,0.0,1.4678564322926493,1.2344356636492813,1.9539,1.0030868710484901,1.9535230890764663,1.9539357064802128,-0.06845204054722787,0.1717164057010716,1.1549,0.7062901758905964,1.1433048731206343,1.154930145675524,1.0535206371024488,0.9694403185373157,857.58,487.7075869156628,856.2869749472432,857.5812589184842,487.7075869156627,487.7075869156627
80.0,,40.00452080619672,19.573695156884526,19.557815637048595,167.6715601581449,167.18922590477885,,28.132652999880975,19.040928730667872,18.996227315561118,131.21325162378193,115.67141653489224,,0.6927548107094874,0.26136846191891916,0.2611501686627075,1.7220931590200437,1.46110723396088,1.9595,1.0057727466194457,1.9565817896238442,1.9595099875058404,-0.1902031039690943,0.009846208097718644,1.0936,0.7089760514615517,1.073664591768333,1.0935700252400993,1.0025395257689862,0.9330470352629396,818.67,426.7441385512049,819.3949209289167,818.6691163529737,426.7441385512049,426.7441385512049
90.0,,50.07500542461591,39.1621557173022,39.23716750579316,197.68377372953984,194.19727780573578,,35.235170666721245,37.98236219753818,38.024121921699,151.2402643839043,133.65084285720081,,0.8113651161846307,0.4920772746835791,0.4929169862244139,1.9292233697970826,1.6484080962113725,1.9792,1.0082981510270923,1.9656843848473893,1.9792066467881817,-0.4483757357979659,-0.2519465686635009,1.0422,0.7115014558691982,1.0140272435205204,1.042183351998324,0.9641677974165327,0.9056170576278322,777.73,379.32812315662653,778.6528598000339,777.7328555262021,379.32812315662653,379.32812315662653
100.0,,60.169977495623726,58.99782228604073,59.21121976413422,224.28515711482055,218.2894259960275,,42.36217578615009,57.03533204082703,57.22387680437331,168.9419394460116,149.72011072557072,,0.9177240668831108,0.7010285105666396,0.7033273200391422,2.103178073098735,1.807576549494012,2.0198,1.010671650295318,2.007302502319245,2.0198029710797387,-0.9385106276845661,-0.7184066509131485,0.99996,0.7138749551374239,0.9783963441936517,0.999962857235228,0.9344175791633526,0.8842947549975244,734.1,341.3953108409639,734.4756601536272,734.1034888129686,341.3953108409639,341.3953108409639
110.0,,70.2879600723208,79.42575449235943,79.73661008148213,248.2505885492178,240.17296923217492,,49.512191411268276,76.49562995773624,76.79668410062159,184.89911981380064,164.3586949863009,,1.014157052666334,0.8956693556163855,0.898901126547672,2.2526592563008454,1.9457215301061255,2.0916,1.0129016362981087,2.084306571497018,2.091609720943527,-2.058239748060938,-1.7708836102270338,0.96607,0.716104941140215,0.9561527063832844,0.9660743142202695,0.910792845225822,0.8673087985369098,686.71,310.35937349178533,686.3353983128131,686.7101833620688,310.35937349178533,310.35937349178533
120.0,,80.42755925579809,100.81934397632546,101.20019044831302,270.1465396609298,260.3410095233749,,56.68382364316659,96.64687894550838,97.03077419159443,199.51452732923877,177.89587406059562,,1.102381779813657,1.0817436483257241,1.0855839263925204,2.3834345001286628,2.0676082545026753,2.2107,1.0149963267595519,2.2025842692322914,2.210673831348512,-6.827024679193713,-6.38575394358873,0.94025,0.718199631601658,0.9401747051037647,0.9402472066764653,0.891658080122904,0.8535041538513373,633.89,284.4960923674699,633.0624203031938,633.8904524892176,284.4960923674699,284.4960923674699
130.0,,90.58746245363798,123.69177307342187,124.17825900214515,290.39272428839456,279.1484386549736,,63.87575988942754,117.83159028212032,118.31773030741932,213.0762033154059,190.56598496269223,,1.18370334556468,1.264723474747858,1.2694069010667923,2.4995030362781763,2.1765760555516294,2.3978,1.0169637652538317,2.3856682199711443,2.397831170983332,13.457974852163131,11.514196005179288,0.92261,0.7201670700959378,0.9280032319403194,0.9226102751453803,0.8759007326784956,0.8420968779476693,573.24,262.6117775699723,572.6760705698216,573.243469887717,262.6117775699723,262.6117775699723
140.0,,100.76643663841517,148.83136700884114,149.3923516699964,309.3051808176359,296.8576596267429,,71.08676712262582,140.48921810661284,141.03515268793342,225.79560555391836,202.54071011865796,,1.2591368133218004,1.4509047088732503,1.4561465595990088,2.6037394595124597,2.2750493387613053,2.6512,1.0188118212052322,2.6527467781356022,2.6512341283153793,4.3727030621489895,4.02023538127276,0.91208,0.7220151260473382,0.9198924459786005,0.9120828296604014,0.8627400074448999,0.8325371037256781,502.3,243.8537934578314,502.22514354061497,502.29506900374895,243.85379345783136,243.85379345783136
150.0,,110.96332660619763,176.49203975961746,176.96825157051452,327.12571679140353,313.667177532324,,78.3156901388293,164.34697062609297,164.82513358910796,237.8314530422788,213.94890440291013,,1.329487396477178,1.641669494061425,1.6463289395607477,2.6982718617914623,2.3648399689013035,2.8251,1.0205481898881366,2.831666215804791,2.8251101163263135,2.9206408400185113,2.74547283319294,0.90235,0.7237514947302426,0.9132016103066355,0.9023498290002178,0.8516132653670037,0.8244283854759912,422.92,227.59687389397595,422.5724847331096,422.9218884853901,227.59687389397595,227.59687389397595
160.0,,121.17705323504782,204.1748693810628,204.68609666713917,344.04213140485695,329.73012158002734,,85.56144981610055,186.92329629280692,187.42991046723648,249.30518089237512,224.88927693239418,,1.395404711136616,1.8203945672090756,1.8252747688486939,2.7847151396559764,2.4473351773248426,2.6586,1.0221803924270272,2.651465066202596,2.6585580433221083,2.3287087854971285,2.218424576608645,0.88471,0.7253836972691332,0.8965423958675696,0.8847103431590503,0.8421057811758934,0.8174781356448383,348.54,213.37206927560246,348.3797794522837,348.5385089150795,213.37206927560246,213.37206927560246
170.0,,131.4066117435234,228.99271620711525,229.50862938928617,360.2022904271652,345.1666247991978,,92.82304137299721,206.14135190934306,206.63290181492974,260.3112615992476,235.4387837453361,,1.4574205524816208,1.9709580839385534,1.9758708289038054,2.8643208475531674,2.5236191084821944,2.3024,1.023715775796485,2.307853868811081,2.302376528524462,2.0078315866587406,1.930552127395794,0.86209,0.726919080638591,0.8702249655473047,0.8620857585274364,0.8339058105658171,0.8114660508503604,292.08,200.82077108291992,292.13396363179817,292.079188875932,200.82077108291992,200.82077108291992
180.0,,141.6510699491783,250.4849011551599,250.93630976209633,375.7240780211728,360.0723276858363,,100.09953262707316,222.1641130816068,222.598405558375,270.9242791610953,245.65834532350732,,1.515975857046572,2.093886824962114,2.098430808968494,2.938076749174005,2.5945541331913207,1.9988,1.0251615128211906,2.0043083615472974,1.9988037122017526,1.8068562587183783,1.749303313485595,0.84129,0.7283648176632966,0.8448390433431676,0.8412856378174481,0.8267749999513635,0.8062233763173869,252.35,189.66406157831327,252.34190421385202,252.34657349683954,189.66406157831327,189.66406157831327
190.0,,151.90956652706393,269.36504800743023,269.78595895800373,390.7025468923615,374.5243610780886,,107.39006225337982,235.90257050000977,236.31738250420844,281.20388932251427,255.59684034789709,,1.5714403654374887,2.196019927428816,2.200397803914291,3.0067748851031566,2.6608368322914764,1.7843,1.0265246021759227,1.7848657088456423,1.7842660334991658,1.6693949540176547,1.6248271696324077,0.82446,0.7297279070180285,0.824733759022583,0.8244583904498589,0.8205284053675653,0.8016189308614718,223.76,179.68174254787573,223.6975051528572,223.75559757633138,179.68174254787573,179.68174254787573
200.0,,162.18130926822977,286.4044122076034,286.8383928521166,405.2151354054911,388.5856454067411,,114.69383804296677,248.1214183120751,248.5537681166712,291.1983685524479,265.2939571124781,,1.6241272356432428,2.2834538710588035,2.2878980261210504,3.071059290860082,2.72303751163666,1.635,1.0278118683855595,1.632092970193373,1.6349580829081674,1.5696234708389785,1.5341719292442,0.81134,0.7310151732276657,0.8097000171342594,0.8113394694845585,0.8150207020878767,0.7975494757493018,202.25,170.69765542048194,202.18069995027787,202.24618876397017,170.69765542048194,170.69765542048194
210.0,,172.46557333822471,302.1545453374833,302.62646173161124,419.32553005191,402.30803861665004,,122.01013516138275,259.3175274689014,259.7866364673748,300.9471995899071,274.78226916244097,,1.6743040872493942,2.360320459959307,2.3649493878979144,3.1314601899701375,2.781628706648217,1.5283,1.0290299618250793,1.5238612069707145,1.5283309005290147,1.494044743723361,1.4652947270342087,0.80115,0.7322332666671852,0.7985261823483242,0.8011450165193924,0.8101364804160596,0.7939329451875325,185.39,162.56919563855422,185.33902539221634,185.39006569465894,162.56919563855422,162.56919563855422
220.0,,182.76169953559793,316.9781509286097,317.49762893572205,433.08656412022225,415.73468006907905,,129.33829440717705,269.80044726682024,270.3130266709817,310.482986058691,284.08877260949913,,1.7222014740599287,2.429294137778351,2.4341442455446836,3.1884189752066794,2.8370061433435336,1.4497,1.0301853587195575,1.4447687604530293,1.4496725680947504,1.4349176312657765,1.411266918312303,0.79315,0.7333886635616638,0.790123935944704,0.793150875396401,0.8057832942478874,0.7907036009661899,171.74,155.17968674589267,171.70594648416423,171.73784365937377,155.17968674589267,155.17968674589267
230.0,,193.06909255039972,331.1144198114248,331.6823823964177,446.54242070472645,428.90176230248983,,136.67772047039992,279.7670376891009,280.32311119570085,319.83289138320623,293.2360426306861,,1.7680194718061935,2.4921421509212296,2.4972078111544267,3.2423067779634795,2.8895044178959384,1.3899,1.0312843611441702,1.3851381367251234,1.389864579025323,1.3874843921680489,1.3678190747174228,0.7868,0.7344876659862761,0.7836963771025194,0.7867995111554354,0.8018865959370522,0.7878085022414253,160.39,148.43274384389736,160.3739820588434,160.38913666339656,148.43274384389736,148.43274384389736
240.0,,203.38721922268263,344.7253818664585,345.33845507140285,459.7303267077188,441.83988866550567,,144.02788019110386,289.3470854297219,289.94352534190534,329.0197348566906,302.243115831549,,1.811932862785738,2.5500768506130163,2.5553345693334473,3.293438487075577,2.9394089061406627,1.3432,1.0323330970241908,1.3389132255815133,1.34318226102329,1.3486601279798354,1.3321767708417145,0.78168,0.7355364018662971,0.778689682006159,0.7816840744496375,0.7983859822085819,0.7852048859638902,150.76,142.24804618373494,150.7557603805926,150.75850920124867,142.24804618373494,142.24804618373494
250.0,,213.71560680100274,357.9243173108589,358.57731788563683,472.6818695913573,454.57512649481987,,151.38830081784505,298.62937471440057,299.26179297423306,338.06283684617995,311.1261720818238,,1.8540952614238537,2.6039626315027604,2.609383417273993,3.342083480974251,2.9869649345554867,1.3059,1.0333375201349946,1.3022160699298861,1.3059268723184136,1.3163574680271242,1.3024590887224394,0.77751,0.7365408249771006,0.7747226213266972,0.7775117324529743,0.7952323625686774,0.7828581847431163,142.45,136.55812433638556,142.45443068795655,142.4489773027273,136.55812433638556,136.55812433638556
260.0,,224.05384120092003,370.79286314991236,371.48011358253984,485.4240311110752,467.12983323078737,,158.7585682661834,307.67672633807456,308.34043900875395,346.9786778329364,319.8990674652867,,1.894642430207901,2.6544377932606267,2.659992982864602,3.3884739479804855,3.032384930322892,1.2756,1.0343034101020523,1.2724889185614643,1.2756328549855125,1.2891140996616612,1.2773461137321314,0.77407,0.7375067149441585,0.7715314434696292,0.7740714131863241,0.792385784376126,0.7807404955301832,135.18,131.30588878498614,135.1915645870622,135.18132244364833,131.30588878498614,131.30588878498614
270.0,,234.40156526349983,383.39149445826104,384.1074825679533,497.9800062675157,479.52331091793025,,166.13832537718423,316.53494117889403,317.22543857017683,355.7814174588205,328.5737551305046,,1.9336949694791783,2.7019883462065906,2.707652056247144,3.432811410876235,3.0758540584517844,1.2506,1.0352363724009366,1.2479941792168303,1.2506073440386665,1.2658756868213767,1.255884761243986,0.77121,0.7384396772430425,0.7689318373653923,0.771209850021963,0.7898137310923333,0.7788293708839099,128.75,126.44270771887551,128.76539624288594,128.75290922581263,126.4427077188755,126.4427077188755
280.0,,244.75847701381375,395.7661204484354,396.505806548484,510.36985747734343,491.7723293767462,,173.52727017591923,325.23830236017307,325.95146218520114,364.4833069762464,337.1606206225429,,1.9713605178143143,2.7469942009661485,2.7527441477408416,3.4752718966926124,3.1175347113205256,1.2297,1.036141838357317,1.2275186858132978,1.2296564777032108,1.2458634327798934,1.2373701035655726,0.76881,0.7393451431994231,0.7667935697367261,0.768814710775198,0.7874897663632341,0.7771068445551575,123.01,121.9268967289157,123.02563441315957,123.01268910301722,121.92689672891568,121.92689672891568
290.0,,255.12432791944042,407.9523597218297,408.71129549568434,522.6110410182331,503.891547707145,,180.92515412996693,333.813077596676,334.54524375578484,373.09501957370867,345.66875116299536,,2.0077355661131935,2.789759099707557,2.7955766388432126,3.516010071949072,3.1575701173136044,1.2119,1.0370250651469644,1.2101942894652593,1.2119180238383767,1.2284901027947477,1.2212699967268448,0.7668,0.7402283699890704,0.7650236458904197,0.7668028899892273,0.7853924352367146,0.7755586307030394,117.85,117.72252097964272,117.85766287290713,117.84544866332736,117.72252097964272,117.72252097964272
300.0,,265.49892114896676,419.9783883785125,420.7527378898927,534.718833512376,515.8938562373904,,188.33178040791438,342.2798171957437,343.02781000659314,381.62591673366217,354.1061533251866,,2.0429069640205113,2.8305306205011505,2.8364004486291483,3.5551625791022152,3.1960872658538824,1.1968,1.0378911357957465,1.1953859473180235,1.196756010624442,1.213304983907556,1.2071756035981909,0.76511,0.7410944406378526,0.7635550452284984,0.7651123718083993,0.7835043605492179,0.7741734550977956,113.16,113.79843694698798,113.17228573550386,113.16154510528516,113.79843694698798,113.79843694698798
