Pressure (atm),h Reference,h GRI,h Pure,h CP HEOS,h CP SRK,h CP PR,u Reference,u GRI,u Pure,u CP HEOS,u CP SRK,u CP PR,s Reference,s GRI,s Pure,s CP HEOS,s CP SRK,s CP PR,cp Reference,cp GRI,cp Pure,cp CP HEOS,cp CP SRK,cp CP PR,cv Reference,cv GRI,cv Pure,cv CP HEOS,cv CP SRK,cv CP PR,rho Reference,rho GRI,rho Pure,rho CP HEOS,rho CP SRK,rho CP PR
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91989,0.9184346250541899,0.9199564669969914,0.9198872007200418,0.920084823688072,0.9198872007200418,0.65873,0.6585914280370877,0.6587786150345515,0.6587297701599554,0.658814570593682,0.6587297701599554,1.3007,1.2998223693259519,1.300703435368777,1.3006898082601743,1.3005731489797117,1.3006898082601743
2.0,-0.25,0.0,-0.2494654823077287,-0.24724871898384299,-0.25758421086112504,-0.24724871898384299,-0.199999999999989,0.0,-0.2034239627577108,-0.19854218343377578,-0.21484152140081278,-0.19854218343377578,-0.1808,-0.18010957940008776,-0.18077202423688377,-0.1807637716201416,-0.18082044932180633,-0.1807637716201416,0.92146,0.9184346250541899,0.9216311478311777,0.9214626322643814,0.921844020760771,0.9214626322643814,0.65898,0.6585914280370877,0.6590906848220212,0.6589761414634772,0.6591365625215779,0.6589761414634772,2.603,2.5996447386519037,2.602945296336929,2.6030071117310967,2.602574149742942,2.6030071117310967
3.0,-0.489999999999952,0.0,-0.49901116197038187,-0.4944425322092138,-0.5149261389552267,-0.4944425322092138,-0.400000000000006,0.0,-0.4069915522524923,-0.397213793862873,-0.4297237873452832,-0.397213793862873,-0.2868,-0.28546692936979756,-0.28679861460251477,-0.28677840706095686,-0.28689022612570536,-0.28677840706095686,0.92304,0.9184346250541899,0.9233099012734994,0.9230422860902601,0.9236067945656847,0.9230422860902601,0.65922,0.6585914280370877,0.6594016165587703,0.6592222644477047,0.659458615515017,0.6592222644477047,3.9069,3.8994671079778556,3.906725124486806,3.9069457105793655,3.9059911495246356,3.9069457105793655
4.0,-0.739999999999952,0.0,-0.7486306747419874,-0.7415780523957801,-0.7720222690045484,-0.7415780523957801,-0.599999999999994,0.0,-0.6107009145480191,-0.596013438927097,-0.6446445407916909,-0.596013438927097,-0.3622,-0.36021915880017286,-0.3622230684138996,-0.36218925137136737,-0.362355310304044,-0.36218925137136737,0.92463,0.9184346250541899,0.9249926743731748,0.9246261290217505,0.9253730919334967,0.9246261290217505,0.65947,0.6585914280370877,0.6597114105176476,0.6594681345289549,0.6597807261912767,0.6594681345289549,5.2125,5.199289477303807,5.212042166074424,5.212499232671389,5.210812154383281,5.212499232671389
5.0,-0.989999999999952,0.0,-0.9983176232935946,-0.9886518694432452,-1.0288690748523222,-0.9886518694432452,-0.789999999999992,1.4210854715202004e-14,-0.8145501559770878,-0.7949397063880751,-0.8596015092390007,-0.7949397063880751,-0.4209,-0.41820149256740713,-0.42087940364297083,-0.4208309703530285,-0.4210505657936619,-0.4208309703530285,0.92621,0.9184346250541899,0.9266794129652467,0.9262141270909708,0.9271428588936964,0.9262141270909708,0.65971,0.6585914280370877,0.6600200669805963,0.6597137471151345,0.6601028911444653,0.6597137471151345,6.5197,6.499111846629758,6.518895328259098,6.519661132525238,6.51702502940847,6.519661132525238
6.0,-1.22999999999996,0.0,-1.2480655891826897,-1.2356605506135383,-1.2854630197650403,-1.2356605506135383,-0.990000000000009,0.0,-1.0185373524700623,-0.9939911641041108,-1.074592404857074,-0.9939911641041108,-0.4689,-0.46557650876988355,-0.4689296528226743,-0.4688658879302029,-0.4691384041384172,-0.4688658879302029,0.92781,0.9184346250541899,0.9283700617115104,0.9278062455350536,0.9289160406769027,0.9278062455350536,0.65996,0.6585914280370877,0.6603275862568447,0.6599590976063052,0.6604251069457161,0.6599590976063052,7.8284,7.798934215955711,7.827283236523887,7.828424690288078,7.824617498960155,7.828424690288078
7.0,-1.47999999999996,0.0,-1.4978681249411454,-1.4826006407197565,-1.5418005567395012,-1.4826006407197565,-1.19,0.0,-1.2226605426505728,-1.1931663600090543,-1.2896149246203714,-1.1931663600090543,-0.5096,-0.5056315142385586,-0.5096608235353299,-0.5095811709738682,-0.509906038435547,-0.5095811709738682,0.9294,0.9184346250541899,0.9300645640732274,0.9294024487933089,0.9306925817174645,0.9294024487933089,0.6602,0.6585914280370877,0.6606339686647158,0.6602041813952568,0.6607473701433897,0.6602041813952568,9.1388,9.098756585281661,9.137204188056426,9.13878301073999,9.133577146937963,9.13878301073999
8.0,-1.72999999999996,0.0,-1.7477187545589548,-1.7294686623211601,-1.7978781288161407,-1.7294686623211601,-1.39000000000001,0.0,-1.4269177277714107,-1.3924638220952184,-1.504666750447097,-1.3924638220952184,-0.545,-0.5403287382002606,-0.5450349592477384,-0.5449389613482072,-0.5453156377181986,-0.5449389613482072,0.931,0.9184346250541899,0.9317628623020315,0.9310027005045824,0.9324724256563416,0.9310027005045824,0.66045,0.6585914280370877,0.6609392145725551,0.6604489938680873,0.6610696772632798,0.6604489938680873,10.451,10.398578954607615,10.448656148902048,10.450729022324797,10.44389141708337,10.450729022324797
9.0,-1.96999999999997,0.0,-1.9976109811999627,-1.97626111592463,-2.053692169397138,-1.97626111592463,-1.59,0.0,-1.6313068775593393,-1.5918820584000495,-1.7197455493424205,-1.5918820584000495,-0.5763,-0.5709338587395942,-0.5763176127371423,-0.5762048773902844,-0.5766328374915056,-0.5762048773902844,0.93261,0.9184346250541899,0.9334648975081412,0.9326069635048168,0.9342555153442753,0.9326069635048168,0.66069,0.6585914280370877,0.6612433243305179,0.6606935304047921,0.6613920248088301,0.6606935304047921,11.764,11.698401323933567,11.76163678906338,11.764255476208684,11.755547613312896,11.764255476208684
10.0,-2.21999999999997,0.0,-2.24753828339625,-2.2229744801926428,-2.309239102569874,-2.2229744801926428,-1.78999999999999,1.4210854715202004e-14,-1.8358259266403678,-1.7914195569965232,-1.934848973546148,-1.7914195569965232,-0.604299999999999,-0.5983110719674949,-0.6043728890717333,-0.6042430713506901,-0.6047218014250648,-0.6042430713506901,0.93422,0.9184346250541899,0.9351706096512635,0.9342151998248155,0.9360417928452418,0.9342151998248155,0.66094,0.6585914280370877,0.6615462983433293,0.6609377863798584,0.6617144092613549,0.6609377863798584,13.079,12.998223693259517,13.076143457134423,13.079354945367294,13.068532900083582,13.079354945367294
11.0,-2.46999999999997,0.0,-2.4974941166105125,-2.4696052121571266,-2.5645153434356325,-2.4696052121571266,-1.99000000000001,0.0,-2.0404727753442273,-1.9910747859879048,-2.149974660685257,-1.9910747859879048,-0.6297,-0.6230767737961251,-0.6298171143145943,-0.6296699050604547,-0.630198899234556,-0.6296699050604547,0.93583,0.9184346250541899,0.9368799375178576,0.9358273706882165,0.9378311994402005,0.9358273706882165,0.66118,0.6585914280370877,0.6618481370429997,0.6611817571628686,0.6620368270802673,0.6611817571628686,14.396,14.29804606258547,14.392173183020276,14.396019823702016,14.382834302791377,14.396019823702016
12.0,-2.70999999999998,0.0,-2.7474719143078397,-2.7161497474405913,-2.8195172984434174,-2.7161497474405913,-2.19,0.0,-2.2452452901037248,-2.1908461935066446,-2.3651202339305892,-2.1908461935066446,-0.653,-0.6456860881699713,-0.6531053563425528,-0.6529404747233893,-0.6535192327212026,-0.6529404747233893,0.93744,0.9184346250541899,0.9385928187575141,0.9374434365096779,0.9396236756311304,0.9374434365096779,0.66143,0.6585914280370877,0.6621488408842762,0.6614254381191103,0.6623592747033147,0.6614254381191103,15.714,15.597868431911422,15.709722678041025,15.714242325186156,15.69843870820112,15.714242325186156
13.0,-2.95999999999998,0.0,-2.997465088928002,-2.962604500482732,-3.0742413657289,-2.962604500482732,-2.39000000000002,0.0,-2.450141303768035,-2.3907322077167628,-2.5802833021584375,-2.3907322077167628,-0.674399999999999,-0.6664846412297676,-0.6745831945647627,-0.6744003830226948,-0.6750284086247756,-0.6744003830226948,0.93906,0.9184346250541899,0.9403091899375251,0.9390633568932798,0.9414191611453657,0.9390633568932798,0.66167,0.6585914280370877,0.6624484103582858,0.6616688246101937,0.6626817485468203,0.6616688246101937,17.034,16.897690801237374,17.028788334479454,17.034014483041737,17.015332864911155,17.034014483041737
14.0,-3.20999999999998,0.0,-3.2474670328567004,-3.2089658647741888,-3.328683935459121,-3.2089658647741888,-2.59,0.0,-2.6551586159111054,-2.590731236821186,-2.7954614601164356,-2.590731236821186,-0.6944,-0.6857410936386445,-0.6945192494547108,-0.6943182701546475,-0.6949950701263861,-0.6943182701546475,0.94069,0.9184346250541899,0.9420289864701243,0.9406870906311471,0.943217594940228,0.9406870906311471,0.66191,0.6585914280370877,0.6627468459925354,0.6619119119946758,0.6630042450059322,0.6619119119946758,18.355,18.197513170563322,18.349366225087337,18.355328148947603,18.333503383849315,18.355328148947603
15.0,-3.44999999999999,0.0,-3.4974711194136905,-3.4552302130960744,-3.5828413901808673,-3.4552302130960744,-2.78999999999999,0.0,-2.8602949931497648,-2.7908416690728046,-3.010652288593992,-2.7908416690728046,-0.712999999999999,-0.7036684219372047,-0.7131264620781401,-0.7129070943384158,-0.713632177665354,-0.7129070943384158,0.94231,0.9184346250541899,0.9437521426897943,0.9423145957022941,0.9450189152079552,0.9423145957022941,0.66215,0.6585914280370877,0.663044148350912,0.6621546956286916,0.6633267604548794,0.6621546956286916,19.678,19.497335539889278,19.671452102648793,19.6781749922795,19.652936738803728,19.6781749922795
16.0,-3.69999999999999,0.0,-3.7474707038607296,-3.701393897766364,-3.836710105175327,-3.701393897766364,-2.99000000000001,0.0,-3.0655481694749938,-2.9910618727896945,-3.2258533545976387,-2.9910618727896945,-0.7304,-0.7204383176003475,-0.730576491914543,-0.7303385303012383,-0.7311114076322183,-0.7303385303012383,0.94395,0.9184346250541899,0.9454785918760039,0.9439458292716977,0.9468230593809348,0.9439458292716977,0.6624,0.6585914280370877,0.6633403180427769,0.6623971708665914,0.6636492912472326,0.6623971708665914,21.003,20.79715790921523,20.99504139962358,21.00254649938291,20.9736192669866,21.00254649938291
17.0,-3.94999999999999,0.0,-3.9974591244302564,-3.9474532508927513,-4.090286448817002,-3.9474532508927513,-3.19,0.0,-3.2709158465968216,-3.191390196375287,-3.441062211530312,-3.191390196375287,-0.7468,-0.7361912131510815,-0.747009742111751,-0.7467529949943937,-0.7475731782295743,-0.7467529949943937,0.94558,0.9184346250541899,0.9472082662122804,0.9455807476896017,0.9486299641372392,0.9455807476896017,0.66264,0.6585914280370877,0.6636353557093239,0.6626393330615868,0.6639718337161754,0.6626393330615868,22.328,22.09698027854118,22.320129227876226,22.32843397287918,22.29553716963216,22.32843397287918
18.0,-4.19,0.0,-4.247429663879084,-4.193404584631382,-4.343566782938083,-4.193404584631382,-3.39000000000002,0.0,-3.4763956618272402,-3.3918249683421453,-3.6562763993757836,-3.3918249683421453,-0.7623,-0.7510434381396811,-0.7625425124642851,-0.7622668032886322,-0.7631338052709771,-0.7622668032886322,0.94722,0.9184346250541899,0.9489410965906689,0.9472193064910526,0.9504395654064646,0.9472193064910526,0.66288,0.6585914280370877,0.6639292619962941,0.6628811775664002,0.6642943841747792,0.6628811775664002,23.656,23.396802647867133,23.6467101687689,23.65582853100584,23.61867651262859,23.65582853100584
19.0,-4.44,0.0,-4.4973757162934636,-4.439244191452162,-4.596547463196563,-4.439244191452162,-3.59,0.0,-3.6819853247172603,-3.592364497340488,-3.8714934448872227,-3.592364497340488,-0.776999999999999,-0.7650924377683799,-0.7772722277116282,-0.7769773863921737,-0.777890720674527,-0.7769773863921737,0.94886,0.9184346250541899,0.950677013744053,0.9488614603956763,0.9522517983758771,0.9488614603956763,0.66312,0.6585914280370877,0.664222037740423,0.6631226997339233,0.6646169389162857,0.6631226997339233,24.985,24.69662501719308,24.974779152953836,24.984721106991547,24.943023227183847,24.984721106991547
20.0,-4.68000000000001,0.0,-4.74729052631557,-4.684968344411114,-4.849224839450501,-4.684968344411114,-3.78999999999999,1.4210854715202004e-14,-3.887682402178072,-3.7930070721911036,-4.086710861780389,-3.7930070721911036,-0.791,-0.7784206513675818,-0.7912812995141971,-0.7909671701735087,-0.7919263508419071,-0.7909671701735087,0.95051,0.9184346250541899,0.9524159464589977,0.9505071633076934,0.9540665974968646,0.9505071633076934,0.66336,0.6585914280370877,0.664513683669306,0.6633638949178806,0.6649394942143975,0.6633638949178806,26.315,25.996447386519034,26.30433007054901,26.31510244846653,26.268563110526802,26.31510244846653
21.0,-4.93000000000001,0.0,-4.9971673751284245,-4.930573297428025,-5.101595256135857,-4.930573297428025,-3.99000000000001,0.0,-4.093484470838504,-3.9937509619227494,-4.301926150931249,-3.9937509619227494,-0.804399999999999,-0.7910984436083561,-0.8046400689930273,-0.8043065062581473,-0.8053110477977552,-0.8043065062581473,0.95216,0.9184346250541899,0.9541578228945163,0.9521563683161782,0.9558838964916976,0.9521563683161782,0.6636,0.6585914280370877,0.6648042006196782,0.6636047584734986,0.6652620463235732,0.6636047584734986,27.647,27.29626975584499,27.63535675217586,27.646963116909042,27.59528182664161,27.646963116909042
22.0,-5.16999999999996,0.0,-5.246999532214977,-5.17605528557126,-5.353655052649498,-5.17605528557126,-4.19,0.0,-4.299389076892652,-4.194594415814121,-4.517136800578505,-4.194594415814121,-0.8171,-0.8031863531962111,-0.8174090520842654,-0.8170559206338066,-0.8181053378276055,-0.8170559206338066,0.95381,0.9184346250541899,0.9559025702046309,0.9538090276955679,0.9577036283605993,0.9538090276955679,0.66385,0.6585914280370877,0.6650935894737495,0.6638452857581828,0.665584591479332,0.6638452857581828,28.98,28.59609212517094,28.967852707330778,28.980293487128606,28.923164907038394,28.980293487128606
23.0,-5.41999999999996,0.0,-5.496780256528959,-5.421410525348154,-5.60540056373662,-5.421410525348154,-4.40000000000001,0.0,-4.50539373655171,-4.395535663440125,-4.732340286529914,-4.395535663440125,-0.8293,-0.8147368412956615,-0.8296406878207963,-0.829267862006287,-0.8303616698593232,-0.829267862006287,0.95547,0.9184346250541899,0.9576501146429632,0.9554650929064143,0.9595257253891242,0.9554650929064143,0.66409,0.6585914280370877,0.6653818511864896,0.6640854721321976,0.6659071258985617,0.6640854721321976,30.315,29.89591449449689,30.3018111248348,30.315083746786577,30.252197751557322,30.315083746786577
24.0,-5.66999999999996,0.0,-5.746502797672495,-5.666635215002636,-5.856828119882674,-5.666635215002636,-4.59999999999999,0.0,-4.711495936502004,-4.596572914722929,-4.947534072373761,-4.596572914722929,-0.840999999999999,-0.8257956675700573,-0.8413807142597811,-0.8409880777854459,-0.842125791469256,-0.8409880777854459,0.95712,0.9184346250541899,0.9594003815127137,0.9571245145963995,0.9613501191558479,0.9571245145963995,0.66433,0.6585914280370877,0.6656689867447,0.6643253129593547,0.6662296457798367,0.6643253129593547,31.651,31.195736863822844,31.637224873330872,31.65132389595476,31.582365629208525,31.65132389595476
25.0,-5.90999999999997,0.0,-5.996160397083309,-5.91172553481831,-6.107934047709452,-5.91172553481831,-4.80000000000001,1.4210854715202004e-14,-4.917693134370381,-4.797704359987722,-5.162715609693929,-4.797704359987722,-0.8523,-0.836402985134816,-0.8526692633469066,-0.8522567089957501,-0.8534378438089152,-0.8522567089957501,0.95879,0.9184346250541899,0.9611532952257776,0.9587872426015964,0.9631767405403655,0.9587872426015964,0.66456,0.6585914280370877,0.6659549972033946,0.6645648036077046,0.6665521473037394,0.6645648036077046,32.989,32.495559233148796,32.97408650184729,32.989003746712704,32.91365367904687,32.989003746712704
26.0,-6.15999999999997,0.0,-6.2457462892316835,-6.156677647428063,-6.358714670375805,-6.156677647428063,-5.0,0.0,-5.123982759199109,-4.998928170022875,-5.377882338290626,-4.998928170022875,-0.8632,-0.8465942206298545,-0.8635417409177686,-0.8631091703146067,-0.8643332416563271,-0.8631091703146067,0.96045,0.9184346250541899,0.9629087793209353,0.960453225947995,0.9650055197316034,0.960453225947995,0.6648,0.6585914280370877,0.6662398836857993,0.664803939450236,0.6668746266331921,0.664803939450236,34.328,33.79538160247475,34.31238824043934,34.328112922784115,34.24604691108142,34.328112922784115
