Temperature (K),h Reference,h GRI,h Pure,h CP HEOS,h CP SRK,h CP PR,u Reference,u GRI,u Pure,u CP HEOS,u CP SRK,u CP PR,s Reference,s GRI,s Pure,s CP HEOS,s CP SRK,s CP PR,cp Reference,cp GRI,cp Pure,cp CP HEOS,cp CP SRK,cp CP PR,cv Reference,cv GRI,cv Pure,cv CP HEOS,cv CP SRK,cv CP PR,rho Reference,rho GRI,rho Pure,rho CP HEOS,rho CP SRK,rho CP PR
40.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.9556334789971181,,,0.34155152764225344,0.607676433792853,,0.6957902819800158,,,1.1564033366066886,1.0136720600421223,,974.8667769944639,,,974.8667769944639,974.8667769944639
50.0,,9.527791854124416,,,59.99121598023342,55.69862091209626,,6.929359883953367,,,42.04305284482034,36.334891394144286,,0.21262990340052879,,,0.5183244521137249,0.43611927319497956,,0.9499992055597675,,,0.5191611698231826,0.5758128555776626,,0.6901560085426651,,,1.0290032935094429,0.9228728576535775,,779.893421595571,,,779.893421595571,779.893421595571
54.361,,,,,,,,,,,,,,,,,,,1.6363,,,,,,1.1723,,,,,,1317.0,,,,,
60.0,,19.001446847941367,0.0,0.0,107.83932187848735,98.09327111615008,,13.804582907599297,0.0,0.0,73.69741018542855,63.74256931817473,,0.3853694466325197,0.0,0.0,0.8723651327568359,0.742322648305148,1.6527,0.9448037598891121,1.7110364392623785,1.6526536713264701,0.48540125585718064,0.5128089061839832,1.0924,0.6849605628720099,1.1152470030514938,1.0924149405488988,0.9476274753928825,0.8653000548084118,1293.9,649.9111846629758,1293.6576909449548,1293.8631933760773,649.9111846629758,649.9111846629758
70.0,,28.425283184866686,16.929635138036303,16.583126847245758,146.71633364316878,132.23080735088757,,20.629987274353596,16.661676724638824,16.315122247180813,98.92649686485727,85.80467750693508,,0.5306479712327032,0.26104335905408593,0.25561807794213925,1.1371665293742543,0.9760381889054843,1.6592,0.9400331608493375,1.6759922970606413,1.6591978866050507,0.42044832184350195,0.44108206283453044,1.0334,0.6801899638322352,1.060630469184313,1.0333534703079363,0.891847206169479,0.8258534597715282,1251.0,557.0667297111222,1250.8639566130137,1251.048947720145,557.0667297111222,557.0667297111222
80.0,,37.80348026839067,33.59716924655663,33.14763562727653,179.25280673425178,160.90140387644905,,27.40975238770656,33.03820668412595,32.587284918773946,119.90079931509939,104.37575677517793,,0.6558828210982379,0.48362868035054296,0.476814396162139,1.346516391532934,1.163882728216223,1.654,0.9356736295912085,1.661526944306854,1.6540289911669306,0.33823430749249195,0.3574148370980709,0.98872,0.6758304325741062,1.0009406918317016,0.9887201450403926,0.8516134872605791,0.7973313835504893,1207.5,487.43338849723193,1207.4854462454407,1207.464710129383,487.43338849723193,487.43338849723193
90.0,,47.14008072494448,50.22341860030764,49.690435167647344,207.21123070224195,185.74695001241307,,34.14792087408932,49.34193586253133,48.80829371137181,137.9114445513284,120.52697288930516,,0.7658567163999508,0.6794522982319413,0.6716578576402612,1.5185032374586727,1.3203220446647992,1.6564,0.9317115895520708,1.6661343258282888,1.6564390048329316,0.233728219706615,0.25259692044990806,0.94891,0.6718683925349684,0.9558287265690161,0.9489085123979588,0.8214512607783638,0.77587069189272,1162.9,433.27412310865054,1162.7939452812423,1162.8720560300424,433.27412310865054,433.27412310865054
100.0,,56.43899242676548,66.96056509149292,66.31966821250987,231.7749667037007,207.800344433345,,40.84840060573936,65.71665092228756,65.07645685073986,153.77540535265092,134.92568836467066,,0.8638338398355798,0.8557799897816141,0.8468502234272797,1.663845584054398,1.4540385146414183,1.6718,0.9281336664558489,1.6832117623553613,1.671758673400768,0.09227007471117545,0.10996388495814068,0.91388,0.6682904694387466,0.9207888920191016,0.913883530669162,0.798143675413343,0.7592189246858057,1116.6,389.9467107977855,1116.3619827753737,1116.601489474153,389.9467107977855,389.9467107977855
110.0,,65.7039905147632,83.93003972418421,83.17675877044752,253.75918073572439,227.7472685114816,,47.51496672356606,82.27135883777038,81.51918343054487,168.035103960007,148.01162581113508,,0.9521411312366603,1.0174937859235444,1.0074922890990656,1.7893592738725965,1.5706209713741928,1.7025,0.9249266883130483,1.7131810707185102,1.7024889061309558,-0.11710322641959318,-0.10430788643567364,0.88342,0.6650834912959459,0.8916441754153174,0.8834194899530448,0.7796873994866668,0.7459779242014972,1067.8,354.4970098161686,1067.5764228916016,1067.8407724158626,354.4970098161686,354.4970098161686
120.0,,74.9387194213852,101.28652789357989,100.43472450567889,273.74102784874214,246.06271874868352,,54.15126366001698,99.14038450198416,98.28857636616107,181.06486382779028,160.08733656272864,,1.0324955768265345,1.168484329519214,1.1576245216663124,1.8996150469566546,1.6738615075725867,1.753,0.9220776854207537,1.7620185348231885,1.7529581708939872,-0.4690922921369415,-0.4738415906403995,0.85728,0.6622344884036514,0.8664203615307668,0.857275561328716,0.7647757494275613,0.7352364533843972,1015.6,324.9555923314879,1015.4244000553512,1015.5505238977994,324.9555923314879,324.9555923314879
