Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
300,1,0.65281,1.5319,758.87,914.09,6.6883,1.7129,2.2359,449.74,0.78819,11.136,0.034215,vapor,0,0,0
300,2,1.3079,0.76461,758.16,913.11,6.3267,1.7138,2.2417,449.42,0.78718,11.149,0.034282,vapor,-0.710000000000036,-0.980000000000018,-0.3616
300,3,1.9651,0.50887,757.44,912.12,6.1141,1.7148,2.2475,449.1,0.78616,11.162,0.034348,vapor,-1.42999999999995,-1.97000000000003,-0.5742
300,4,2.6247,0.381,756.72,911.14,5.9627,1.7158,2.2534,448.79,0.78513,11.176,0.034415,vapor,-2.14999999999998,-2.95000000000005,-0.7256
300,5,3.2865,0.30427,756.01,910.16,5.8446,1.7168,2.2594,448.48,0.78408,11.19,0.034482,vapor,-2.86000000000001,-3.93000000000006,-0.8437
300,6,3.9506,0.25313,755.29,909.17,5.7477,1.7178,2.2653,448.18,0.78302,11.204,0.034549,vapor,-3.58000000000004,-4.92000000000007,-0.9406
300,7,4.6169,0.21659,754.56,908.19,5.6654,1.7188,2.2714,447.88,0.78194,11.218,0.034617,vapor,-4.31000000000006,-5.89999999999998,-1.0229
300,8,5.2856,0.18919,753.84,907.2,5.5938,1.7198,2.2774,447.58,0.78085,11.233,0.034685,vapor,-5.02999999999997,-6.88999999999999,-1.0945
300,9,5.9565,0.16788,753.11,906.21,5.5304,1.7209,2.2836,447.29,0.77974,11.248,0.034754,vapor,-5.75999999999999,-7.88,-1.1579
300,10,6.6297,0.15084,752.39,905.22,5.4733,1.7219,2.2897,447,0.77861,11.263,0.034824,vapor,-6.48000000000002,-8.87000000000001,-1.215
300,11,7.3052,0.13689,751.66,904.23,5.4215,1.7229,2.2959,446.71,0.77747,11.278,0.034894,vapor,-7.21000000000004,-9.86000000000001,-1.2668
300,12,7.983,0.12527,750.93,903.24,5.374,1.7239,2.3022,446.43,0.77631,11.294,0.034964,vapor,-7.94000000000006,-10.85,-1.3143
300,13,8.6631,0.11543,750.2,902.25,5.3301,1.7249,2.3085,446.15,0.77514,11.31,0.035036,vapor,-8.66999999999996,-11.84,-1.3582
300,14,9.3456,0.107,749.46,901.25,5.2892,1.7259,2.3148,445.88,0.77395,11.326,0.035108,vapor,-9.40999999999997,-12.84,-1.3991
300,15,10.03,0.099698,748.73,900.25,5.251,1.7269,2.3212,445.61,0.77274,11.342,0.03518,vapor,-10.14,-13.84,-1.4373
300,16,10.717,0.093306,747.99,899.26,5.2152,1.7279,2.3277,445.34,0.77151,11.359,0.035254,vapor,-10.88,-14.83,-1.4731
300,17,11.407,0.087667,747.25,898.26,5.1813,1.7289,2.3342,445.08,0.77027,11.375,0.035327,vapor,-11.62,-15.83,-1.507
300,18,12.099,0.082655,746.51,897.26,5.1492,1.7299,2.3407,444.82,0.769,11.393,0.035402,vapor,-12.36,-16.83,-1.5391
300,19,12.793,0.07817,745.77,896.26,5.1187,1.7309,2.3473,444.57,0.76772,11.41,0.035477,vapor,-13.1,-17.83,-1.5696
300,20,13.489,0.074134,745.02,895.26,5.0897,1.7319,2.354,444.32,0.76643,11.427,0.035554,vapor,-13.85,-18.83,-1.5986
300,21,14.188,0.070483,744.28,894.25,5.0619,1.733,2.3606,444.07,0.76511,11.445,0.03563,vapor,-14.59,-19.84,-1.6264
300,22,14.889,0.067164,743.53,893.25,5.0353,1.734,2.3674,443.83,0.76377,11.463,0.035708,vapor,-15.34,-20.84,-1.653
300,23,15.592,0.064134,742.78,892.25,5.0098,1.735,2.3742,443.6,0.76242,11.482,0.035786,vapor,-16.09,-21.84,-1.6785
300,24,16.298,0.061357,742.03,891.24,4.9853,1.736,2.381,443.37,0.76104,11.5,0.035865,vapor,-16.84,-22.85,-1.703
300,25,17.006,0.058802,741.28,890.23,4.9616,1.737,2.3879,443.14,0.75965,11.519,0.035945,vapor,-17.59,-23.86,-1.7267
300,26,17.717,0.056444,740.52,889.22,4.9388,1.738,2.3948,442.92,0.75824,11.539,0.036025,vapor,-18.35,-24.87,-1.7495
300,27,18.43,0.054261,739.77,888.21,4.9168,1.739,2.4018,442.7,0.7568,11.558,0.036107,vapor,-19.1,-25.88,-1.7715
300,28,19.145,0.052234,739.01,887.2,4.8954,1.7401,2.4088,442.49,0.75535,11.578,0.036189,vapor,-19.86,-26.89,-1.7929
300,29,19.862,0.050347,738.25,886.19,4.8747,1.7411,2.4159,442.28,0.75387,11.598,0.036272,vapor,-20.62,-27.9,-1.8136
300,30,20.582,0.048586,737.49,885.18,4.8546,1.7421,2.423,442.08,0.75238,11.618,0.036355,vapor,-21.38,-28.9100000000001,-1.8337
300,31,21.305,0.046938,736.73,884.17,4.8351,1.7431,2.4302,441.88,0.75086,11.639,0.03644,vapor,-22.14,-29.9200000000001,-1.8532
300,32,22.029,0.045394,735.97,883.15,4.8162,1.7441,2.4374,441.69,0.74933,11.659,0.036525,vapor,-22.9,-30.9400000000001,-1.8721
300,33,22.756,0.043944,735.2,882.14,4.7977,1.7451,2.4447,441.51,0.74777,11.681,0.036611,vapor,-23.67,-31.95,-1.8906
300,34,23.486,0.042579,734.43,881.12,4.7797,1.7462,2.452,441.32,0.74619,11.702,0.036698,vapor,-24.4400000000001,-32.97,-1.9086
300,35,24.217,0.041293,733.66,880.1,4.7622,1.7472,2.4594,441.15,0.74459,11.724,0.036786,vapor,-25.21,-33.99,-1.9261
300,36,24.951,0.040078,732.89,879.09,4.745,1.7482,2.4668,440.98,0.74296,11.746,0.036875,vapor,-25.98,-35,-1.9433
300,37,25.688,0.038929,732.12,878.07,4.7283,1.7492,2.4742,440.81,0.74132,11.768,0.036964,vapor,-26.75,-36.02,-1.96
300,38,26.426,0.037841,731.35,877.05,4.7119,1.7502,2.4818,440.65,0.73965,11.79,0.037055,vapor,-27.52,-37.0400000000001,-1.9764
300,39,27.168,0.036809,730.57,876.03,4.6959,1.7512,2.4893,440.5,0.73796,11.813,0.037146,vapor,-28.3,-38.0600000000001,-1.9924
300,40,27.911,0.035828,729.8,875.01,4.6803,1.7522,2.4969,440.35,0.73624,11.836,0.037238,vapor,-29.0700000000001,-39.08,-2.008
300,41,28.657,0.034896,729.02,873.99,4.6649,1.7532,2.5046,440.21,0.73451,11.86,0.037331,vapor,-29.85,-40.1,-2.0234
300,42,29.405,0.034008,728.24,872.96,4.6499,1.7542,2.5123,440.07,0.73275,11.884,0.037425,vapor,-30.63,-41.13,-2.0384
300,43,30.155,0.033162,727.46,871.94,4.6351,1.7553,2.52,439.94,0.73097,11.908,0.03752,vapor,-31.41,-42.15,-2.0532
300,44,30.908,0.032354,726.67,870.92,4.6206,1.7563,2.5278,439.82,0.72916,11.932,0.037616,vapor,-32.2,-43.1700000000001,-2.0677
300,45,31.663,0.031582,725.89,869.89,4.6064,1.7573,2.5357,439.7,0.72733,11.957,0.037713,vapor,-32.98,-44.2,-2.0819
300,46,32.421,0.030845,725.1,868.87,4.5925,1.7583,2.5436,439.58,0.72548,11.981,0.03781,vapor,-33.77,-45.22,-2.0958
300,46,32.421,0.030845,725.1,868.87,4.5925,1.7583,2.5436,439.58,0.72548,11.981,0.03781,supercritical,-33.77,-45.22,-2.0958
300,46,32.421,0.030845,725.1,868.87,4.5925,1.7583,2.5436,439.58,0.72548,11.981,0.03781,supercritical,-33.77,-45.22,-2.0958
300,47,33.18,0.030138,724.32,867.84,4.5788,1.7593,2.5515,439.48,0.72361,12.007,0.037909,supercritical,-34.55,-46.25,-2.1095
300,48,33.942,0.029462,723.53,866.82,4.5653,1.7603,2.5595,439.38,0.72171,12.032,0.038009,supercritical,-35.34,-47.27,-2.123
300,49,34.707,0.028813,722.74,865.79,4.552,1.7613,2.5675,439.29,0.71978,12.058,0.038109,supercritical,-36.13,-48.3000000000001,-2.1363
300,50,35.473,0.02819,721.94,864.76,4.539,1.7623,2.5755,439.2,0.71784,12.084,0.038211,supercritical,-36.93,-49.33,-2.1493
300,51,36.242,0.027592,721.15,863.74,4.5261,1.7633,2.5836,439.12,0.71587,12.111,0.038313,supercritical,-37.72,-50.35,-2.1622
300,52,37.013,0.027017,720.36,862.71,4.5135,1.7643,2.5918,439.05,0.71387,12.138,0.038416,supercritical,-38.51,-51.38,-2.1748
300,53,37.786,0.026465,719.56,861.68,4.501,1.7653,2.6,438.98,0.71185,12.165,0.038521,supercritical,-39.3100000000001,-52.4100000000001,-2.1873
300,54,38.562,0.025932,718.76,860.65,4.4887,1.7663,2.6082,438.92,0.70981,12.192,0.038626,supercritical,-40.11,-53.4400000000001,-2.1996
300,55,39.34,0.02542,717.96,859.62,4.4766,1.7673,2.6165,438.87,0.70774,12.22,0.038733,supercritical,-40.91,-54.47,-2.2117
300,56,40.12,0.024925,717.16,858.59,4.4647,1.7683,2.6248,438.82,0.70565,12.248,0.03884,supercritical,-41.71,-55.5,-2.2236
300,57,40.902,0.024449,716.36,857.57,4.4529,1.7692,2.6332,438.78,0.70353,12.276,0.038948,supercritical,-42.51,-56.52,-2.2354
