Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
90.694,100,457.76,0.0021846,-77.391,-55.256,-0.77274,2.192,3.3196,1603.7,-0.090569,232.22,0.21984,liquid,0,0,0
100,100,446.11,0.0022416,-46.979,-24.266,-0.44748,2.1392,3.343,1526.6,-0.087551,175,0.20908,liquid,30.412,30.99,0.32526
110,100,433.24,0.0023082,-14.052,9.3362,-0.12724,2.091,3.3788,1440.8,-0.083224,137.81,0.1965,liquid,63.339,64.5922,0.6455
120,100,419.91,0.0023814,19.207,43.337,0.16858,2.047,3.4229,1353.1,-0.077617,112.28,0.18343,liquid,96.598,98.593,0.94132
130,100,406.02,0.0024629,52.875,77.831,0.44465,2.0065,3.4781,1263.7,-0.070301,93.274,0.17024,liquid,130.266,133.087,1.21739
140,100,391.39,0.002555,87.063,112.95,0.70488,1.9696,3.549,1172.6,-0.060622,78.461,0.15715,liquid,164.454,168.206,1.47762
150,100,375.84,0.0026607,121.93,148.89,0.95278,1.937,3.6431,1079.5,-0.047597,66.582,0.14427,liquid,199.321,204.146,1.72552
160,100,359.08,0.0027849,157.71,185.92,1.1918,1.9092,3.771,984.05,-0.0297,56.841,0.13167,liquid,235.101,241.176,1.96454
170,100,340.69,0.0029352,194.74,224.48,1.4254,1.8874,3.9503,885.72,-0.0044315,48.683,0.11934,liquid,272.131,279.736,2.19814
180,100,320.05,0.0031245,233.54,265.2,1.6581,1.8729,4.2114,784.14,0.032569,41.679,0.10732,liquid,310.931,320.456,2.43084
190,100,296.14,0.0033767,274.95,309.16,1.8957,1.8682,4.6104,679.36,0.08938,35.475,0.096003,liquid,352.341,364.416,2.66844
200,100,267.33,0.0037406,320.29,358.2,2.1471,1.8763,5.2469,573.35,0.18135,29.764,0.084351,supercritical,397.681,413.456,2.91984
210,100,231.48,0.00432,371.37,415.14,2.4248,1.8949,6.1705,475.59,0.3314,24.359,0.073459,supercritical,448.761,470.396,3.19754
220,100,190.4,0.0052521,426.92,480.14,2.727,1.9009,6.6296,409.62,0.52742,19.668,0.0639,supercritical,504.311,535.396,3.49974
230,100,155.05,0.0064497,477.99,543.34,3.0081,1.8794,5.8712,385.61,0.67961,16.623,0.055911,supercritical,555.381,598.596,3.78084
240,100,130.77,0.0076471,519.48,596.96,3.2365,1.848,4.8899,385.4,0.74339,15.054,0.050334,supercritical,596.871,652.216,4.00924
250,100,114.4,0.0087413,553.6,642.17,3.4211,1.8216,4.2018,393.37,0.75065,14.279,0.047044,supercritical,630.991,697.426,4.19384
260,100,102.7,0.0097369,583.15,681.81,3.5766,1.8042,3.7566,403.67,0.73121,13.897,0.045252,supercritical,660.541,737.066,4.34934
270,100,93.846,0.010656,609.83,717.8,3.7125,1.7956,3.4617,414.43,0.70009,13.728,0.044381,supercritical,687.221,773.056,4.48524
280,100,86.838,0.011516,634.66,751.34,3.8345,1.7943,3.2592,425.02,0.66432,13.684,0.044096,supercritical,712.051,806.596,4.60724
290,100,81.104,0.01233,658.25,783.18,3.9463,1.7989,3.1164,435.22,0.6273,13.72,0.044208,supercritical,735.641,838.436,4.71904
300,100,76.29,0.013108,680.99,813.81,4.0501,1.8084,3.0139,444.97,0.5907,13.809,0.044601,supercritical,758.381,869.066,4.82284
310,100,72.168,0.013856,703.15,843.56,4.1476,1.822,2.9398,454.28,0.55536,13.936,0.045207,supercritical,780.541,898.816,4.92034
320,100,68.583,0.014581,724.93,872.67,4.2401,1.8389,2.8865,463.17,0.52166,14.089,0.045978,supercritical,802.321,927.926,5.01284
330,100,65.424,0.015285,746.46,901.34,4.3283,1.8587,2.849,471.68,0.48977,14.262,0.046884,supercritical,823.851,956.596,5.10104
340,100,62.61,0.015972,767.86,929.69,4.4129,1.881,2.8237,479.83,0.45973,14.45,0.047903,supercritical,845.251,984.946,5.18564
350,100,60.082,0.016644,789.2,957.84,4.4945,1.9055,2.808,487.65,0.43152,14.649,0.049018,supercritical,866.591,1013.096,5.26724
