Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
216.59,100,1197.3,0.00083522,74.543,83.005,0.49767,0.986,1.8996,1026.5,-0.031954,273.03,0.18464,liquid,0,0,0
220,100,1185.9,0.00084325,80.941,89.485,0.52735,0.98074,1.9032,1003.8,-0.030293,258.5,0.18053,liquid,6.398,6.48,0.02968
230,100,1151.5,0.00086847,99.792,108.59,0.61228,0.96638,1.9199,937.81,-0.024433,220.86,0.16867,liquid,25.249,25.585,0.11461
240,100,1115.3,0.00089664,118.83,127.92,0.69454,0.95367,1.9476,871.81,-0.016743,189.44,0.15707,liquid,44.287,44.915,0.19687
250,100,1076.9,0.00092863,138.18,147.59,0.77483,0.94279,1.9893,805.09,-0.0065641,162.97,0.14566,liquid,63.637,64.585,0.27716
260,100,1035.5,0.00096573,157.98,167.77,0.85397,0.93407,2.05,736.73,0.0071447,140.4,0.13439,liquid,83.437,84.765,0.3563
270,100,990.15,0.0010099,178.45,188.68,0.93289,0.92827,2.1387,665.65,0.026149,120.86,0.12318,liquid,103.907,105.675,0.43522
280,100,939.16,0.0010648,199.91,210.69,1.0129,0.92616,2.2735,590.57,0.053771,103.56,0.11194,liquid,125.367,127.685,0.51523
290,100,879.44,0.0011371,222.92,234.44,1.0962,0.93022,2.4983,509.16,0.097165,87.713,0.1005,liquid,148.377,151.435,0.59853
300,100,804.01,0.0012438,248.81,261.41,1.1876,0.9482,2.9578,417.94,0.17495,72.269,0.088529,liquid,174.267,178.405,0.68993
310,100,691.8,0.0014455,281.52,296.16,1.3015,0.99392,4.2814,313.2,0.35036,55.206,0.075863,supercritical,206.977,213.155,0.80383
320,100,467.8,0.0021377,336.45,358.11,1.4978,1.0546,7.5431,222.69,0.84275,33.172,0.063114,supercritical,261.907,275.105,1.00013
330,100,319.94,0.0031256,380.13,411.8,1.6633,0.96857,3.6745,225.9,1.1089,24.719,0.044327,supercritical,305.587,328.795,1.16563
340,100,264.9,0.003775,403.13,441.38,1.7517,0.90632,2.4612,237.93,1.129,22.841,0.037307,supercritical,328.587,358.375,1.25403
350,100,233.64,0.0042802,419.92,463.29,1.8153,0.87348,1.9807,248.41,1.0931,22.195,0.034309,supercritical,345.377,380.285,1.31763
360,100,212.26,0.0047112,433.98,481.72,1.8672,0.85469,1.7277,257.58,1.0416,21.988,0.032855,supercritical,359.437,398.715,1.36953
370,100,196.22,0.0050963,446.53,498.17,1.9123,0.84314,1.5726,265.81,0.98655,21.99,0.032152,supercritical,371.987,415.165,1.41463
380,100,183.49,0.00545,458.12,513.34,1.9527,0.836,1.4685,273.33,0.93219,22.11,0.031873,supercritical,383.577,430.335,1.45503
390,100,173,0.0057804,469.07,527.64,1.9899,0.83182,1.3947,280.29,0.8802,22.302,0.031856,supercritical,394.527,444.635,1.49223
400,100,164.12,0.006093,479.56,541.3,2.0245,0.82973,1.3402,286.79,0.83118,22.542,0.032014,supercritical,405.017,458.295,1.52683
410,100,156.46,0.0063914,489.72,554.48,2.057,0.82919,1.2989,292.92,0.7853,22.814,0.032294,supercritical,415.177,471.475,1.55933
420,100,149.74,0.0066783,499.64,567.31,2.0879,0.82983,1.2669,298.72,0.74251,23.109,0.032661,supercritical,425.097,484.305,1.59023
