Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
300,1,1.7966,0.5566,451.02,507.42,2.7421,0.65935,0.85262,269.38,1.9627,15.003,0.016774,vapor,0,0,0
300,2,3.6113,0.27691,450.37,506.48,2.6089,0.6618,0.85957,268.62,1.9635,15.013,0.016831,vapor,-0.649999999999977,-0.939999999999998,-0.1332
300,3,5.4446,0.18367,449.71,505.54,2.5301,0.66428,0.86668,267.85,1.9644,15.023,0.016889,vapor,-1.31,-1.88,-0.212
300,4,7.2968,0.13705,449.05,504.59,2.4736,0.66679,0.87398,267.08,1.9652,15.034,0.016949,vapor,-1.96999999999997,-2.83000000000004,-0.2685
300,5,9.1685,0.10907,448.38,503.63,2.4292,0.66933,0.88146,266.3,1.966,15.045,0.01701,vapor,-2.63999999999999,-3.79000000000002,-0.3129
300,6,11.06,0.090413,447.7,502.67,2.3924,0.6719,0.88914,265.51,1.9669,15.057,0.017073,vapor,-3.31999999999999,-4.75,-0.3497
300,7,12.973,0.077085,447.02,501.69,2.361,0.6745,0.89703,264.72,1.9677,15.07,0.017138,vapor,-4,-5.73000000000002,-0.3811
300,8,14.906,0.067086,446.33,500.7,2.3335,0.67714,0.90513,263.93,1.9685,15.082,0.017205,vapor,-4.69,-6.72000000000003,-0.4086
300,9,16.862,0.059306,445.63,499.71,2.3089,0.67981,0.91346,263.13,1.9694,15.096,0.017273,vapor,-5.38999999999999,-7.71000000000004,-0.4332
300,10,18.839,0.053081,444.92,498.71,2.2866,0.68252,0.92202,262.32,1.9702,15.11,0.017344,vapor,-6.09999999999997,-8.71000000000004,-0.4555
300,11,20.84,0.047985,444.21,497.69,2.2661,0.68527,0.93084,261.51,1.971,15.125,0.017416,vapor,-6.81,-9.73000000000002,-0.476
300,12,22.865,0.043736,443.49,496.67,2.2473,0.68806,0.93991,260.7,1.9718,15.14,0.017491,vapor,-7.52999999999997,-10.75,-0.4948
300,13,24.914,0.040139,442.76,495.63,2.2297,0.69089,0.94926,259.87,1.9725,15.156,0.017568,vapor,-8.25999999999999,-11.79,-0.5124
300,14,26.988,0.037054,442.02,494.59,2.2132,0.69376,0.9589,259.04,1.9733,15.172,0.017647,vapor,-9,-12.83,-0.5289
300,15,29.088,0.034379,441.28,493.53,2.1976,0.69667,0.96884,258.21,1.974,15.19,0.017729,vapor,-9.74000000000001,-13.89,-0.5445
300,16,31.215,0.032036,440.53,492.46,2.1828,0.69964,0.9791,257.37,1.9747,15.208,0.017813,vapor,-10.49,-14.96,-0.5593
300,17,33.37,0.029967,439.76,491.38,2.1687,0.70265,0.9897,256.52,1.9754,15.226,0.0179,vapor,-11.26,-16.04,-0.5734
300,18,35.553,0.028127,438.99,490.29,2.1553,0.70571,1.0007,255.66,1.9761,15.246,0.01799,vapor,-12.03,-17.13,-0.5868
300,19,37.766,0.026479,438.21,489.18,2.1424,0.70883,1.012,254.8,1.9767,15.266,0.018082,vapor,-12.81,-18.24,-0.5997
300,20,40.01,0.024994,437.42,488.07,2.13,0.712,1.0237,253.93,1.9773,15.287,0.018178,vapor,-13.6,-19.35,-0.6121
300,21,42.285,0.023649,436.61,486.94,2.118,0.71523,1.0359,253.05,1.9778,15.309,0.018277,vapor,-14.41,-20.48,-0.6241
300,22,44.594,0.022425,435.8,485.79,2.1064,0.71852,1.0485,252.16,1.9784,15.332,0.018379,vapor,-15.22,-21.63,-0.6357
300,23,46.936,0.021305,434.98,484.63,2.0952,0.72187,1.0615,251.27,1.9788,15.356,0.018485,vapor,-16.04,-22.79,-0.6469
300,24,49.314,0.020278,434.14,483.46,2.0842,0.7253,1.0751,250.36,1.9793,15.381,0.018595,vapor,-16.88,-23.96,-0.6579
300,25,51.729,0.019331,433.3,482.27,2.0736,0.72879,1.0892,249.45,1.9796,15.408,0.018709,vapor,-17.72,-25.15,-0.6685
300,26,54.182,0.018456,432.44,481.06,2.0632,0.73235,1.1039,248.53,1.98,15.435,0.018827,vapor,-18.58,-26.36,-0.6789
300,27,56.675,0.017644,431.57,479.84,2.053,0.736,1.1192,247.6,1.9802,15.463,0.01895,vapor,-19.45,-27.58,-0.6891
300,28,59.21,0.016889,430.68,478.6,2.043,0.73972,1.1352,246.66,1.9804,15.493,0.019077,vapor,-20.34,-28.82,-0.6991
300,29,61.787,0.016185,429.78,477.34,2.0333,0.74353,1.1518,245.71,1.9805,15.523,0.01921,vapor,-21.24,-30.08,-0.7088
300,30,64.41,0.015526,428.87,476.06,2.0237,0.74744,1.1692,244.75,1.9806,15.556,0.019348,vapor,-22.15,-31.36,-0.7184
300,31,67.08,0.014908,427.94,474.77,2.0142,0.75143,1.1874,243.78,1.9805,15.589,0.019492,vapor,-23.08,-32.65,-0.7279
300,32,69.799,0.014327,427,473.45,2.0049,0.75553,1.2065,242.8,1.9804,15.624,0.019642,vapor,-24.02,-33.97,-0.7372
300,33,72.57,0.01378,426.03,472.11,1.9957,0.75974,1.2265,241.8,1.9802,15.661,0.019798,vapor,-24.99,-35.31,-0.7464
300,34,75.396,0.013263,425.06,470.75,1.9866,0.76406,1.2476,240.8,1.9798,15.699,0.019962,vapor,-25.96,-36.67,-0.7555
300,35,78.278,0.012775,424.06,469.37,1.9775,0.7685,1.2697,239.78,1.9794,15.739,0.020133,vapor,-26.96,-38.05,-0.7646
300,36,81.22,0.012312,423.05,467.96,1.9686,0.77308,1.293,238.75,1.9788,15.781,0.020313,vapor,-27.97,-39.46,-0.7735
300,37,84.226,0.011873,422.01,466.52,1.9598,0.77779,1.3176,237.7,1.9781,15.825,0.020501,vapor,-29.01,-40.9,-0.7823
300,38,87.298,0.011455,420.95,465.06,1.9509,0.78264,1.3437,236.64,1.9772,15.871,0.0207,vapor,-30.07,-42.36,-0.7912
300,39,90.44,0.011057,419.88,463.57,1.9422,0.78766,1.3713,235.56,1.9762,15.92,0.020908,vapor,-31.14,-43.85,-0.7999
300,40,93.657,0.010677,418.77,462.05,1.9334,0.79284,1.4006,234.47,1.975,15.971,0.021128,vapor,-32.25,-45.37,-0.8087
300,41,96.954,0.010314,417.65,460.5,1.9247,0.79821,1.4318,233.36,1.9737,16.024,0.02136,vapor,-33.37,-46.92,-0.8174
300,42,100.33,0.0099667,416.49,458.91,1.916,0.80377,1.4651,232.23,1.9721,16.08,0.021605,vapor,-34.53,-48.51,-0.8261
300,43,103.8,0.0096335,415.31,457.28,1.9073,0.80955,1.5007,231.08,1.9703,16.139,0.021865,vapor,-35.71,-50.14,-0.8348
300,44,107.37,0.0093135,414.1,455.62,1.8985,0.81555,1.5388,229.91,1.9682,16.201,0.022141,vapor,-36.92,-51.8,-0.8436
300,45,111.04,0.0090057,412.86,453.92,1.8898,0.82181,1.5799,228.72,1.9659,16.267,0.022436,vapor,-38.16,-53.5,-0.8523
300,46,114.82,0.0087092,411.58,452.17,1.8809,0.82834,1.6242,227.51,1.9633,16.336,0.022749,vapor,-39.44,-55.25,-0.8612
300,47,118.72,0.0084231,410.26,450.37,1.8721,0.83518,1.6722,226.27,1.9603,16.41,0.023085,vapor,-40.76,-57.05,-0.87
300,48,122.75,0.0081466,408.9,448.53,1.8631,0.84234,1.7245,225,1.957,16.488,0.023445,vapor,-42.12,-58.89,-0.879
300,49,126.92,0.007879,407.5,446.62,1.854,0.84988,1.7815,223.71,1.9533,16.571,0.023833,vapor,-43.52,-60.8,-0.8881
300,50,131.24,0.0076194,406.06,444.66,1.8449,0.85782,1.8441,222.38,1.9491,16.66,0.024252,vapor,-44.96,-62.76,-0.8972
300,51,135.73,0.0073673,404.56,442.63,1.8356,0.86622,1.9132,221.01,1.9445,16.754,0.024705,vapor,-46.46,-64.79,-0.9065
300,52,140.41,0.0071219,403,440.52,1.8261,0.87514,1.99,219.61,1.9392,16.855,0.0252,vapor,-48.02,-66.9,-0.916
300,53,145.3,0.0068825,401.38,438.34,1.8165,0.88464,2.0757,218.16,1.9334,16.964,0.02574,vapor,-49.64,-69.08,-0.9256
300,54,150.41,0.0066484,399.68,436.06,1.8066,0.89481,2.1723,216.67,1.9268,17.081,0.026334,vapor,-51.34,-71.36,-0.9355
300,55,155.79,0.006419,397.91,433.68,1.7965,0.90576,2.2821,215.12,1.9193,17.208,0.026991,vapor,-53.11,-73.74,-0.9456
300,56,161.46,0.0061936,396.04,431.19,1.786,0.91761,2.4082,213.51,1.9109,17.347,0.027723,vapor,-54.98,-76.23,-0.9561
300,57,167.47,0.0059712,394.07,428.56,1.7752,0.93052,2.5548,211.83,1.9014,17.498,0.028546,vapor,-56.95,-78.86,-0.9669
300,58,173.88,0.0057511,391.98,425.78,1.764,0.94472,2.7278,210.06,1.8905,17.665,0.029478,vapor,-59.04,-81.64,-0.9781
300,59,180.76,0.0055322,389.75,422.82,1.7522,0.96049,2.9354,208.2,1.8779,17.85,0.030548,vapor,-61.27,-84.6,-0.9899
300,60,188.21,0.0053134,387.34,419.64,1.7398,0.97822,3.1903,206.21,1.8634,18.058,0.031794,vapor,-63.68,-87.78,-1.0023
300,61,196.35,0.0050928,384.72,416.2,1.7265,0.99847,3.5121,204.07,1.8463,18.294,0.033272,vapor,-66.3,-91.22,-1.0156
300,62,205.4,0.0048685,381.82,412.41,1.7122,1.0221,3.9338,201.73,1.8259,18.568,0.03507,vapor,-69.2,-95.01,-1.0299
300,63,215.65,0.0046372,378.57,408.17,1.6965,1.0505,4.5159,199.11,1.8011,18.891,0.037333,vapor,-72.45,-99.25,-1.0456
300,64,227.59,0.0043938,374.8,403.29,1.6787,1.0863,5.3844,196.09,1.7699,19.288,0.040338,vapor,-76.22,-104.13,-1.0634
300,65,242.22,0.0041284,370.22,397.41,1.6577,1.1353,6.8626,192.39,1.7282,19.803,0.044702,vapor,-80.8,-110.01,-1.0844
300,66,261.99,0.003817,364.11,389.64,1.6304,1.2153,10.188,187.18,1.6658,20.549,0.052411,vapor,-86.91,-117.78,-1.1117
300,66.253,268.58,0.0037232,362.09,387.08,1.6215,1.2476,11.921,185.33,1.6432,20.811,0.055713,vapor,-88.93,-120.34,-1.1206
300,66.253,679.24,0.0014722,273.49,283.38,1.2759,1.1199,8.6979,245.67,0.49715,53.192,0.080841,liquid,-177.53,-224.04,-1.4662
300,67,687.98,0.0014535,271.9,281.77,1.2701,1.0926,7.5659,257.64,0.4637,54.328,0.080098,liquid,-179.12,-225.65,-1.472
300,68,697.49,0.0014337,270.14,280.01,1.2638,1.0696,6.6348,270.09,0.43017,55.593,0.079708,liquid,-180.88,-227.41,-1.4783
300,69,705.44,0.0014176,268.64,278.55,1.2585,1.054,6.0205,280.31,0.40399,56.676,0.079644,liquid,-182.38,-228.87,-1.4836
300,70,712.34,0.0014038,267.33,277.29,1.2538,1.0422,5.5761,289.17,0.38245,57.634,0.079747,liquid,-183.69,-230.13,-1.4883
300,71,718.48,0.0013918,266.16,276.17,1.2496,1.0326,5.2356,297.09,0.36415,58.501,0.079944,liquid,-184.86,-231.25,-1.4925
300,72,724.03,0.0013812,265.09,275.16,1.2457,1.0246,4.9641,304.33,0.34825,59.298,0.080196,liquid,-185.93,-232.26,-1.4964
300,73,729.11,0.0013715,264.1,274.24,1.2422,1.0177,4.7412,311.02,0.33422,60.039,0.080482,liquid,-186.92,-233.18,-1.4999
300,74,733.81,0.0013628,263.18,273.4,1.2389,1.0116,4.554,317.27,0.32167,60.732,0.080788,liquid,-187.84,-234.02,-1.5032
300,75,738.19,0.0013547,262.32,272.61,1.2358,1.0062,4.394,323.15,0.31034,61.387,0.081106,liquid,-188.7,-234.81,-1.5063
300,76,742.3,0.0013472,261.51,271.88,1.2329,1.0014,4.2551,328.71,0.30002,62.008,0.081431,liquid,-189.51,-235.54,-1.5092
300,77,746.17,0.0013402,260.74,271.19,1.2302,0.99694,4.1331,334,0.29056,62.6,0.081759,liquid,-190.28,-236.23,-1.5119
300,78,749.84,0.0013336,260,270.54,1.2276,0.99289,4.0248,339.05,0.28183,63.167,0.082089,liquid,-191.02,-236.88,-1.5145
300,79,753.32,0.0013274,259.3,269.93,1.2251,0.98918,3.9278,343.88,0.27373,63.711,0.082417,liquid,-191.72,-237.49,-1.517
300,80,756.65,0.0013216,258.64,269.35,1.2227,0.98575,3.8402,348.52,0.26618,64.235,0.082744,liquid,-192.38,-238.07,-1.5194
300,81,759.83,0.0013161,257.99,268.79,1.2204,0.98258,3.7607,352.99,0.25912,64.741,0.083068,liquid,-193.03,-238.63,-1.5217
300,82,762.88,0.0013108,257.37,268.26,1.2182,0.97963,3.688,357.3,0.25249,65.23,0.083389,liquid,-193.65,-239.16,-1.5239
300,83,765.81,0.0013058,256.78,267.76,1.2161,0.97688,3.6212,361.47,0.24624,65.704,0.083707,liquid,-194.24,-239.66,-1.526
300,84,768.63,0.001301,256.2,267.27,1.214,0.97431,3.5596,365.5,0.24034,66.164,0.084021,liquid,-194.82,-240.15,-1.5281
300,85,771.35,0.0012964,255.64,266.81,1.212,0.9719,3.5025,369.42,0.23476,66.612,0.084331,liquid,-195.38,-240.61,-1.5301
300,86,773.98,0.001292,255.1,266.36,1.2101,0.96965,3.4493,373.22,0.22945,67.048,0.084637,liquid,-195.92,-241.06,-1.532
300,87,776.53,0.0012878,254.58,265.93,1.2082,0.96752,3.3997,376.92,0.2244,67.473,0.084939,liquid,-196.44,-241.49,-1.5339
300,88,779,0.0012837,254.06,265.51,1.2064,0.96552,3.3533,380.52,0.21959,67.888,0.085237,liquid,-196.96,-241.91,-1.5357
300,89,781.39,0.0012798,253.57,265.11,1.2046,0.96363,3.3097,384.03,0.215,68.293,0.085531,liquid,-197.45,-242.31,-1.5375
300,90,783.72,0.001276,253.08,264.72,1.2029,0.96184,3.2686,387.45,0.2106,68.69,0.085821,liquid,-197.94,-242.7,-1.5392
300,91,785.98,0.0012723,252.61,264.34,1.2012,0.96015,3.2299,390.79,0.20639,69.079,0.086107,liquid,-198.41,-243.08,-1.5409
300,92,788.18,0.0012687,252.15,263.98,1.1996,0.95855,3.1933,394.06,0.20235,69.459,0.08639,liquid,-198.87,-243.44,-1.5425
300,93,790.33,0.0012653,251.7,263.63,1.198,0.95703,3.1585,397.26,0.19847,69.832,0.086669,liquid,-199.32,-243.79,-1.5441
300,94,792.42,0.001262,251.26,263.28,1.1964,0.95558,3.1256,400.39,0.19474,70.199,0.086945,liquid,-199.76,-244.14,-1.5457
300,95,794.47,0.0012587,250.83,262.95,1.1949,0.9542,3.0943,403.46,0.19114,70.558,0.087217,liquid,-200.19,-244.47,-1.5472
300,96,796.46,0.0012556,250.41,262.63,1.1934,0.95289,3.0644,406.46,0.18768,70.912,0.087486,liquid,-200.61,-244.79,-1.5487
300,97,798.41,0.0012525,250,262.31,1.1919,0.95163,3.0359,409.41,0.18433,71.259,0.087751,liquid,-201.02,-245.11,-1.5502
