Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
13.957,100,83.536,0.011971,-63.694,57.601,-4.0936,5.2346,6.3705,1544.9,-0.31191,44.508,0.10409,liquid,0,0,0
20,100,80.009,0.012499,-27.21,99.433,-1.6177,5.6245,7.6488,1475.1,-0.25062,23.774,0.11711,liquid,36.484,41.832,2.4759
30,100,72.704,0.013754,50.347,189.71,2.0045,6.3198,10.452,1330.6,-0.15835,13.128,0.12409,liquid,114.041,132.109,6.0981
40,100,63.559,0.015733,149.25,308.67,5.4069,6.646,13.321,1165.3,-0.080184,9.0725,0.11895,supercritical,212.944,251.069,9.5005
50,100,53.133,0.018821,263.56,454.26,8.646,6.7434,15.584,1019.8,-0.0019508,6.9509,0.1084,supercritical,327.254,396.659,12.7396
60,100,43.285,0.023103,380.14,614.23,11.561,6.7797,16.096,938.29,0.059619,5.8072,0.098832,supercritical,443.834,556.629,15.6546
70,100,35.653,0.028048,487.77,771.96,13.994,6.8355,15.359,914.89,0.088458,5.278,0.092967,supercritical,551.464,714.359,18.0876
80,100,30.188,0.033126,585.49,921.14,15.987,6.9522,14.509,920.62,0.091646,5.0881,0.090835,supercritical,649.184,863.539,20.0806
90,100,26.232,0.038121,676.81,1063.1,17.66,7.1343,13.926,937.85,0.082229,5.0724,0.091351,supercritical,740.504,1005.499,21.7536
100,100,23.261,0.042991,764.91,1200.5,19.108,7.3647,13.599,959.34,0.068298,5.1489,0.093622,supercritical,828.604,1142.899,23.2016
110,100,20.945,0.047743,851.9,1335.7,20.396,7.6225,13.452,982.39,0.053602,5.2773,0.097079,supercritical,915.594,1278.099,24.4896
120,100,19.085,0.052397,939.02,1469.9,21.565,7.89,13.417,1006,0.039668,5.4364,0.10136,supercritical,1002.714,1412.299,25.6586
