Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
300,1,0.081841,12.219,2720.2,3958.3,53.464,10.186,14.313,1319.3,-0.055235,8.9385,0.1867,vapor,0,0,0
300,2,0.16358,6.1131,2719.9,3958.7,50.605,10.187,14.316,1320.2,-0.055315,8.939,0.18684,vapor,-0.299999999999727,0.399999999999636,-2.859
300,3,0.24523,4.0778,2719.6,3959.2,48.931,10.188,14.318,1321,-0.055396,8.9396,0.18697,vapor,-0.599999999999909,0.899999999999636,-4.533
300,4,0.32678,3.0601,2719.3,3959.6,47.744,10.189,14.321,1321.9,-0.055478,8.9402,0.1871,vapor,-0.899999999999636,1.29999999999973,-5.72
300,5,0.40824,2.4496,2719,3960,46.822,10.19,14.324,1322.8,-0.05556,8.9408,0.18724,vapor,-1.19999999999982,1.69999999999982,-6.642
300,6,0.48959,2.0425,2718.7,3960.5,46.069,10.191,14.327,1323.6,-0.055644,8.9414,0.18737,vapor,-1.5,2.19999999999982,-7.395
300,7,0.57085,1.7518,2718.4,3960.9,45.433,10.191,14.329,1324.5,-0.055728,8.942,0.18749,vapor,-1.79999999999973,2.59999999999991,-8.031
300,8,0.65202,1.5337,2718.2,3961.4,44.881,10.192,14.332,1325.3,-0.055814,8.9427,0.18762,vapor,-2,3.09999999999991,-8.583
300,9,0.73309,1.3641,2717.9,3961.8,44.394,10.193,14.335,1326.2,-0.055899,8.9433,0.18775,vapor,-2.29999999999973,3.5,-9.07
300,10,0.81406,1.2284,2717.6,3962.3,43.959,10.194,14.338,1327,-0.055986,8.944,0.18787,vapor,-2.59999999999991,4,-9.505
300,11,0.89494,1.1174,2717.3,3962.7,43.565,10.195,14.34,1327.9,-0.056073,8.9447,0.188,vapor,-2.89999999999964,4.39999999999964,-9.899
300,12,0.97572,1.0249,2717,3963.2,43.205,10.196,14.343,1328.8,-0.056161,8.9454,0.18812,vapor,-3.19999999999982,4.89999999999964,-10.259
300,13,1.0564,0.94661,2716.7,3963.6,42.874,10.196,14.346,1329.6,-0.05625,8.9461,0.18824,vapor,-3.5,5.29999999999973,-10.59
300,13,1.0564,0.94661,2716.7,3963.6,42.874,10.196,14.346,1329.6,-0.05625,8.9461,0.18824,supercritical,-3.5,5.29999999999973,-10.59
