Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K)
273.16,100,1004.9,0.00099514,0.16059,10.244,0.00049435,4.1715,4.172,1418.6,-0.043863,1769.7,0.56314,liquid,0,0,0
280,100,1004.7,0.00099529,28.657,38.742,0.10354,4.1587,4.1617,1450.5,-0.042749,1422,0.57868,liquid,28.49641,28.498,0.10304565
290,100,1003.4,0.00099661,70.22,80.318,0.24944,4.1319,4.1548,1488.8,-0.041347,1079.8,0.59827,liquid,70.05941,70.074,0.24894565
300,100,1001,0.00099899,111.73,121.86,0.39025,4.098,4.1533,1518.4,-0.040123,852.98,0.61504,liquid,111.56941,111.616,0.38975565
310,100,997.76,0.0010022,153.24,163.39,0.52645,4.0588,4.1547,1540.7,-0.039016,694.3,0.62957,liquid,153.07941,153.146,0.52595565
320,100,993.76,0.0010063,194.76,204.95,0.6584,4.0154,4.1577,1556.6,-0.037986,578.6,0.64219,liquid,194.59941,194.706,0.65790565
330,100,989.12,0.001011,236.31,246.55,0.7864,3.9689,4.1618,1567.1,-0.037002,491.48,0.65309,liquid,236.14941,236.306,0.78590565
340,100,983.9,0.0010164,277.89,288.19,0.91072,3.9202,4.1669,1572.9,-0.036041,424.2,0.6624,liquid,277.72941,277.946,0.91022565
350,100,978.15,0.0010223,319.53,329.89,1.0316,3.8702,4.1732,1574.5,-0.035085,371.14,0.6702,liquid,319.36941,319.646,1.03110565
360,100,971.9,0.0010289,361.24,371.66,1.1493,3.8195,4.1807,1572.3,-0.034116,328.57,0.67656,liquid,361.07941,361.416,1.14880565
370,100,965.2,0.0010361,403.01,413.51,1.2639,3.7688,4.1899,1566.8,-0.033119,293.88,0.68157,liquid,402.84941,403.266,1.26340565
380,100,958.05,0.0010438,444.89,455.47,1.3758,3.7186,4.201,1558.3,-0.032081,265.26,0.68526,liquid,444.72941,445.226,1.37530565
390,100,950.48,0.0010521,486.88,497.54,1.4851,3.6691,4.2142,1546.9,-0.030989,241.36,0.68771,liquid,486.71941,487.296,1.48460565
400,100,942.48,0.001061,529.01,539.76,1.592,3.6208,4.2299,1533,-0.029829,221.2,0.68896,liquid,528.84941,529.516,1.59150565
