Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
300,1,996.56,0.0010035,112.55,112.65,0.39306,4.1302,4.1806,1501.5,-0.040168,853.74,0.6095,liquid,0,0,0
300,2,996.6,0.0010034,112.54,112.75,0.39303,4.1298,4.1803,1501.7,-0.040167,853.73,0.60956,liquid,-0.00999999999999091,0.0999999999999943,-3.000000000003E-05
300,3,996.65,0.0010034,112.54,112.84,0.39301,4.1295,4.1801,1501.9,-0.040167,853.72,0.60961,liquid,-0.00999999999999091,0.189999999999998,-4.99999999999945E-05
300,4,996.69,0.0010033,112.53,112.93,0.39298,4.1292,4.1798,1502,-0.040167,853.72,0.60967,liquid,-0.019999999999996,0.280000000000001,-8.00000000000245E-05
300,5,996.74,0.0010033,112.52,113.03,0.39295,4.1288,4.1795,1502.2,-0.040166,853.71,0.60973,liquid,-0.0300000000000011,0.379999999999995,-0.000109999999999999
300,6,996.78,0.0010032,112.51,113.12,0.39292,4.1285,4.1792,1502.4,-0.040166,853.7,0.60978,liquid,-0.039999999999992,0.469999999999999,-0.000140000000000029
300,7,996.83,0.0010032,112.5,113.21,0.39289,4.1282,4.1789,1502.5,-0.040165,853.69,0.60984,liquid,-0.0499999999999972,0.559999999999988,-0.000170000000000003
300,8,996.88,0.0010031,112.49,113.31,0.39287,4.1278,4.1786,1502.7,-0.040165,853.68,0.6099,liquid,-0.0600000000000023,0.659999999999997,-0.000190000000000023
300,9,996.92,0.0010031,112.49,113.4,0.39284,4.1275,4.1784,1502.9,-0.040165,853.67,0.60995,liquid,-0.0600000000000023,0.75,-0.000219999999999998
300,10,996.97,0.001003,112.48,113.49,0.39281,4.1272,4.1781,1503.1,-0.040164,853.66,0.61001,liquid,-0.0699999999999932,0.839999999999989,-0.000250000000000028
300,11,997.01,0.001003,112.47,113.59,0.39278,4.1268,4.1778,1503.2,-0.040164,853.65,0.61007,liquid,-0.0799999999999983,0.939999999999998,-0.000280000000000002
300,12,997.06,0.001003,112.46,113.68,0.39275,4.1265,4.1775,1503.4,-0.040163,853.64,0.61012,liquid,-0.0900000000000034,1.03,-0.000310000000000032
300,13,997.1,0.0010029,112.45,113.77,0.39273,4.1262,4.1772,1503.6,-0.040163,853.63,0.61018,liquid,-0.0999999999999943,1.11999999999999,-0.000329999999999997
300,14,997.15,0.0010029,112.44,113.87,0.3927,4.1258,4.1769,1503.7,-0.040163,853.63,0.61024,liquid,-0.109999999999999,1.22,-0.000360000000000027
300,15,997.19,0.0010028,112.44,113.96,0.39267,4.1255,4.1766,1503.9,-0.040162,853.62,0.61029,liquid,-0.109999999999999,1.30999999999999,-0.000390000000000001
300,16,997.24,0.0010028,112.43,114.05,0.39264,4.1252,4.1764,1504.1,-0.040162,853.61,0.61035,liquid,-0.11999999999999,1.39999999999999,-0.000420000000000031
300,17,997.28,0.0010027,112.42,114.15,0.39261,4.1249,4.1761,1504.3,-0.040161,853.6,0.61041,liquid,-0.129999999999995,1.5,-0.000450000000000006
300,18,997.33,0.0010027,112.41,114.24,0.39259,4.1245,4.1758,1504.4,-0.040161,853.59,0.61046,liquid,-0.140000000000001,1.58999999999999,-0.000470000000000026
300,19,997.37,0.0010026,112.4,114.33,0.39256,4.1242,4.1755,1504.6,-0.04016,853.58,0.61052,liquid,-0.149999999999991,1.67999999999999,-0.0005
300,20,997.42,0.0010026,112.39,114.43,0.39253,4.1239,4.1752,1504.8,-0.04016,853.57,0.61058,liquid,-0.159999999999997,1.78,-0.00053000000000003
300,21,997.46,0.0010025,112.39,114.52,0.3925,4.1235,4.1749,1504.9,-0.04016,853.57,0.61063,liquid,-0.159999999999997,1.86999999999999,-0.000560000000000005
300,22,997.51,0.0010025,112.38,114.61,0.39247,4.1232,4.1747,1505.1,-0.040159,853.56,0.61069,liquid,-0.170000000000002,1.95999999999999,-0.000590000000000035
300,23,997.56,0.0010025,112.37,114.71,0.39245,4.1229,4.1744,1505.3,-0.040159,853.55,0.61075,liquid,-0.179999999999993,2.05999999999999,-0.000609999999999999
300,24,997.6,0.0010024,112.36,114.8,0.39242,4.1225,4.1741,1505.4,-0.040158,853.54,0.6108,liquid,-0.189999999999998,2.14999999999999,-0.000640000000000029
300,25,997.65,0.0010024,112.35,114.89,0.39239,4.1222,4.1738,1505.6,-0.040158,853.53,0.61086,liquid,-0.200000000000003,2.24,-0.000670000000000004
300,26,997.69,0.0010023,112.34,114.98,0.39236,4.1219,4.1735,1505.8,-0.040157,853.52,0.61092,liquid,-0.209999999999994,2.33,-0.000700000000000034
300,27,997.74,0.0010023,112.34,115.08,0.39233,4.1215,4.1733,1506,-0.040157,853.51,0.61097,liquid,-0.209999999999994,2.42999999999999,-0.000730000000000008
300,28,997.78,0.0010022,112.33,115.17,0.3923,4.1212,4.173,1506.1,-0.040157,853.51,0.61103,liquid,-0.219999999999999,2.52,-0.000760000000000038
300,29,997.83,0.0010022,112.32,115.26,0.39228,4.1209,4.1727,1506.3,-0.040156,853.5,0.61108,liquid,-0.230000000000004,2.61,-0.000780000000000003
300,30,997.87,0.0010021,112.31,115.36,0.39225,4.1206,4.1724,1506.5,-0.040156,853.49,0.61114,liquid,-0.239999999999995,2.70999999999999,-0.000810000000000033
300,31,997.92,0.0010021,112.3,115.45,0.39222,4.1202,4.1721,1506.6,-0.040155,853.48,0.6112,liquid,-0.25,2.8,-0.000840000000000007
300,32,997.96,0.001002,112.29,115.54,0.39219,4.1199,4.1719,1506.8,-0.040155,853.47,0.61125,liquid,-0.259999999999991,2.89,-0.000870000000000037
300,33,998.01,0.001002,112.29,115.64,0.39216,4.1196,4.1716,1507,-0.040154,853.46,0.61131,liquid,-0.259999999999991,2.99,-0.000900000000000012
300,34,998.05,0.001002,112.28,115.73,0.39214,4.1192,4.1713,1507.2,-0.040154,853.46,0.61137,liquid,-0.269999999999996,3.08,-0.000920000000000032
300,35,998.1,0.0010019,112.27,115.82,0.39211,4.1189,4.171,1507.3,-0.040154,853.45,0.61142,liquid,-0.280000000000001,3.16999999999999,-0.000950000000000006
