Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
300,1,1.1382,0.87861,222.17,311.19,6.8417,0.74317,1.0414,353.16,0.38658,17.89,0.025969,vapor,0,0,0
300,2,2.2767,0.43923,221.96,310.97,6.6353,0.74342,1.043,353.32,0.38522,17.903,0.026002,vapor,-0.20999999999998,-0.21999999999997,-0.2064
300,3,3.4157,0.29277,221.75,310.75,6.5143,0.74367,1.0446,353.48,0.38386,17.917,0.026036,vapor,-0.419999999999988,-0.439999999999998,-0.3274
300,4,4.555,0.21954,221.55,310.52,6.4282,0.74392,1.0463,353.64,0.3825,17.93,0.026071,vapor,-0.619999999999976,-0.670000000000016,-0.4135
300,5,5.6947,0.1756,221.34,310.3,6.3613,0.74417,1.0479,353.8,0.38114,17.944,0.026107,vapor,-0.829999999999984,-0.889999999999986,-0.4804
300,6,6.8348,0.14631,221.13,310.08,6.3065,0.74442,1.0496,353.97,0.37977,17.958,0.026143,vapor,-1.03999999999999,-1.11000000000001,-0.535200000000001
300,7,7.9751,0.12539,220.92,309.86,6.26,0.74467,1.0512,354.13,0.3784,17.972,0.02618,vapor,-1.25,-1.32999999999998,-0.581700000000001
300,8,9.1158,0.1097,220.72,309.64,6.2197,0.74492,1.0528,354.3,0.37704,17.986,0.026218,vapor,-1.44999999999999,-1.55000000000001,-0.622000000000001
300,9,10.257,0.097497,220.51,309.42,6.1841,0.74517,1.0545,354.48,0.37567,18.001,0.026257,vapor,-1.66,-1.76999999999998,-0.6576
300,10,11.398,0.087735,220.3,309.2,6.1521,0.74541,1.0561,354.65,0.37429,18.015,0.026296,vapor,-1.86999999999998,-1.99000000000001,-0.6896
300,11,12.54,0.079748,220.09,308.98,6.1232,0.74566,1.0578,354.83,0.37292,18.03,0.026336,vapor,-2.07999999999998,-2.20999999999998,-0.718500000000001
300,12,13.681,0.073092,219.89,308.76,6.0966,0.74591,1.0594,355.01,0.37154,18.045,0.026376,vapor,-2.28,-2.43000000000001,-0.745100000000001
300,13,14.823,0.067461,219.68,308.54,6.0722,0.74615,1.0611,355.19,0.37016,18.06,0.026417,vapor,-2.48999999999998,-2.64999999999998,-0.769500000000001
300,14,15.966,0.062635,219.47,308.32,6.0495,0.7464,1.0627,355.38,0.36879,18.075,0.026459,vapor,-2.69999999999999,-2.87,-0.7922
300,15,17.108,0.058452,219.27,308.11,6.0284,0.74664,1.0643,355.56,0.3674,18.091,0.026501,vapor,-2.89999999999998,-3.07999999999998,-0.8133
300,16,18.251,0.054793,219.06,307.89,6.0085,0.74688,1.066,355.75,0.36602,18.106,0.026544,vapor,-3.10999999999999,-3.30000000000001,-0.833200000000001
300,17,19.393,0.051564,218.85,307.67,5.9899,0.74713,1.0676,355.94,0.36464,18.122,0.026587,vapor,-3.31999999999999,-3.51999999999998,-0.851800000000001
300,18,20.536,0.048695,218.65,307.46,5.9722,0.74737,1.0693,356.14,0.36325,18.138,0.026631,vapor,-3.51999999999998,-3.73000000000002,-0.8695
300,19,21.679,0.046127,218.44,307.24,5.9555,0.74761,1.0709,356.33,0.36186,18.154,0.026676,vapor,-3.72999999999999,-3.94999999999999,-0.886200000000001
300,20,22.822,0.043817,218.23,307.03,5.9396,0.74785,1.0726,356.53,0.36047,18.171,0.026721,vapor,-3.94,-4.16000000000003,-0.9021
300,21,23.966,0.041726,218.03,306.81,5.9244,0.74809,1.0742,356.73,0.35908,18.187,0.026766,vapor,-4.13999999999999,-4.38,-0.9173
300,22,25.109,0.039826,217.82,306.6,5.91,0.74833,1.0759,356.94,0.35769,18.204,0.026812,vapor,-4.34999999999999,-4.58999999999998,-0.9317
