Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K)
63.151,100,883.28,0.0011321,-153.89,-142.42,2.3743,1.2021,1.9552,1050.9,-0.077661,351.89,0.18123,liquid,0,0,0
70,100,857.58,0.0011661,-140.85,-129.04,2.5755,1.1549,1.9539,990.39,-0.075037,251.88,0.16859,liquid,13.04,13.38,0.2012
80,100,818.67,0.0012215,-121.86,-109.48,2.8366,1.0936,1.9595,905.01,-0.069432,169.3,0.15056,liquid,32.03,32.94,0.4623
90,100,777.73,0.0012858,-102.83,-89.799,3.0684,1.0422,1.9792,820.6,-0.060702,122.96,0.13304,liquid,51.06,52.621,0.6941
100,100,734.1,0.0013622,-83.628,-69.825,3.2788,0.99996,2.0198,735.66,-0.047117,93.879,0.11609,liquid,70.262,72.595,0.9045
110,100,686.71,0.0014562,-64.055,-49.3,3.4744,0.96607,2.0916,649.43,-0.025748,73.822,0.099815,liquid,89.835,93.12,1.1001
120,100,633.89,0.0015776,-43.821,-27.836,3.6611,0.94025,2.2107,561.99,0.008502,58.803,0.08439,liquid,110.069,114.584,1.2868
130,100,573.24,0.0017445,-22.534,-4.858,3.8449,0.92261,2.3978,475.35,0.064381,46.702,0.07023,supercritical,131.356,137.562,1.4706
140,100,502.3,0.0019909,0.18369,20.356,4.0316,0.91208,2.6512,395.63,0.15427,36.434,0.057978,supercritical,154.07369,162.776,1.6573
150,100,422.92,0.0023645,23.974,47.932,4.2218,0.90235,2.8251,334.94,0.28043,28.093,0.048133,supercritical,177.864,190.352,1.8475
160,100,348.54,0.0028691,46.578,75.65,4.4008,0.88471,2.6586,303.6,0.4019,22.693,0.040632,supercritical,200.468,218.07,2.0265
170,100,292.08,0.0034237,65.781,100.47,4.5514,0.86209,2.3024,294.65,0.47313,19.957,0.035488,supercritical,219.671,242.89,2.1771
180,100,252.35,0.0039628,81.747,121.9,4.6739,0.84129,1.9988,296.06,0.49772,18.659,0.032369,supercritical,235.637,264.32,2.2996
190,100,223.76,0.0044692,95.466,140.75,4.7759,0.82446,1.7843,301.56,0.49486,18.05,0.03058,supercritical,249.356,283.17,2.4016
200,100,202.25,0.0049445,107.7,157.8,4.8634,0.81134,1.635,308.62,0.47813,17.797,0.029589,supercritical,261.59,300.22,2.4891
210,100,185.39,0.005394,118.94,173.59,4.9404,0.80115,1.5283,316.21,0.45503,17.746,0.029082,supercritical,272.83,316.01,2.5661
220,100,171.74,0.0058228,129.46,188.46,5.0096,0.79315,1.4497,323.92,0.42942,17.82,0.028878,supercritical,283.35,330.88,2.6353
230,100,160.39,0.0062348,139.47,202.65,5.0727,0.7868,1.3899,331.56,0.4033,17.975,0.028871,supercritical,293.36,345.07,2.6984
240,100,150.76,0.0066331,149.09,216.3,5.1308,0.78168,1.3432,339.05,0.37765,18.187,0.028994,supercritical,302.98,358.72,2.7565
250,100,142.45,0.0070201,158.41,229.54,5.1849,0.77751,1.3059,346.35,0.35299,18.438,0.029194,supercritical,312.3,371.96,2.8106
260,100,135.18,0.0073975,167.49,242.44,5.2355,0.77407,1.2756,353.45,0.32953,18.717,0.029488,supercritical,321.38,384.86,2.8612
270,100,128.75,0.0077668,176.37,255.07,5.2831,0.77121,1.2506,360.36,0.30734,19.018,0.029879,supercritical,330.26,397.49,2.9088
280,100,123.01,0.0081292,185.1,267.47,5.3282,0.76881,1.2297,367.09,0.28642,19.334,0.030303,supercritical,338.99,409.89,2.9539
290,100,117.85,0.0084857,193.69,279.68,5.3711,0.7668,1.2119,373.64,0.26672,19.662,0.030752,supercritical,347.58,422.1,2.9968
300,100,113.16,0.0088369,202.18,291.72,5.4119,0.76511,1.1968,380.02,0.24818,19.999,0.031222,supercritical,356.07,434.14,3.0376
310,100,108.89,0.0091836,210.56,303.62,5.4509,0.7637,1.1837,386.24,0.23073,20.342,0.031706,supercritical,364.45,446.04,3.0766
320,100,104.97,0.0095262,218.87,315.4,5.4883,0.76252,1.1724,392.32,0.21428,20.69,0.032203,supercritical,372.76,457.82,3.114
330,100,101.37,0.0098652,227.11,327.07,5.5242,0.76156,1.1625,398.25,0.19877,21.041,0.03271,supercritical,381,469.49,3.1499
340,100,98.03,0.010201,235.29,338.65,5.5588,0.76078,1.1538,404.06,0.18413,21.395,0.033225,supercritical,389.18,481.07,3.1845
350,100,94.932,0.010534,243.41,350.15,5.5921,0.76019,1.1462,409.73,0.1703,21.75,0.033746,supercritical,397.3,492.57,3.2178
360,100,92.046,0.010864,251.5,361.58,5.6243,0.75975,1.1395,415.29,0.15721,22.107,0.034272,supercritical,405.39,504,3.25
370,100,89.349,0.011192,259.54,372.94,5.6555,0.75948,1.1336,420.74,0.14481,22.463,0.034801,supercritical,413.43,515.36,3.2812
380,100,86.822,0.011518,267.55,384.25,5.6856,0.75934,1.1284,426.09,0.13306,22.82,0.035334,supercritical,421.44,526.67,3.3113
