Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Adjusted Internal Energy,Adjusted Enthalpy,Adjusted Entropy
300,1,1.3007,0.76882,194.81,272.71,6.4129,0.65873,0.91989,329.72,0.48386,20.652,0.026486,vapor,0,0,0
300,2,2.603,0.38417,194.61,272.46,6.2321,0.65898,0.92146,329.74,0.48293,20.674,0.026532,vapor,-0.199999999999989,-0.25,-0.1808
300,3,3.9069,0.25595,194.41,272.22,6.1261,0.65922,0.92304,329.75,0.48199,20.696,0.026577,vapor,-0.400000000000006,-0.489999999999952,-0.2868
300,4,5.2125,0.19185,194.21,271.97,6.0507,0.65947,0.92463,329.77,0.48105,20.718,0.026623,vapor,-0.599999999999994,-0.739999999999952,-0.3622
300,5,6.5197,0.15338,194.02,271.72,5.992,0.65971,0.92621,329.79,0.4801,20.74,0.026669,vapor,-0.789999999999992,-0.989999999999952,-0.4209
300,6,7.8284,0.12774,193.82,271.48,5.944,0.65996,0.92781,329.81,0.47915,20.761,0.026715,vapor,-0.990000000000009,-1.22999999999996,-0.4689
300,7,9.1388,0.10942,193.62,271.23,5.9033,0.6602,0.9294,329.83,0.47819,20.783,0.026761,vapor,-1.19,-1.47999999999996,-0.5096
300,8,10.451,0.095687,193.42,270.98,5.8679,0.66045,0.931,329.86,0.47722,20.805,0.026808,vapor,-1.39000000000001,-1.72999999999996,-0.545
300,9,11.764,0.085003,193.22,270.74,5.8366,0.66069,0.93261,329.88,0.47625,20.827,0.026854,vapor,-1.59,-1.96999999999997,-0.5763
300,10,13.079,0.076456,193.02,270.49,5.8086,0.66094,0.93422,329.91,0.47528,20.849,0.0269,vapor,-1.78999999999999,-2.21999999999997,-0.604299999999999
300,11,14.396,0.069464,192.82,270.24,5.7832,0.66118,0.93583,329.94,0.4743,20.871,0.026946,vapor,-1.99000000000001,-2.46999999999997,-0.6297
300,12,15.714,0.063637,192.62,270,5.7599,0.66143,0.93744,329.97,0.47331,20.894,0.026993,vapor,-2.19,-2.70999999999998,-0.653
300,13,17.034,0.058706,192.42,269.75,5.7385,0.66167,0.93906,330,0.47232,20.916,0.027039,vapor,-2.39000000000002,-2.95999999999998,-0.674399999999999
300,14,18.355,0.05448,192.22,269.5,5.7185,0.66191,0.94069,330.03,0.47132,20.938,0.027086,vapor,-2.59,-3.20999999999998,-0.6944
300,15,19.678,0.050818,192.02,269.26,5.6999,0.66215,0.94231,330.06,0.47032,20.96,0.027133,vapor,-2.78999999999999,-3.44999999999999,-0.712999999999999
300,16,21.003,0.047613,191.82,269.01,5.6825,0.6624,0.94395,330.1,0.46931,20.982,0.02718,vapor,-2.99000000000001,-3.69999999999999,-0.7304
300,17,22.328,0.044786,191.62,268.76,5.6661,0.66264,0.94558,330.14,0.46829,21.005,0.027226,vapor,-3.19,-3.94999999999999,-0.7468
300,18,23.656,0.042273,191.42,268.52,5.6506,0.66288,0.94722,330.17,0.46728,21.027,0.027273,vapor,-3.39000000000002,-4.19,-0.7623
300,19,24.985,0.040024,191.22,268.27,5.6359,0.66312,0.94886,330.21,0.46625,21.05,0.027321,vapor,-3.59,-4.44,-0.776999999999999
300,20,26.315,0.038001,191.02,268.03,5.6219,0.66336,0.95051,330.26,0.46522,21.072,0.027368,vapor,-3.78999999999999,-4.68000000000001,-0.791
300,21,27.647,0.03617,190.82,267.78,5.6085,0.6636,0.95216,330.3,0.46419,21.095,0.027415,vapor,-3.99000000000001,-4.93000000000001,-0.804399999999999
300,22,28.98,0.034506,190.62,267.54,5.5958,0.66385,0.95381,330.34,0.46315,21.117,0.027462,vapor,-4.19,-5.16999999999996,-0.8171
300,23,30.315,0.032987,190.41,267.29,5.5836,0.66409,0.95547,330.39,0.4621,21.14,0.02751,vapor,-4.40000000000001,-5.41999999999996,-0.8293
300,24,31.651,0.031594,190.21,267.04,5.5719,0.66433,0.95712,330.44,0.46105,21.163,0.027557,vapor,-4.59999999999999,-5.66999999999996,-0.840999999999999
300,25,32.989,0.030313,190.01,266.8,5.5606,0.66456,0.95879,330.49,0.46,21.186,0.027605,vapor,-4.80000000000001,-5.90999999999997,-0.8523
300,26,34.328,0.029131,189.81,266.55,5.5497,0.6648,0.96045,330.54,0.45894,21.209,0.027653,vapor,-5,-6.15999999999997,-0.8632
300,27,35.669,0.028036,189.61,266.31,5.5393,0.66504,0.96212,330.6,0.45787,21.232,0.0277,vapor,-5.19999999999999,-6.39999999999998,-0.8736
300,28,37.011,0.027019,189.41,266.07,5.5292,0.66528,0.96379,330.65,0.4568,21.255,0.027748,vapor,-5.40000000000001,-6.63999999999999,-0.883699999999999
300,29,38.354,0.026073,189.21,265.82,5.5194,0.66552,0.96547,330.71,0.45572,21.278,0.027796,vapor,-5.59999999999999,-6.88999999999999,-0.8935
300,30,39.699,0.02519,189.01,265.58,5.5099,0.66576,0.96715,330.77,0.45464,21.301,0.027844,vapor,-5.80000000000001,-7.13,-0.903
300,31,41.045,0.024364,188.8,265.33,5.5007,0.66599,0.96883,330.83,0.45356,21.324,0.027893,vapor,-6.00999999999999,-7.38,-0.9122
300,32,42.392,0.023589,188.6,265.09,5.4918,0.66623,0.97051,330.89,0.45247,21.347,0.027941,vapor,-6.21000000000001,-7.62,-0.9211
300,33,43.741,0.022862,188.4,264.84,5.4832,0.66647,0.9722,330.95,0.45137,21.371,0.027989,vapor,-6.41,-7.87,-0.9297
300,34,45.091,0.022177,188.2,264.6,5.4748,0.6667,0.97389,331.02,0.45027,21.394,0.028038,vapor,-6.61000000000001,-8.10999999999996,-0.9381
300,35,46.443,0.021532,188,264.36,5.4666,0.66694,0.97558,331.08,0.44917,21.418,0.028087,vapor,-6.81,-8.34999999999997,-0.9463
300,36,47.795,0.020923,187.79,264.11,5.4586,0.66717,0.97728,331.15,0.44806,21.441,0.028135,vapor,-7.02000000000001,-8.59999999999997,-0.9543
300,37,49.149,0.020346,187.59,263.87,5.4508,0.66741,0.97898,331.22,0.44694,21.465,0.028184,vapor,-7.22,-8.83999999999998,-0.9621
300,38,50.505,0.0198,187.39,263.63,5.4432,0.66764,0.98068,331.3,0.44582,21.489,0.028233,vapor,-7.42000000000002,-9.07999999999998,-0.9697
300,39,51.862,0.019282,187.19,263.38,5.4358,0.66788,0.98238,331.37,0.4447,21.513,0.028282,vapor,-7.62,-9.32999999999998,-0.977099999999999
300,40,53.219,0.01879,186.99,263.14,5.4286,0.66811,0.98409,331.45,0.44357,21.537,0.028332,vapor,-7.81999999999999,-9.56999999999999,-0.984299999999999
300,41,54.579,0.018322,186.78,262.9,5.4215,0.66835,0.9858,331.52,0.44244,21.561,0.028381,vapor,-8.03,-9.81,-0.9914
300,42,55.939,0.017877,186.58,262.66,5.4146,0.66858,0.98751,331.6,0.4413,21.585,0.02843,vapor,-8.22999999999999,-10.05,-0.9983
300,43,57.301,0.017452,186.38,262.42,5.4078,0.66881,0.98922,331.68,0.44016,21.609,0.02848,vapor,-8.43000000000001,-10.29,-1.0051
300,44,58.664,0.017046,186.18,262.17,5.4012,0.66904,0.99093,331.77,0.43901,21.634,0.02853,vapor,-8.63,-10.54,-1.0117
300,45,60.028,0.016659,185.97,261.93,5.3947,0.66927,0.99265,331.85,0.43786,21.658,0.028579,vapor,-8.84,-10.78,-1.0182
300,46,61.393,0.016289,185.77,261.69,5.3883,0.66951,0.99437,331.94,0.4367,21.683,0.028629,vapor,-9.03999999999999,-11.02,-1.0246
300,47,62.759,0.015934,185.57,261.45,5.3821,0.66974,0.99609,332.03,0.43554,21.707,0.028679,vapor,-9.24000000000001,-11.26,-1.0308
300,48,64.127,0.015594,185.37,261.21,5.3759,0.66997,0.99782,332.12,0.43438,21.732,0.02873,vapor,-9.44,-11.5,-1.037
300,49,65.495,0.015268,185.16,260.97,5.3699,0.6702,0.99954,332.21,0.43321,21.757,0.02878,vapor,-9.65000000000001,-11.74,-1.043
300,50,66.865,0.014955,184.96,260.73,5.364,0.67042,1.0013,332.31,0.43204,21.782,0.02883,vapor,-9.84999999999999,-11.98,-1.0489
300,50,66.865,0.014955,184.96,260.73,5.364,0.67042,1.0013,332.31,0.43204,21.782,0.02883,supercritical,-9.84999999999999,-11.98,-1.0489
300,50,66.865,0.014955,184.96,260.73,5.364,0.67042,1.0013,332.31,0.43204,21.782,0.02883,supercritical,-9.84999999999999,-11.98,-1.0489
300,51,68.236,0.014655,184.76,260.49,5.3582,0.67065,1.003,332.4,0.43086,21.807,0.028881,supercritical,-10.05,-12.22,-1.0547
300,52,69.608,0.014366,184.55,260.25,5.3525,0.67088,1.0047,332.5,0.42968,21.832,0.028932,supercritical,-10.26,-12.46,-1.0604
300,53,70.981,0.014088,184.35,260.01,5.3469,0.67111,1.0065,332.6,0.4285,21.857,0.028983,supercritical,-10.46,-12.7,-1.066
300,54,72.355,0.013821,184.15,259.77,5.3414,0.67134,1.0082,332.7,0.42731,21.883,0.029034,supercritical,-10.66,-12.94,-1.0715
300,55,73.731,0.013563,183.94,259.53,5.336,0.67156,1.0099,332.81,0.42611,21.908,0.029085,supercritical,-10.87,-13.18,-1.0769
300,56,75.107,0.013314,183.74,259.29,5.3306,0.67179,1.0117,332.92,0.42492,21.934,0.029136,supercritical,-11.07,-13.42,-1.0823
300,57,76.484,0.013075,183.54,259.05,5.3254,0.67202,1.0134,333.02,0.42371,21.96,0.029187,supercritical,-11.27,-13.66,-1.0875
300,58,77.862,0.012843,183.34,258.81,5.3202,0.67224,1.0151,333.13,0.42251,21.986,0.029239,supercritical,-11.47,-13.9,-1.0927
