Temperature (K),Pressure (atm),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (F/atm),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K)
54.361,100,1317,0.0007593,-194.87,-187.17,2.0685,1.1723,1.6363,1154.3,-0.070878,835.88,0.2054,liquid,0,0,0
60,100,1293.9,0.00077288,-185.73,-177.9,2.2308,1.0924,1.6527,1154.9,-0.068639,625.89,0.19801,liquid,9.14000000000002,9.26999999999998,0.1623
70,100,1251,0.00079933,-169.42,-161.32,2.4864,1.0334,1.6592,1096.2,-0.066606,404.31,0.18479,liquid,25.45,25.85,0.4179
80,100,1207.5,0.00082818,-153.14,-144.75,2.7076,0.98872,1.654,1023.8,-0.064705,285.52,0.17159,liquid,41.73,42.42,0.6391
90,100,1162.9,0.00085994,-136.92,-128.21,2.9025,0.94891,1.6564,950.78,-0.061483,215.36,0.15834,liquid,57.95,58.96,0.834
100,100,1116.6,0.00089557,-120.65,-111.58,3.0777,0.91388,1.6718,877.74,-0.056258,169.72,0.14499,liquid,74.22,75.59,1.0092
110,100,1067.8,0.00093647,-104.21,-94.723,3.2383,0.88342,1.7025,803.8,-0.048315,137.31,0.13158,liquid,90.66,92.447,1.1698
120,100,1015.6,0.00098469,-87.442,-77.465,3.3885,0.85728,1.753,728,-0.036476,112.59,0.11821,liquid,107.428,109.705,1.32
130,100,958.23,0.0010436,-70.142,-59.568,3.5317,0.83559,1.8324,649.25,-0.018582,92.658,0.10495,liquid,124.728,127.602,1.4632
140,100,893.46,0.0011192,-51.996,-40.655,3.6718,0.81919,1.961,566.26,0.0096237,75.925,0.091898,liquid,142.874,146.515,1.6033
150,100,816.78,0.0012243,-32.439,-20.033,3.8139,0.81021,2.1859,477.53,0.057465,61.4,0.079183,liquid,162.431,167.137,1.7454
160,100,718.97,0.0013909,-10.324,3.769,3.9674,0.81274,2.6277,383.2,0.14757,48.301,0.066836,supercritical,184.546,190.939,1.8989
170,100,583.44,0.001714,16.464,33.831,4.1494,0.82509,3.4155,295.79,0.32625,36.014,0.05461,supercritical,211.334,221.001,2.0809
180,100,431.73,0.0023163,45.535,69.004,4.3505,0.81576,3.3102,253.33,0.55236,26.547,0.042863,supercritical,240.405,256.174,2.282
190,100,336.33,0.0029733,67.28,97.407,4.5043,0.78124,2.4202,251.63,0.65055,22.418,0.035541,supercritical,262.15,284.577,2.4358
200,100,282.64,0.0035381,82.951,118.8,4.6141,0.75169,1.9134,259.62,0.66175,20.932,0.032094,supercritical,277.821,305.97,2.5456
210,100,248.07,0.0040311,95.585,136.43,4.7002,0.73067,1.6377,269.1,0.64111,20.425,0.03044,supercritical,290.455,323.6,2.6317
220,100,223.39,0.0044765,106.55,151.91,4.7722,0.71592,1.4713,278.52,0.60944,20.347,0.029659,supercritical,301.42,339.08,2.7037
230,100,204.55,0.0048888,116.51,166.04,4.8351,0.70542,1.3619,287.52,0.57468,20.485,0.029354,supercritical,311.38,353.21,2.7666
240,100,189.5,0.0052771,125.79,179.26,4.8913,0.69783,1.2853,296.07,0.54001,20.745,0.029333,supercritical,320.66,366.43,2.8228
250,100,177.08,0.0056472,134.6,191.82,4.9426,0.69229,1.2291,304.18,0.50674,21.08,0.029494,supercritical,329.47,378.99,2.8741
260,100,166.58,0.0060031,143.06,203.88,4.9899,0.68825,1.1865,311.9,0.47534,21.46,0.029776,supercritical,337.93,391.05,2.9214
270,100,157.54,0.0063477,151.26,215.58,5.0341,0.68533,1.1533,319.27,0.44595,21.87,0.030142,supercritical,346.13,402.75,2.9656
280,100,149.64,0.0066828,159.26,226.97,5.0755,0.6833,1.1269,326.32,0.41853,22.3,0.030569,supercritical,354.13,414.14,3.007
290,100,142.65,0.0070102,167.1,238.13,5.1147,0.68196,1.1056,333.1,0.39296,22.744,0.03104,supercritical,361.97,425.3,3.0462
300,100,136.41,0.0073309,174.82,249.1,5.1519,0.68121,1.0882,339.61,0.36911,23.195,0.031543,supercritical,369.69,436.27,3.0834
310,100,130.79,0.007646,182.43,259.91,5.1873,0.68095,1.0739,345.9,0.34685,23.652,0.032051,supercritical,377.3,447.08,3.1188
320,100,125.69,0.0079562,189.97,270.58,5.2212,0.6811,1.062,351.97,0.32604,24.112,0.032622,supercritical,384.84,457.75,3.1527
330,100,121.03,0.0082621,197.44,281.15,5.2537,0.68162,1.0522,357.86,0.30656,24.573,0.033207,supercritical,392.31,468.32,3.1852
340,100,116.76,0.0085642,204.85,291.63,5.285,0.68246,1.044,363.57,0.2883,25.034,0.033802,supercritical,399.72,478.8,3.2165
350,100,112.83,0.0088631,212.23,302.04,5.3152,0.68357,1.0372,369.11,0.27116,25.495,0.034406,supercritical,407.1,489.21,3.2467
360,100,109.18,0.0091589,219.58,312.38,5.3443,0.68494,1.0315,374.51,0.25504,25.954,0.035015,supercritical,414.45,499.55,3.2758
370,100,105.8,0.0094521,226.9,322.67,5.3725,0.68653,1.0269,379.77,0.23987,26.411,0.03563,supercritical,421.77,509.84,3.304
380,100,102.64,0.0097429,234.2,332.92,5.3998,0.68831,1.0231,384.89,0.22558,26.866,0.036248,supercritical,429.07,520.09,3.3313
390,100,99.685,0.010032,241.49,343.14,5.4264,0.69028,1.0201,389.9,0.21209,27.318,0.036869,supercritical,436.36,530.31,3.3579
400,100,96.915,0.010318,248.77,353.32,5.4522,0.69239,1.0177,394.8,0.19935,27.768,0.037493,supercritical,443.64,540.49,3.3837
410,100,94.311,0.010603,256.06,363.49,5.4773,0.69465,1.0159,399.59,0.18731,28.215,0.038118,supercritical,450.93,550.66,3.4088
420,100,91.857,0.010886,263.34,373.64,5.5017,0.69703,1.0146,404.28,0.17591,28.658,0.038743,supercritical,458.21,560.81,3.4332
430,100,89.54,0.011168,270.62,383.79,5.5256,0.69951,1.0137,408.88,0.16511,29.099,0.03937,supercritical,465.49,570.96,3.4571
440,100,87.347,0.011449,277.92,393.92,5.5489,0.70209,1.0132,413.4,0.15487,29.536,0.039996,supercritical,472.79,581.09,3.4804
450,100,85.268,0.011728,285.22,404.05,5.5717,0.70475,1.013,417.83,0.14516,29.971,0.040623,supercritical,480.09,591.22,3.5032
460,100,83.294,0.012006,292.53,414.18,5.5939,0.70747,1.0131,422.19,0.13593,30.402,0.041248,supercritical,487.4,601.35,3.5254
470,100,81.416,0.012283,299.86,424.31,5.6157,0.71025,1.0135,426.47,0.12716,30.83,0.041874,supercritical,494.73,611.48,3.5472
480,100,79.627,0.012558,307.2,434.45,5.6371,0.71307,1.0141,430.69,0.11882,31.255,0.042498,supercritical,502.07,621.62,3.5686
490,100,77.922,0.012833,314.56,444.6,5.658,0.71593,1.0149,434.84,0.11089,31.677,0.043122,supercritical,509.43,631.77,3.5895
500,100,76.292,0.013107,321.94,454.75,5.6785,0.71882,1.0159,438.93,0.10333,32.095,0.043744,supercritical,516.81,641.92,3.61
510,100,74.734,0.013381,329.34,464.92,5.6986,0.72173,1.0171,442.96,0.096123,32.511,0.044365,supercritical,524.21,652.09,3.6301
520,100,73.243,0.013653,336.75,475.09,5.7184,0.72465,1.0183,446.94,0.089252,32.923,0.044985,supercritical,531.62,662.26,3.6499
530,100,71.813,0.013925,344.19,485.28,5.7378,0.72757,1.0197,450.87,0.082695,33.333,0.045603,supercritical,539.06,672.45,3.6693
540,100,70.441,0.014196,351.65,495.49,5.7569,0.7305,1.0212,454.74,0.076432,33.74,0.04622,supercritical,546.52,682.66,3.6884
550,100,69.124,0.014467,359.12,505.71,5.7756,0.73342,1.0228,458.57,0.070449,34.144,0.046835,supercritical,553.99,692.88,3.7071
560,100,67.858,0.014737,366.63,515.94,5.7941,0.73633,1.0244,462.35,0.064727,34.545,0.047449,supercritical,561.5,703.11,3.7256
570,100,66.64,0.015006,374.15,526.2,5.8122,0.73923,1.0261,466.09,0.059253,34.943,0.048061,supercritical,569.02,713.37,3.7437
580,100,65.467,0.015275,381.69,536.47,5.8301,0.74211,1.0279,469.79,0.054013,35.339,0.048671,supercritical,576.56,723.64,3.7616
590,100,64.337,0.015543,389.26,546.75,5.8477,0.74496,1.0297,473.45,0.048994,35.732,0.04928,supercritical,584.13,733.92,3.7792
600,100,63.246,0.015811,396.85,557.06,5.865,0.7478,1.0315,477.07,0.044183,36.122,0.049887,supercritical,591.72,744.23,3.7965
610,100,62.194,0.016079,404.47,567.39,5.8821,0.7506,1.0334,480.66,0.03957,36.509,0.050493,supercritical,599.34,754.56,3.8136
620,100,61.178,0.016346,412.11,577.73,5.8989,0.75338,1.0353,484.21,0.035144,36.894,0.051096,supercritical,606.98,764.9,3.8304
630,100,60.196,0.016612,419.77,588.09,5.9155,0.75612,1.0372,487.72,0.030894,37.277,0.051698,supercritical,614.64,775.26,3.847
640,100,59.246,0.016879,427.45,598.47,5.9318,0.75883,1.0391,491.21,0.026812,37.657,0.052298,supercritical,622.32,785.64,3.8633
650,100,58.327,0.017145,435.16,608.88,5.9479,0.76151,1.0411,494.66,0.022889,38.035,0.052897,supercritical,630.03,796.05,3.8794
660,100,57.438,0.01741,442.89,619.3,5.9638,0.76414,1.043,498.08,0.019117,38.41,0.053494,supercritical,637.76,806.47,3.8953
670,100,56.576,0.017675,450.64,629.74,5.9795,0.76675,1.0449,501.47,0.015488,38.783,0.054089,supercritical,645.51,816.91,3.911
680,100,55.74,0.01794,458.41,640.19,5.995,0.76931,1.0469,504.84,0.011995,39.154,0.054682,supercritical,653.28,827.36,3.9265
690,100,54.929,0.018205,466.21,650.67,6.0103,0.77183,1.0488,508.18,0.0086303,39.523,0.055274,supercritical,661.08,837.84,3.9418
700,100,54.143,0.01847,474.03,661.17,6.0254,0.77432,1.0507,511.49,0.0053888,39.889,0.055864,supercritical,668.9,848.34,3.9569
710,100,53.38,0.018734,481.87,671.69,6.0404,0.77676,1.0526,514.77,0.0022641,40.254,0.056453,supercritical,676.74,858.86,3.9719
720,100,52.638,0.018998,489.73,682.22,6.0551,0.77917,1.0545,518.04,-0.00074963,40.616,0.057039,supercritical,684.6,869.39,3.9866
730,100,51.917,0.019261,497.61,692.78,6.0696,0.78154,1.0563,521.27,-0.0036575,40.976,0.057625,supercritical,692.48,879.95,4.0011
740,100,51.217,0.019525,505.51,703.35,6.084,0.78386,1.0582,524.49,-0.0064647,41.334,0.058208,supercritical,700.38,890.52,4.0155
750,100,50.536,0.019788,513.44,713.94,6.0982,0.78615,1.06,527.68,-0.0091758,41.69,0.05879,supercritical,708.31,901.11,4.0297
760,100,49.873,0.020051,521.38,724.55,6.1123,0.78839,1.0618,530.84,-0.011795,42.044,0.059371,supercritical,716.25,911.72,4.0438
770,100,49.227,0.020314,529.34,735.17,6.1262,0.7906,1.0636,533.99,-0.014327,42.397,0.059949,supercritical,724.21,922.34,4.0577
780,100,48.599,0.020577,537.33,745.82,6.1399,0.79277,1.0654,537.12,-0.016776,42.747,0.060527,supercritical,732.2,932.99,4.0714
790,100,47.987,0.020839,545.33,756.48,6.1535,0.79489,1.0671,540.22,-0.019145,43.096,0.061102,supercritical,740.2,943.65,4.085
800,100,47.39,0.021101,553.35,767.16,6.1669,0.79698,1.0688,543.31,-0.021437,43.442,0.061677,supercritical,748.22,954.33,4.0984
810,100,46.809,0.021363,561.39,777.86,6.1802,0.79903,1.0705,546.37,-0.023657,43.787,0.062249,supercritical,756.26,965.03,4.1117
820,100,46.242,0.021625,569.45,788.57,6.1934,0.80105,1.0722,549.42,-0.025807,44.131,0.062821,supercritical,764.32,975.74,4.1249
830,100,45.689,0.021887,577.53,799.3,6.2064,0.80302,1.0739,552.45,-0.027891,44.472,0.06339,supercritical,772.4,986.47,4.1379
840,100,45.149,0.022149,585.63,810.05,6.2193,0.80496,1.0755,555.46,-0.02991,44.812,0.063959,supercritical,780.5,997.22,4.1508
850,100,44.622,0.02241,593.74,820.81,6.232,0.80687,1.0771,558.45,-0.031869,45.15,0.064526,supercritical,788.61,1007.98,4.1635
860,100,44.108,0.022672,601.87,831.59,6.2446,0.80874,1.0787,561.43,-0.033769,45.487,0.065091,supercritical,796.74,1018.76,4.1761
870,100,43.605,0.022933,610.02,842.39,6.2571,0.81057,1.0803,564.38,-0.035612,45.822,0.065655,supercritical,804.89,1029.56,4.1886
880,100,43.115,0.023194,618.18,853.2,6.2694,0.81237,1.0818,567.32,-0.037402,46.155,0.066218,supercritical,813.05,1040.37,4.2009
890,100,42.635,0.023455,626.37,864.02,6.2817,0.81414,1.0833,570.25,-0.03914,46.487,0.06678,supercritical,821.24,1051.19,4.2132
900,100,42.166,0.023716,634.56,874.86,6.2938,0.81588,1.0848,573.16,-0.040828,46.817,0.06734,supercritical,829.43,1062.03,4.2253
910,100,41.707,0.023977,642.78,885.72,6.3058,0.81758,1.0863,576.05,-0.042468,47.146,0.067899,supercritical,837.65,1072.89,4.2373
920,100,41.259,0.024237,651.01,896.59,6.3177,0.81925,1.0877,578.92,-0.044063,47.474,0.068456,supercritical,845.88,1083.76,4.2492
930,100,40.82,0.024498,659.25,907.47,6.3294,0.8209,1.0891,581.79,-0.045613,47.8,0.069012,supercritical,854.12,1094.64,4.2609
940,100,40.391,0.024758,667.51,918.37,6.3411,0.82251,1.0905,584.63,-0.047121,48.124,0.069567,supercritical,862.38,1105.54,4.2726
950,100,39.97,0.025019,675.78,929.28,6.3526,0.82409,1.0919,587.46,-0.048589,48.448,0.070121,supercritical,870.65,1116.45,4.2841
960,100,39.559,0.025279,684.07,940.21,6.3641,0.82565,1.0933,590.28,-0.050017,48.77,0.070674,supercritical,878.94,1127.38,4.2956
970,100,39.156,0.025539,692.38,951.15,6.3754,0.82717,1.0946,593.08,-0.051407,49.09,0.071225,supercritical,887.25,1138.32,4.3069
980,100,38.761,0.025799,700.69,962.1,6.3866,0.82867,1.0959,595.87,-0.05276,49.409,0.071775,supercritical,895.56,1149.27,4.3181
990,100,38.374,0.026059,709.03,973.07,6.3978,0.83015,1.0972,598.65,-0.054078,49.727,0.072324,supercritical,903.9,1160.24,4.3293
1000,100,37.995,0.026319,717.37,984.05,6.4088,0.83159,1.0985,601.41,-0.055363,50.044,0.072872,supercritical,912.24,1171.22,4.3403
1010,100,37.624,0.026579,725.73,995.04,6.4197,0.83302,1.0998,604.16,-0.056615,50.359,0.073418,supercritical,920.6,1182.21,4.3512
1020,100,37.26,0.026838,734.1,1006,6.4306,0.83442,1.101,606.89,-0.057835,50.674,0.073964,supercritical,928.97,1193.17,4.3621
1030,100,36.903,0.027098,742.49,1017.1,6.4413,0.83579,1.1022,609.62,-0.059025,50.987,0.074508,supercritical,937.36,1204.27,4.3728
1040,100,36.553,0.027358,750.89,1028.1,6.452,0.83714,1.1034,612.33,-0.060185,51.298,0.075051,supercritical,945.76,1215.27,4.3835
1050,100,36.209,0.027617,759.3,1039.1,6.4625,0.83847,1.1046,615.02,-0.061317,51.609,0.075594,supercritical,954.17,1226.27,4.394
1060,100,35.872,0.027877,767.72,1050.2,6.473,0.83978,1.1058,617.71,-0.062421,51.919,0.076135,supercritical,962.59,1237.37,4.4045
1070,100,35.542,0.028136,776.15,1061.2,6.4834,0.84107,1.1069,620.38,-0.063499,52.227,0.076675,supercritical,971.02,1248.37,4.4149
1080,100,35.217,0.028395,784.6,1072.3,6.4937,0.84234,1.1081,623.04,-0.064551,52.534,0.077214,supercritical,979.47,1259.47,4.4252
1090,100,34.898,0.028655,793.06,1083.4,6.5039,0.84358,1.1092,625.69,-0.065578,52.84,0.077752,supercritical,987.93,1270.57,4.4354
1100,100,34.585,0.028914,801.53,1094.5,6.5141,0.84481,1.1103,628.32,-0.066581,53.146,0.078289,supercritical,996.4,1281.67,4.4456
1110,100,34.278,0.029173,810.01,1105.6,6.5241,0.84602,1.1114,630.95,-0.067561,53.45,0.078825,supercritical,1004.88,1292.77,4.4556
1120,100,33.977,0.029432,818.51,1116.7,6.5341,0.84721,1.1125,633.56,-0.068518,53.753,0.07936,supercritical,1013.38,1303.87,4.4656
1130,100,33.68,0.029691,827.01,1127.9,6.544,0.84838,1.1135,636.16,-0.069454,54.055,0.079894,supercritical,1021.88,1315.07,4.4755
1140,100,33.389,0.02995,835.53,1139,6.5538,0.84954,1.1146,638.76,-0.070368,54.355,0.080427,supercritical,1030.4,1326.17,4.4853
1150,100,33.103,0.030209,844.06,1150.2,6.5635,0.85068,1.1156,641.33,-0.071262,54.655,0.080959,supercritical,1038.93,1337.37,4.495
1160,100,32.821,0.030468,852.6,1161.3,6.5732,0.8518,1.1166,643.9,-0.072136,54.954,0.08149,supercritical,1047.47,1348.47,4.5047
1170,100,32.545,0.030727,861.14,1172.5,6.5828,0.85291,1.1176,646.46,-0.07299,55.252,0.082021,supercritical,1056.01,1359.67,4.5143
1180,100,32.273,0.030985,869.7,1183.7,6.5923,0.854,1.1186,649.01,-0.073826,55.55,0.08255,supercritical,1064.57,1370.87,4.5238
1190,100,32.006,0.031244,878.27,1194.9,6.6018,0.85508,1.1196,651.55,-0.074643,55.846,0.083078,supercritical,1073.14,1382.07,4.5333
1200,100,31.743,0.031503,886.85,1206.1,6.6111,0.85614,1.1206,654.07,-0.075443,56.141,0.083606,supercritical,1081.72,1393.27,4.5426
1210,100,31.485,0.031762,895.44,1217.3,6.6204,0.85719,1.1215,656.59,-0.076225,56.435,0.084133,supercritical,1090.31,1404.47,4.5519
1220,100,31.23,0.03202,904.04,1228.5,6.6297,0.85823,1.1225,659.1,-0.076991,56.729,0.084658,supercritical,1098.91,1415.67,4.5612
1230,100,30.98,0.032279,912.65,1239.7,6.6388,0.85926,1.1234,661.59,-0.077741,57.021,0.085184,supercritical,1107.52,1426.87,4.5703
1240,100,30.734,0.032537,921.27,1251,6.6479,0.86027,1.1244,664.08,-0.078475,57.313,0.085708,supercritical,1116.14,1438.17,4.5794
1250,100,30.492,0.032796,929.9,1262.2,6.657,0.86127,1.1253,666.55,-0.079193,57.604,0.086231,supercritical,1124.77,1449.37,4.5885
1260,100,30.253,0.033054,938.54,1273.5,6.6659,0.86226,1.1262,669.02,-0.079897,57.894,0.086754,supercritical,1133.41,1460.67,4.5974
1270,100,30.019,0.033313,947.19,1284.7,6.6748,0.86324,1.1271,671.48,-0.080586,58.183,0.087275,supercritical,1142.06,1471.87,4.6063
1280,100,29.788,0.033571,955.84,1296,6.6837,0.86421,1.128,673.93,-0.081261,58.471,0.087796,supercritical,1150.71,1483.17,4.6152
1290,100,29.56,0.033829,964.51,1307.3,6.6925,0.86516,1.1289,676.36,-0.081922,58.759,0.088316,supercritical,1159.38,1494.47,4.624
1300,100,29.336,0.034088,973.19,1318.6,6.7012,0.86611,1.1297,678.79,-0.08257,59.046,0.088836,supercritical,1168.06,1505.77,4.6327
1310,100,29.116,0.034346,981.87,1329.9,6.7098,0.86705,1.1306,681.21,-0.083204,59.332,0.089354,supercritical,1176.74,1517.07,4.6413
1320,100,28.898,0.034604,990.57,1341.2,6.7185,0.86798,1.1315,683.62,-0.083826,59.617,0.089872,supercritical,1185.44,1528.37,4.65
1330,100,28.684,0.034862,999.27,1352.5,6.727,0.8689,1.1323,686.02,-0.084436,59.901,0.090389,supercritical,1194.14,1539.67,4.6585
1340,100,28.474,0.03512,1008,1363.8,6.7355,0.86981,1.1332,688.42,-0.085034,60.185,0.090906,supercritical,1202.87,1550.97,4.667
1350,100,28.266,0.035378,1016.7,1375.2,6.7439,0.87071,1.134,690.8,-0.085619,60.468,0.091421,supercritical,1211.57,1562.37,4.6754
1360,100,28.061,0.035637,1025.4,1386.5,6.7523,0.87161,1.1349,693.17,-0.086194,60.75,0.091936,supercritical,1220.27,1573.67,4.6838
1370,100,27.859,0.035895,1034.2,1397.9,6.7606,0.8725,1.1357,695.54,-0.086757,61.032,0.09245,supercritical,1229.07,1585.07,4.6921
1380,100,27.66,0.036153,1042.9,1409.2,6.7689,0.87338,1.1365,697.9,-0.087309,61.313,0.092964,supercritical,1237.77,1596.37,4.7004
1390,100,27.464,0.036411,1051.7,1420.6,6.7771,0.87425,1.1373,700.25,-0.08785,61.593,0.093477,supercritical,1246.57,1607.77,4.7086
1400,100,27.271,0.036669,1060.4,1432,6.7852,0.87512,1.1381,702.59,-0.088381,61.872,0.093989,supercritical,1255.27,1619.17,4.7167
1410,100,27.081,0.036927,1069.2,1443.4,6.7933,0.87598,1.1389,704.92,-0.088902,62.151,0.094501,supercritical,1264.07,1630.57,4.7248
1420,100,26.893,0.037185,1078,1454.8,6.8014,0.87683,1.1397,707.24,-0.089413,62.429,0.095011,supercritical,1272.87,1641.97,4.7329
1430,100,26.708,0.037443,1086.8,1466.2,6.8094,0.87768,1.1405,709.56,-0.089914,62.707,0.095522,supercritical,1281.67,1653.37,4.7409
1440,100,26.525,0.0377,1095.6,1477.6,6.8173,0.87852,1.1413,711.86,-0.090406,62.983,0.096031,supercritical,1290.47,1664.77,4.7488
1450,100,26.345,0.037958,1104.4,1489,6.8252,0.87936,1.1421,714.16,-0.090889,63.26,0.09654,supercritical,1299.27,1676.17,4.7567
1460,100,26.167,0.038216,1113.2,1500.4,6.8331,0.88019,1.1429,716.45,-0.091362,63.535,0.097048,supercritical,1308.07,1687.57,4.7646
1470,100,25.992,0.038474,1122,1511.8,6.8409,0.88102,1.1437,718.74,-0.091827,63.81,0.097556,supercritical,1316.87,1698.97,4.7724
1480,100,25.819,0.038732,1130.8,1523.3,6.8486,0.88184,1.1445,721.01,-0.092283,64.085,0.098063,supercritical,1325.67,1710.47,4.7801
